Facility Name,Address,City,Zip Code,License Number,Phone Number,State Facility Type 1 Literal,Licensee,Capacity,State Facility Type 2 Literal,Date Accessed,State
15 Craigside,15 CRAIGSIDE PLACE,Honolulu,96817.0,16-ALF,8085237000.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Arcadia Retirement Residence,1434 PUNAHOU STREET,Honolulu,96822.0,1-ALF,8089410941.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Hawaii Kai Retirement Comm Phase I And Ii,428 KAWAIHAE STREET,Honolulu,96825.0,12-ALF,8083959599.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Hi'Olani Assisted Living Center At Kahala Nui,4389 MALIA STREET,Honolulu,96821.0,10-ALF,8082187000.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Ilima At Leihano,739 LEIHANO STREET,Kapolei,96707.0,20-ALF,8086748022.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Kalakaua Gardens,1723 KALAKAUA AVENUE,Honolulu,96826.0,21-ALF,8085182273.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
One Kalakaua Senior Living,1314 KALAKAUA AVENUE,Honolulu,96826.0,4-ALF,8089834400.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Pohai Nani Good Samaritan,45-090 NAMOKU STREET,Kaneohe,96744.0,7-ALF,8082476211.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
"Regency At Puakea, L.L.C.",2130 KANEKA STREET,Lihue,96766.0,9-ALF,8082464449.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Regency Hualalai,75-181 HUALALAI ROAD,Kailua-Kona,96740.0,22-ALF,8083297878.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Roselani Place Assisted Living Facility,88 SOUTH PAPA AVENUE,Kahului,96732.0,6-ALF,8088717720.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Kaneohe,46-068 ALALOA STREET,Kaneohe,96744.0,23-ALF,8086287604.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Mililani,95-1050 UKUWAI STREET,Mililani,96789.0,14-ALF,8086268807.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Moanalua,1280 MOANALUALANI PLACE,Honolulu,96818.0,15-ALF,8088338880.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Pearl City,1048 KUALA STREET,Pearl City,96782.0,18-ALF,8084558808.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Punchbowl,918 LUNALILO STREET,Honolulu,96825.0,8-ALF,8087928800.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Waikiki,1812 KALAKAUA AVENUE,Honolulu,96813.0,19-ALF,8089550800.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
3 J'S,1624 PERRY STREET,Honolulu,,1334-C,8088486592.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GERONIMO CASTILLO,5.0,AMBULATORY,6/24/21,HI
808 Adult Residential Care Home/Expanded Care Llc,98-209 KANUKU STREET,Aiea,,1344-C,8086999865.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NOVELYN LLARENAS,5.0,AMBULATORY,6/24/21,HI
A & C Care Home,2294 AWAPUHI STREET,Hilo,,1554-C,8082098308.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ARMANDO TABILE,5.0,AMBULATORY,6/24/21,HI
A Better Living,83 KILANI AVENUE,Wahiawa,,1244-C,8086218635.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARY ANN MCMURRAY,5.0,AMBULATORY,6/24/21,HI
A.C.T.G. Gallegos Iv,1530 PIIKEA STREET,Honolulu,,1341-C,8084238808.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,TEOFISTA GALLEGOS,5.0,AMBULATORY,6/24/21,HI
A.M.A. Care Home Llc,94-392 KAHUANANI STREET,Waipahu,,1611-C,8086765473.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ABIGAIL AGANON,5.0,AMBULATORY,6/24/21,HI
Aaa Care Home,4368 LAAKEA STREET,Honolulu,,1606-C,8082057131.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MELITA MANALANG,5.0,FULLY AMBULATORY,6/24/21,HI
"Abad, Edna",98-312 KALUAMOI DRIVE,Pearl City,,1135-C,8084871080.0,TYPE I  ADULT RESIDENTIAL CARE HOME,EDNA ABAD,4.0,FULLY AMBULATORY,6/24/21,HI
Abbie'S,94-579 APII PLACE,Waipahu,,479-C,8086769349.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FLORECITA PERALTA,5.0,AMBULATORY,6/24/21,HI
"Acedo, Melba",2501-A KINOOLE STREET,Hilo,,714-C,8089812909.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MELBA DAAK,4.0,AMBULATORY,6/24/21,HI
"Acnam'S Care Home, Llc",2467 NORTH SCHOOL STREET,Honolulu,,1041-C,8088453589.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CASTORA ACNAM,5.0,AMBULATORY,6/24/21,HI
Act Care Services Llc,1453 UILA STREET,Honolulu,,1624-C,8085948177.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ANTONETTE SARMIENTO,5.0,AMBULATORY,6/24/21,HI
Actg Arch #2,1447 UILA STREET,Honolulu,,1205-C,8084225888.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,TEOFISTA GALLEGOS,8.0,AMBULATORY,6/24/21,HI
Adult Res Care Home,1654 HAUIKI STREET,Honolulu,,1428-C,8088459373.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,DELIA LAURENA,5.0,AMBULATORY,6/24/21,HI
"Agraan, Gliseria",94-1266 HIAPO STREET,Waipahu,,1200-C,8086761567.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GLISERIA AGRAAN,5.0,AMBULATORY,6/24/21,HI
"Aguinaldo, Evangeline",3787 MAMAKI STREET,Koloa,,984-C,8087422044.0,TYPE I  ADULT RESIDENTIAL CARE HOME,EVANGELINE AGUINALDO,3.0,AMBULATORY,6/24/21,HI
Aguinaldo'S,4406 LIKINI STREET,Honolulu,,1175-C,8084232196.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SERAFINA AGUINALDO,5.0,AMBULATORY,6/24/21,HI
Ai Arch,1329 ALA AOLANI STREET,Honolulu,,1369-C,8084896453.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JOSEPHINE HARRIS,5.0,AMBULATORY,6/24/21,HI
Aida'S,45-552 LIULA STREET,Kaneohe,,640-C,8082351637.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ZENAIDA BAUTISTA,5.0,AMBULATORY,6/24/21,HI
Aiea Heights Senior Living,99-1657 AIEA HEIGHTS DRIVE,Aiea,,112-C,8084885521.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,SATORU IZATSU,22.0,FULLY AMBULATORY,6/24/21,HI
Aina Haina Arch,237 EAST HIND DRIVE,Honolulu,,1456-C,8083583354.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LAN CHEN,5.0,AMBULATORY,6/24/21,HI
Aina Haina Quality Living,5304 LIMU PLACE,Honolulu,,1458-C,8083734141.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,JABS RYAN,8.0,AMBULATORY,6/24/21,HI
Akalei Hale,61 HOAUNA STREET,Wailuku,,645-C,8082441381.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ELISA VILLANUEVA,5.0,AMBULATORY,6/24/21,HI
"Alaag, L.L.C. Arch",94-1032 A LUMIKULA STREET,Waipahu,,481-C,8086778669.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LINDA GUTING,5.0,AMBULATORY,6/24/21,HI
Alde Care Home,94-1475 HIAPO STREET,Waipahu,,1065-C,8086710531.0,TYPE I  ADULT RESIDENTIAL CARE HOME,DELIA LAMPITOC,5.0,AMBULATORY,6/24/21,HI
Aletha'S Expanded Arch,99-631 ULUNE STREET,Aiea,,1400-C,8084871706.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FLORENCE FAYLOGA,5.0,AMBULATORY,6/24/21,HI
Alfe,1464 PUANAKAU STREET,Honolulu,,1353-C,8084228157.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,VIRGINIA BAPTISTA,5.0,AMBULATORY,6/24/21,HI
Alfe Ii,1464 PUANAKAU STREET,Honolulu,,1425-C,8084228568.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,BERNADETTE HEAFNER,5.0,AMBULATORY,6/24/21,HI
"Aliga, Nelly",174 LUKIA STREET,Hilo,,1069-C,8089356208.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NELLY ALIGA,5.0,AMBULATORY,6/24/21,HI
"All Hearts Arch, L.L.C.",328 HIE STREET,Kapaa,,1392-C,8088227907.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LALAINE RABAINO,4.0,AMBULATORY,6/24/21,HI
"Allcare Senior Services, Inc.",94-920 KUMUAO STREET,Waipahu,,1602-C,8083124791.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CHRISTIE GARCIA,4.0,FULLY AMBULATORY,6/24/21,HI
Aloha Arch,86-107 HOAHA STREET,Waianae,,1287-C,8086962430.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARLYN ACURAM,5.0,AMBULATORY,6/24/21,HI
"Aloha Lifeline Arch/E-Arch, Llc",91-983 IKULANI STREET,Ewa Beach,,1418-C,8086895031.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ROMERA JORNACION,5.0,AMBULATORY,6/24/21,HI
Aloha Nui Care Home Llc,1662 HOOKANI STREET,Pearl City,,1585-C,8082847978.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MIN HYE TAKAMATSU,5.0,AMBULATORY,6/24/21,HI
"Amodo, Gloria",1437 ALA LELEU STREET,Honolulu,,955-C,8088394107.0,TYPE I  ADULT RESIDENTIAL CARE HOME,GLORIA AMODO,4.0,FULLY AMBULATORY,6/24/21,HI
"Analani Arch, L.L.C.",98-137 KALUAMOI PLACE,Pearl City,,1533-C,8087411770.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CORAZON SALUDARES,5.0,AMBULATORY,6/24/21,HI
"Anastacio, Faye V.",45-507 KAHILI STREET,Honokaa,,859-C,8087757324.0,TYPE I  ADULT RESIDENTIAL CARE HOME,FAYE ANASTACIO,3.0,FULLY AMBULATORY,6/24/21,HI
"Ancheta, Imelda",94-854 AWANEI STREET,Waipahu,,1239-C,8086777486.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,IMELDA ANCHETA,5.0,AMBULATORY,6/24/21,HI
Angel Home For Seniors,1315 KUPAU STREET,Kailua,,1395-C,8082217766.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ARCELIE CABEL,5.0,AMBULATORY,6/24/21,HI
Anne-Drew'S Gentle,94-921 KAHUAILANI STREET,Waipahu,,1367-C,8086783936.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARY JEANNE ONATO,5.0,AMBULATORY,6/24/21,HI
Annelyn Raval,94-362 APOWALE STREET,Waipahu,,844-C,8084977103.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ANNELYN RAVAL,5.0,AMBULATORY,6/24/21,HI
"Ano Ano, L.L.C.","54-2489 KYNNERSLEY ROAD, LOT C",Kapaau,,1507-C,8088845265.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MELTON MARC,5.0,AMBULATORY,6/24/21,HI
Apostol Care Home Arch,94-1244 HINAEA STREET,Waipahu,,1466-C,8086715217.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EDWIN APOSTOL,5.0,AMBULATORY,6/24/21,HI
"Apuya, Roger",2517 HOENUI STREET,Honolulu,,1362-C,8088455472.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ROGER APUYA,5.0,AMBULATORY,6/24/21,HI
Arzaga'S Adult Residential Care Llc,57 MAIKAI STREET,Hilo,,1623-C,8089357680.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NOEMI ARZAGA,5.0,AMBULATORY,6/24/21,HI
"Atanes, Remedios",87-542 MANUU STREET,Waianae,,589-C,8086684214.0,TYPE I  ADULT RESIDENTIAL CARE HOME,REMEDIOS ATANES,4.0,AMBULATORY,6/24/21,HI
Aumoa Care Home Llc,98-562 KAIMU LOOP,Aiea,,1598-C,8084254962.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARIA ROSS,5.0,AMBULATORY,6/24/21,HI
"Aupuni Hale Hoolu, Llc",1805 AUPUNI STREET,Honolulu,,1490-C,8088412202.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,VILMA YUN,5.0,AMBULATORY,6/24/21,HI
Aurora Patao Arch,15-1395 29TH AVENUE,Keaau,,1057-C,8089666881.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,AURORA PATAO,5.0,AMBULATORY,6/24/21,HI
Aurora'S,91-1112 KIWI STREET,Ewa Beach,,1111-C,8086895936.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,AURORA ALEJANDRO,5.0,AMBULATORY,6/24/21,HI
"Badua, Lily",260 ALA MALAMA AVENUE,Kaunakakai,,874-C,8085535581.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LILY BADUA,5.0,FULLY AMBULATORY,6/24/21,HI
"Bala, Leticia",1617 MACHADO STREET,Honolulu,,731-C,8088430113.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LETICIA BALA,5.0,AMBULATORY,6/24/21,HI
Balico'S,91-1204 KAUIKI STREET,Ewa Beach,,1388-C,8086897494.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LETICIA BALICO,5.0,AMBULATORY,6/24/21,HI
"Baptista, Myrna",28-2845 MAKAHANA STREET,Pepeekeo,,576-C,8089873287.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MYRNA BAPTISTA,3.0,AMBULATORY,6/24/21,HI
"Bautista, Dolores",1939 WAIKAHE PLACE,Honolulu,,979-C,8088471610.0,TYPE I  ADULT RESIDENTIAL CARE HOME,DOLORES BAUTISTA,4.0,AMBULATORY,6/24/21,HI
"Baybayan, Rosita",91-810 HAIAMU STREET,Ewa Beach,,658-C,8086898662.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ROSITA BAYBAYAN,5.0,AMBULATORY,6/24/21,HI
Beckwith Manoa Senior Care,2375 BECKWITH STREET,Honolulu,,1548-C,8084978489.0,TYPE I  ADULT RESIDENTIAL CARE HOME,BEVERLEY YOUNG,5.0,FULLY AMBULATORY,6/24/21,HI
"Beltran, Milagros",94-1382 HENOKEA STREET,Waipahu,,590-C,8086710354.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MILAGROS BELTRAN,5.0,AMBULATORY,6/24/21,HI
"Billena, Mathilda",94-1169 LIMAHANA STREET,Waipahu,,569-C,8086710670.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MATHILDA BILLENA,5.0,AMBULATORY,6/24/21,HI
Birds Of Paradise Home Corp.,50 HIALOA STREET,Honolulu,,1616-C,8082254182.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MELY CO,3.0,FULLY AMBULATORY,6/24/21,HI
Blandina S. Retuta Llc,94-1116 KAHUAILANI STREET,Waipahu,,1019-C,8086764419.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,BLANDINA RETUTA,5.0,AMBULATORY,6/24/21,HI
Blue Ocean Care Home,91-1030 KEONEAE PLACE,Ewa Beach,,1498-C,8087836340.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SOOK YANG LEE KIMOTO,3.0,AMBULATORY,6/24/21,HI
"Bolosan, Carmelita",94-087 WAIKELE LOOP,Waipahu,,845-C,8086712983.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CARMELITA BOLOSAN,5.0,AMBULATORY,6/24/21,HI
"Bolosan, Domie",94-039 WAIKELE LOOP,Waipahu,,785-C,8086773743.0,TYPE I  ADULT RESIDENTIAL CARE HOME,DOMIE BOLOSAN,5.0,FULLY AMBULATORY,6/24/21,HI
Buenavista Adult Residential Care Home,81-2010 HAKU NUI ROAD,Captain Cook,,1320-C,8083232281.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SANDY BUENAVISTA,4.0,AMBULATORY,6/24/21,HI
Bueno #2,94-916 KUMUAO STREET,Waipahu,,1240-C,8086789514.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FELICITAS CABALLERO,5.0,AMBULATORY,6/24/21,HI
"Bumanglag, Violeta",2152 NORTH SCHOOL STREET,Honolulu,,732-C,8088451397.0,TYPE I  ADULT RESIDENTIAL CARE HOME,VIOLETA BUMANGLAG,5.0,AMBULATORY,6/24/21,HI
"Cabatu, Robert",3258-A HINANO STREET,Honolulu,,1382-C,8087399543.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ROBERT CABATU,5.0,AMBULATORY,6/24/21,HI
"Cabico, Aurora",1721 MERKLE STREET,Honolulu,,966-C,8088450113.0,TYPE I  ADULT RESIDENTIAL CARE HOME,AURORA CABICO,5.0,AMBULATORY,6/24/21,HI
"Cabico, Milagros",94-418 PILIMAI STREET,Waipahu,,832-C,8086712656.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MILAGROS CABICO,5.0,AMBULATORY,6/24/21,HI
"Cabico-Perez, Loraine",1318 ALANI STREET,Honolulu,,1079-C,8088416584.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LORAINE CABICO-PEREZ,5.0,AMBULATORY,6/24/21,HI
Cabingabang Care Home,94-1121 WAIPAHU STREET,Waipahu,,543-C,8086717379.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,DELIA CABINGABANG,5.0,AMBULATORY,6/24/21,HI
Cabo Care Home,114 KANIAHE PLACE,Wahiawa,,1626-C,8086216896.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JAIMIE CABO,,,6/24/21,HI
"Cacal, Evelyn",94-1161 HINAEA STREET,Waipahu,,678-C,8086765756.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVELYN CACAL,5.0,AMBULATORY,6/24/21,HI
Cachola Adult Residential Care Home,98-314 PONOKAULIKE STREET,Aiea,,1576-C,8087840242.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MADELAINE CACHOLA,5.0,AMBULATORY,6/24/21,HI
Callo Care Home,1027 A LOWELL PLACE,Honolulu,,1289-C,8088431240.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,TERESITA CALLO,5.0,AMBULATORY,6/24/21,HI
Calucag Arch-I,99-042 IEIE PLACE,Aiea,,1280-C,8084841335.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,"CALUCAG CARE HOME, INC.",5.0,AMBULATORY,6/24/21,HI
Calucag Iii,1050 18TH AVENUE,Honolulu,,1423-C,8082278985.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,"KAIMUKI CARE HOME, L.L.C.",5.0,AMBULATORY,6/24/21,HI
Captain Cook Care Home,81-1993 HAKU NUI ROAD,Captain Cook,,1514-C,8082380494.0,TYPE I  ADULT RESIDENTIAL CARE HOME,DANIEL HIGUCHI,5.0,AMBULATORY,6/24/21,HI
Care Homes By Hale Makua,472 KAULANA STREET,Kahului,,1509-C,8082431700.0,TYPE II ADULT RESIDENTIAL CARE HOME,TRISHA AKAHI,22.0,AMBULATORY,6/24/21,HI
"Caring Manoa, L.L.C.",2383 BECKWITH STREET,Honolulu,,1488-C,8087798871.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,TODD PANG,8.0,AMBULATORY,6/24/21,HI
Caring Touch Arch/Expanded Arch,98-131 KALUAMOI STREET,Pearl City,,1631-C,,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LESLIE ANN BALLESTEROS,,,6/24/21,HI
Carmelita'S,94-1020 HAPAPA STREET,Waipahu,,615-C,8086710756.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CARMELITA CASIL,5.0,AMBULATORY,6/24/21,HI
"Castanaga, Imelda",94-972 LUMIMOE STREET,Waipahu,,549-C,8086712551.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,IMELDA CASTANAGA,5.0,AMBULATORY,6/24/21,HI
Castro'S,3354 EONO STREET,Lihue,,1298-C,8082454890.0,TYPE I  ADULT RESIDENTIAL CARE HOME,JULIE CASTRO,5.0,FULLY AMBULATORY,6/24/21,HI
"Cej Charity Arch-Ec, L.L.C.",45-415 KULAULI STREET,Kaneohe,,1260-C,8082002109.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CAROLYN LAZO,5.0,AMBULATORY,6/24/21,HI
Charity Adult Residential Care Home,94-232 MOENA PLACE,Waipahu,,1496-C,8087442697.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NETTE DE CASTRO,5.0,AMBULATORY,6/24/21,HI
Charity Adult Residential Care Home/E-Arch Ii,1563 MOLINA STREET,Honolulu,,1595-C,8084921945.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NETTE DE CASTRO,5.0,AMBULATORY,6/24/21,HI
"Comfort Care Home, L.L.C.",1543 HALOA DRIVE,Honolulu,,1503-C,8084221947.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RICHARD MILLER,5.0,AMBULATORY,6/24/21,HI
Connie'S,94-1040 KUHAULUA STREET,Waipahu,,676-C,8086800001.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CION BATTULAYAN,5.0,AMBULATORY,6/24/21,HI
Cora'S,1711 EMA PLACE,Honolulu,,363-C,8088418596.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CORAZON INGEL,5.0,AMBULATORY,6/24/21,HI
"Corpuz, Olivia",664-D WAINAKU AVENUE,Hilo,,958-C,8089613938.0,TYPE I  ADULT RESIDENTIAL CARE HOME,OLIVIA CORPUZ-SANTOS,2.0,FULLY AMBULATORY,6/24/21,HI
Cp Gallegos,1550 EPUKANE STREET,Honolulu,,1416-C,8084236262.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CATALINA GALLEGOS,5.0,AMBULATORY,6/24/21,HI
"Cua, Lilia",464 HEAHEA STREET,Hilo,,597-C,8089595432.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LILIA CUA,5.0,AMBULATORY,6/24/21,HI
Cuaresma Arch,94-548 FARRINGTON HIGHWAY,Waipahu,,1061-C,8086767232.0,TYPE I  ADULT RESIDENTIAL CARE HOME,JULIA CUARESMA,5.0,AMBULATORY,6/24/21,HI
"Daguimol, Shirley",92-603 MALAHUNA LOOP,Makakilo,,688-C,8086825244.0,TYPE I  ADULT RESIDENTIAL CARE HOME,DAGUIMOL SHIRLEY,5.0,AMBULATORY,6/24/21,HI
"Daligcon, Norma",1586 LEHUA STREET,Honolulu,,1062-C,8088481542.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NORMA DALIGCON,5.0,AMBULATORY,6/24/21,HI
Daquip Care Home,87-132 PALANI STREET,Waianae,,1151-C,8086964462.0,TYPE I  ADULT RESIDENTIAL CARE HOME,EUNICE DAQUIP,5.0,AMBULATORY,6/24/21,HI
"De Vera, Loretta",94-865 MOKUAHI STREET,Waipahu,,783-C,8086715191.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LORETTA DE VERA,5.0,AMBULATORY,6/24/21,HI
Debora'S,1773 PIIKEA STREET,Honolulu,,1323-C,8084225684.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CASTRO DEBORA,5.0,AMBULATORY,6/24/21,HI
"Deguzman, Lydia",94-293 KAHUALENA STREET,Waipahu,,499-C,8086760681.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LYDIA DEGUZMAN,5.0,AMBULATORY,6/24/21,HI
Dignity Senior Living At Oceanside Hawaii,53-594 KAMEHAMEHA HIGHWAY,Hauula,,1528-C,8082931100.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,ALBERT CHEN,26.0,AMBULATORY,6/24/21,HI
"Domingo, Maria-Theresa C.",98-1651 HOOMAIKE STREET,Pearl City,,1321-C,8084553365.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARIA-THERESA DOMINGO,5.0,AMBULATORY,6/24/21,HI
