Facility Name,Address,City,Zip Code,License Number,Phone Number,State Facility Type 1 Literal,Licensee,Capacity,State Facility Type 2 Literal,Date Accessed,State
Domingo'S Care Home,74-828 ULUA'OA STREET,Kailua-Kona,,1309-C,8083298203.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MYRNA DOMINGO,5.0,AMBULATORY,6/24/21,HI
"Downey, Norma",4038 SALT LAKE BOULEVARD,Honolulu,,862-C,8084237854.0,TYPE I  ADULT RESIDENTIAL CARE HOME,NORMA DOWNEY,4.0,FULLY AMBULATORY,6/24/21,HI
"Duldulao, Carina",417 EHEHENE PLACE,Hilo,,674-C,8089599996.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CARINA DULDULAO,4.0,AMBULATORY,6/24/21,HI
D-Well Care Services,3443 LIKINI STREET,Honolulu,,1578-C,8083911433.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARIA DINGLE,5.0,AMBULATORY,6/24/21,HI
E & J Adult Residential Care Home,74-797 ULUA'OA STREET,Kailua-Kona,,1442-C,8083341437.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVANGELINE REYES,5.0,AMBULATORY,6/24/21,HI
E & R,3034 KALIHI STREET,Honolulu,,1185-C,8088426115.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,REMEDIOS BRION,5.0,AMBULATORY,6/24/21,HI
E. F. Nicomedes,1271 KAELEKU STREET,Honolulu,,1219-C,8083956410.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EDNA NICOMEDES,5.0,AMBULATORY,6/24/21,HI
E. Mabini Arch,94-1083 KUHAULUA STREET,Waipahu,,1296-C,8086789549.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EDEN MABINI,5.0,AMBULATORY,6/24/21,HI
E. Ramos (Arch),98-063 PUAOLE PLACE,Aiea,,1086-C,8084880878.0,TYPE I  ADULT RESIDENTIAL CARE HOME,RAMOS ERLINDA,5.0,AMBULATORY,6/24/21,HI
Ed & Rose,94-1112 KAHUAILANI STREET,Waipahu,,1384-C,8086769336.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ROSALINDA RAMOS,5.0,AMBULATORY,6/24/21,HI
Eden Lei'S,94-1095 LUMIAINA STREET,Waipahu,,1405-C,8086777160.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EDITHA GALACGAC,5.0,AMBULATORY,6/24/21,HI
Edita Castro,201 KUHILANI STREET,Hilo,,1127-C,8089594976.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EDITA CASTRO,4.0,AMBULATORY,6/24/21,HI
"Editha Rogelio Tapat Arch, Llc",94-432 KIPOU STREET,Waipahu,,1486-C,8086717804.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EDITHA TAPAT,4.0,AMBULATORY,6/24/21,HI
Elisa Cabal,228 HOOKANO STREET,Hilo,,1326-C,8089812638.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ELISA CABAL,5.0,AMBULATORY,6/24/21,HI
"Ellazar, Estela",17-162 IPUAIWAHA STREET,Keaau,,653-C,8089669264.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ESTELLA ELLAZAR,5.0,AMBULATORY,6/24/21,HI
Emma-Rose Adult Residential Care Home,94-379 HAAA STREET,Waipahu,,1579-C,8086773015.0,TYPE I  ADULT RESIDENTIAL CARE HOME,BELMA UNAY,5.0,FULLY AMBULATORY,6/24/21,HI
"Emmy'S Care Home, Llc",94-382 KAHOLO STREET,Mililani,,1404-C,8083768019.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EMALYN ESTEBAN,5.0,AMBULATORY,6/24/21,HI
Erlinda'S,2020 UHU STREET,Honolulu,,1390-C,8088427886.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ERLINDA ISIDRO,4.0,AMBULATORY,6/24/21,HI
Espinoza'S,94-1273 KAHUANUI STREET,Waipahu,,1274-C,8086767313.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARIA ESPINOZA,5.0,AMBULATORY,6/24/21,HI
Estabillo Adult Residential Care Home,92-691 PAAKAI STREET,Kapolei,,1588-C,8086821002.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARY ANN ESTABILLO,5.0,AMBULATORY,6/24/21,HI
Esta'S,94-1110 HINAEA STREET,Waipahu,,598-C,8086773607.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ESTA LINA,5.0,AMBULATORY,6/24/21,HI
Estrelita Luczon,249-A ALA MALAMA AVENUE,Kaunakakai,,1027-C,8085533077.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ESTRELITA LUCZON,5.0,FULLY AMBULATORY,6/24/21,HI
Evelyn Valdez,91-1129 KIWI STREET,Ewa Beach,,978-C,8086895997.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVELYN VALDEZ,5.0,AMBULATORY,6/24/21,HI
Evelyn'S,94-824 KUMUKULA STREET,Waipahu,,1042-C,8086718725.0,TYPE I  ADULT RESIDENTIAL CARE HOME,EVELYN PACO,5.0,AMBULATORY,6/24/21,HI
"Fabia Arch-Ec, Llc",94-301 HILIHUA WAY,Waipahu,,641-C,8086716983.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NINFA FABIA,5.0,AMBULATORY,6/24/21,HI
Faith Harbor Adult Care,5229 LIWAI STREET,Honolulu,,1575-C,8083817880.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,YELENA MUNZLINGER,5.0,AMBULATORY,6/24/21,HI
Fajotina E-Arch,94-438 HOAEAE STREET,Waipahu,,1209-C,8086767399.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LILIA FAJOTINA,5.0,AMBULATORY,6/24/21,HI
Family Ties,1103-A KAHAUIKI PLACE,Honolulu,,1377-C,8088411674.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARY-ANN BALI,5.0,AMBULATORY,6/24/21,HI
Family Ties Adult Residential Care Home,1119 KAHAUIKI PLACE,Honolulu,,1481-C,8088438544.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FELIZARDO BALI,5.0,AMBULATORY,6/24/21,HI
"Felarca Care Home, Llc",4679 LIKINI STREET,Honolulu,,1570-C,8088335630.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,DANIEL FELARCA,5.0,AMBULATORY,6/24/21,HI
Fely Irons' Adult Residential Care Home,2036 KOMO MAI DRIVE,Pearl City,,1497-C,8084557321.0,TYPE I  ADULT RESIDENTIAL CARE HOME,FELY IRONS,5.0,AMBULATORY,6/24/21,HI
"Fernandez, Carlina",137B HOKULANI STREET,Hilo,,522-C,8089645275.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CARLINA FERNANDEZ,5.0,AMBULATORY,6/24/21,HI
Fernando Care Home,94-1351 WAIPAHU STREET,Waipahu,,619-C,8086714912.0,TYPE I  ADULT RESIDENTIAL CARE HOME,PERLITA FERNANDO,4.0,AMBULATORY,6/24/21,HI
Ferrer,1701 ELUA STREET,Honolulu,,1307-C,8088459980.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ERLINDA FERRER,5.0,AMBULATORY,6/24/21,HI
Fidelibus Cottage,91-827 OAMA STREET,Ewa Beach,,1424-C,8086640947.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,DHY-JEELEN FIDELIBUS,5.0,AMBULATORY,6/24/21,HI
"Fiesta, Floreliza C.",94-232 LEHOULA PLACE,Waipahu,,1273-C,8088887012.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FLORELIZA FIESTA,5.0,AMBULATORY,6/24/21,HI
Flojo Quality Affordable Care Home,1159 KUOKOA STREET,Pearl City,,1293-C,8084552853.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CECILE FLOJO,5.0,AMBULATORY,6/24/21,HI
"Fronda, Myrna",94-571 APII PLACE,Waipahu,,1013-C,8086767858.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MYRNA FRONDA,5.0,AMBULATORY,6/24/21,HI
Fuji Japan Care Home Llc,134 HOOPIHA PLACE,Wahiawa,,1573-C,8086225015.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CHIEKO RICCIO,5.0,AMBULATORY,6/24/21,HI
Furukawa Residential Retreat,47-008 OKANA PLACE,Kaneohe,,1462-C,8083862006.0,TYPE I  ADULT RESIDENTIAL CARE HOME,GLENN FURUKAWA,5.0,AMBULATORY,6/24/21,HI
G. Inocencio'S,1262 KOMOHANA STREET,Hilo,,1282-C,8089595962.0,TYPE I  ADULT RESIDENTIAL CARE HOME,GLORIA INOCENCIO,4.0,AMBULATORY,6/24/21,HI
Gabriel Care Home,94-1034 AWANANI STREET,Waipahu,,927-C,8086770123.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JULIET GABRIEL,5.0,AMBULATORY,6/24/21,HI
"Gabriel, Claire",27-358 ANDERTON CAMP ROAD,Papaikou,,962-C,8089645268.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CLAIRE GABRIEL,4.0,AMBULATORY,6/24/21,HI
"Gacula, Jessie",55 AHONA PLACE,Hilo,,553-C,8089810250.0,TYPE I  ADULT RESIDENTIAL CARE HOME,JESSIE GACULA,5.0,AMBULATORY,6/24/21,HI
"Galamgam, Crescencia",94-1278 PEKE PLACE,Waipahu,,895-C,8086711847.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CRESCENCIA GALAMGAM,4.0,FULLY AMBULATORY,6/24/21,HI
Galan'S Care Home,94-324 KIPOU STREET,Waipahu,,1109-C,8086718337.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUANITA GALAN,5.0,AMBULATORY,6/24/21,HI
Galanto'S Arch,74-846 ULUAOA STREET,Kailua-Kona,,1228-C,8083262356.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ELSA GALANTO,5.0,AMBULATORY,6/24/21,HI
"Galario, Violeta",94-1440 HIAPO STREET,Waipahu,,878-C,8088887753.0,TYPE I  ADULT RESIDENTIAL CARE HOME,VIOLETA GALARIO,5.0,AMBULATORY,6/24/21,HI
Galario'S Care Home,94-929 KUAKAHI STREET,Waipahu,,617-C,8086775362.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ELENA GALARIO,5.0,AMBULATORY,6/24/21,HI
Gamiao Adult Residential Care Home #2,99-588 ULUNE STREET,Aiea,,1564-C,8084228018.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NAYDA GAMIAO,5.0,AMBULATORY,6/24/21,HI
"Gamiao, Nayda",3648 LIKINI STREET,Honolulu,,1316-C,8084228018.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NAYDA GAMIAO,5.0,AMBULATORY,6/24/21,HI
Garcia Care Home,99-568 HUAKANU STREET,Aiea,,971-C,8084863872.0,TYPE I  ADULT RESIDENTIAL CARE HOME,FE GARCIA,5.0,AMBULATORY,6/24/21,HI
Gaylord'S,1723 MALANAI STREET,Honolulu,,1381-C,8082277173.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,WANNETTE GAYLORD,5.0,AMBULATORY,6/24/21,HI
Gaylord'S Ii,1110 KAIALIU STREET,Honolulu,,1417-C,8082277173.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,WANNETTE GAYLORD,5.0,AMBULATORY,6/24/21,HI
Gaylord'S Iii,2508 COYNE STREET,Honolulu,,1492-C,8082277173.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,WANNETTE GAYLORD,5.0,AMBULATORY,6/24/21,HI
Gaylord'S Iv,1116 KAIALIU STREET,Honolulu,,1586-C,8082277173.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,WANNETTE GAYLORD,6.0,AMBULATORY,6/24/21,HI
Gelacio Care Home,1746 ALA AOLANI PLACE,Honolulu,,458-C,8088392520.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ZOSIMA GELACIO,5.0,AMBULATORY,6/24/21,HI
"Gloria V. Atmospera, Arch",3544 PAHOA AVENUE,Honolulu,,1202-C,8087348814.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GLORIA ATMOSPERA,5.0,AMBULATORY,6/24/21,HI
Golden Acres,45-525 DUNCAN DRIVE,Kaneohe,,1480-C,8082357525.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MIGUEL PASCUAL,5.0,AMBULATORY,6/24/21,HI
Golden Age Health Care,94-1141 LUMIAUAU STREET,Waipahu,,1402-C,8086717760.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARIETA PICARD,5.0,AMBULATORY,6/24/21,HI
Golden Island Arch,86-120 HOAHA STREET,Waianae,,1312-C,8086966507.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARLYN ACURAM,5.0,AMBULATORY,6/24/21,HI
Golden Years Adult Residential Care Home,94-480 NIULII STREET,Waipahu,,1562-C,8086781275.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ELAINE VILORIA,4.0,AMBULATORY,6/24/21,HI
"Guerrero, Miriam",66 KAIWIKI ROAD,Hilo,,989-C,8088960761.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MIRIAM GUERRERO,5.0,FULLY AMBULATORY,6/24/21,HI
Gutierrez Arch Inc,3374-A MAUNALOA AVENUE,Honolulu,,1484-C,8083947402.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RUBY GUTIERREZ BRISTER,5.0,AMBULATORY,6/24/21,HI
Halawa Care Home Llc,99-626 HALAWA DRIVE,Aiea,,1532-C,8083728390.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARITES COLLADO,5.0,AMBULATORY,6/24/21,HI
Hale Harmony,1631 OWAWA STREET,Honolulu,,1354-C,8083866493.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,TINA DIAZ,5.0,AMBULATORY,6/24/21,HI
Hale Kuike,95 KAWANANAKOA PLACE,Honolulu,,1348-C,8085956770.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,DOROTHY COLBY,26.0,AMBULATORY,6/24/21,HI
"Hale Ku'Ike Bayside, Llc",45-212 KANEOHE BAY DRIVE,Kaneohe,,1506-C,8082356770.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,SCOTT GARDINER,28.0,AMBULATORY,6/24/21,HI
"Hale Kuike Pali, Llc",2627 PALI HIGHWAY,Honolulu,,1589-C,8085256770.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,DAVID FITZGERALD,28.0,AMBULATORY,6/24/21,HI
Hale Lehua Carehome,984 ALA LEHUA STREET,Honolulu,,1523-C,8086742563.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ROMEO VALDEZ,5.0,AMBULATORY,6/24/21,HI
Hale Lilikoi,1033 ALA LILIKOI STREET,Honolulu,,1597-C,8082232425.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SOO YEON PHILLIPS,5.0,AMBULATORY,6/24/21,HI
Hale Malama,94-1088 FARRINGTON HIGHWAY,Waipahu,,1577-C,8082005841.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LETICIA DEXTER,5.0,AMBULATORY,6/24/21,HI
Hale Malamalama Mauka,246 MOOMUKU PLACE,Honolulu,,1535-C,8083960537.0,TYPE I  ADULT RESIDENTIAL CARE HOME,PAULINE FUKUMURA,5.0,AMBULATORY,6/24/21,HI
Hale Mohalu,3650 MAUNALEI AVENUE,Honolulu,,1477-C,8087338080.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,"GLENN M. WASSERMAN, M.D., M.P.H.",14.0,AMBULATORY,6/24/21,HI
"Hale Nohea, L.L.C.",5071 MAUNALANI CIRCLE,Honolulu,,1439-C,8087344680.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PATRICIA MOSHER,8.0,FULLY AMBULATORY,6/24/21,HI
Hale O Meleana,2230 LILIHA STREET,Honolulu,,1618-C,8082658554.0,TYPE II ADULT RESIDENTIAL CARE HOME,ABBEY WEERASINGHE,110.0,AMBULATORY,6/24/21,HI
"Hale Olu Care Home, L.L.C.",1573 ALA LANI STREET,Honolulu,,1217-C,8082181098.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SHARLENE ZAHARIS,2.0,FULLY AMBULATORY,6/24/21,HI
Hanami Care Home Kailua,316 A KALAMA STREET,Kailua,,1608-C,8084623480.0,TYPE I  ADULT RESIDENTIAL CARE HOME,WON JOO,5.0,FULLY AMBULATORY,6/24/21,HI
Haven Arch,4475 LUA'OLE STREET,Honolulu,,1275-C,8084882048.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RAQUEL ABUAN,4.0,AMBULATORY,6/24/21,HI
Hawaii Kai Arch,308 KULIOUOU ROAD,Honolulu,,1482-C,8083964195.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,BELARMINA ROL,5.0,AMBULATORY,6/24/21,HI
Hawaii Loa Care Services Llc,272 PANIO STREET,Honolulu,,1609-C,8087413240.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SUSAN HALVORSEN,5.0,FULLY AMBULATORY,6/24/21,HI
Heart To Heart Care Home,94-384 ANA LANE,Waipahu,,1544-C,8086360904.0,TYPE I  ADULT RESIDENTIAL CARE HOME,TRACY LOCKHART,5.0,AMBULATORY,6/24/21,HI
Helen Y. Agbayani,1328 KAMEHAMEHA IV ROAD,Honolulu,,1345-C,8088438203.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,HELEN AGBAYANI,5.0,AMBULATORY,6/24/21,HI
Hermelina Apuya,92-761 PAAKAI STREET,Kapolei,,1153-C,8086820642.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,HERMELINA APUYA,5.0,AMBULATORY,6/24/21,HI
Hernani T. Valenzuela Aguilar Arch/Ec-Arch,98-864 KAAMILO STREET,Aiea,,1530-C,8084869243.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,HERNANI VALENZUELA AGUILAR,4.0,AMBULATORY,6/24/21,HI
"Hokulaki Senior Living, L.L.C.",45-217A WILLIAM HENRY ROAD,Kaneohe,,1471-C,8082358388.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,MYRIAM TABANIAG,8.0,AMBULATORY,6/24/21,HI
Holy Family Arch I,47-410 AHUIMANU ROAD,Kaneohe,,472-C,8082397993.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,VIRGINIA GUILLERMO,5.0,AMBULATORY,6/24/21,HI
Holy Family Ii,47-410 AHUIMANU ROAD,Kaneohe,,538-C,8082397993.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,VIRGINIA GUILLERMO,40.0,AMBULATORY,6/24/21,HI
Home Away From Home,1321A PALOLO AVENUE,Honolulu,,1278-C,8087390640.0,TYPE I  ADULT RESIDENTIAL CARE HOME,EMA ARELLIANO,5.0,FULLY AMBULATORY,6/24/21,HI
Home Away From Home Ii Corporation,1321 A PALOLO AVENUE,Honolulu,,1549-C,8083123937.0,TYPE I  ADULT RESIDENTIAL CARE HOME,EMA ARELLIANO,5.0,AMBULATORY,6/24/21,HI
Honesty,775 ANALIO STREET,Wailuku,,1236-C,8089860008.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ZENAIDA VALDEZ,5.0,AMBULATORY,6/24/21,HI
Hoomaluhia Arch,45-672 LULUKU ROAD,Kaneohe,,1629-C,,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JOSEPHINE LESA,5.0,,6/24/21,HI
Ho'Onani Care Home,65-1267B LINDSEY ROAD,Kamuela,,1538-C,8088966417.0,TYPE I  ADULT RESIDENTIAL CARE HOME,KARYN CLAY,5.0,AMBULATORY,6/24/21,HI
House Of Aloha,86-569 PAHEEHEE ROAD,Waianae,,1512-C,8086963021.0,TYPE I  ADULT RESIDENTIAL CARE HOME,"SISTER LORLENE PANALIGAN, O.P.",5.0,AMBULATORY,6/24/21,HI
"Huapala Senior Care A, Llc",2649 A HUAPALA STREET,Honolulu,,1526-C,8089887505.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
"Huapala Senior Care B, Llc",2649 B HUAPALA STREET,Honolulu,,1527-C,8089887394.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
"Huapala Senior Care C, Llc",2649 C HUAPALA STREET,Honolulu,,1534-C,8089887505.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
"Huapala Senior Care D, Llc",2649 D HUAPALA STREET,Honolulu,,1536-C,8089887505.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
"Ilar, Emelyn",1712 KEONE STREET,Hilo,,1123-C,8089591247.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EMELYN ILAR,5.0,AMBULATORY,6/24/21,HI
Imelda  G. Arreola,87-164 KAUKAMANA STREET,Waianae,,1224-C,8083580746.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,IMELDA ARREOLA,5.0,AMBULATORY,6/24/21,HI
Indel'S,58-109 KAUNALA STREET,Haleiwa,,1016-C,8087229159.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,INDELICIA BRILLANTE,4.0,AMBULATORY,6/24/21,HI
"Inocencio, Patricia",1423 MAILANI STREET,Hilo,,1043-C,8089594530.0,TYPE I  ADULT RESIDENTIAL CARE HOME,PATRICIA INOCENCIO,5.0,AMBULATORY,6/24/21,HI
Irene Della Adult Residential Care Home,189 MAIKA STREET,Wailuku,,1518-C,8082984703.0,TYPE I  ADULT RESIDENTIAL CARE HOME,IRENE DELLA,4.0,AMBULATORY,6/24/21,HI
Irenea B. Alipio,733 ILUNA PLACE,Kahului,,1318-C,8088729770.0,TYPE I  ADULT RESIDENTIAL CARE HOME,IRENEA ALIPIO,3.0,AMBULATORY,6/24/21,HI
Island Care Home Llc,151 CHONG STREET,Hilo,,1632-C,8083158078.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,HESTIA YI LEE,5.0,,6/24/21,HI
Island Living Ii Arch/Earch,92-1238 UMENA STREET,Kapolei,,1446-C,8086727952.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NARCISA JATICO,5.0,AMBULATORY,6/24/21,HI
Island Ohana Care,3846 NOEAU STREET,Honolulu,,1600-C,8087375102.0,TYPE I  ADULT RESIDENTIAL CARE HOME,NINAN BARNES,5.0,AMBULATORY,6/24/21,HI
Island Promise Arch,4330 LAAKEA STREET,Honolulu,,1615-C,8084280990.0,TYPE I  EXPANDED ADULT RESIDENTIAL CARE HOME,ANITA FELIPE,5.0,AMBULATORY,6/24/21,HI
Island Promise Arch Ii,1177 KUKILA STREET,Honolulu,,1627-C,,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ANITA FELIPE,5.0,,6/24/21,HI
J & A,45-349 KENELA STREET,Kaneohe,,1357-C,8082341580.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SUSAN BONDOC,5.0,AMBULATORY,6/24/21,HI
J & J,94-276 PUPUKOAE STREET,Waipahu,,1112-C,8086767027.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FLORA CADIZ,5.0,AMBULATORY,6/24/21,HI
J. Quinabo Arch #1,1553 KAWELOKA STREET,Pearl City,,1391-C,8084564190.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,"J. QUINABO CARE HOME, LLC",5.0,AMBULATORY,6/24/21,HI
J.B.M. Arch,94-1282 HIAPAIOLE PLACE,Waipahu,,1448-C,8086770474.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JANETTE MENDOZA,5.0,FULLY AMBULATORY,6/24/21,HI
J.C.,203 AWA PLACE,Kihei,,1074-C,8088794827.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CATALINA GARCIA,5.0,AMBULATORY,6/24/21,HI
Jai Adult Residential Care Home,1719 PERRY STREET,Honolulu,,1561-C,8087620524.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JENNIFER IBANA,5.0,FULLY AMBULATORY,6/24/21,HI
Jaja Arch,1459 KALEILANI STREET,Pearl City,,1305-C,8086641988.0,TYPE I  ADULT RESIDENTIAL CARE HOME,AGNES TABANGCURA,5.0,AMBULATORY,6/24/21,HI
"Jamandre, Evangeline G.",2030 UHU STREET,Honolulu,,1331-C,8088426597.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVANGELINE JAMANDRE,5.0,AMBULATORY,6/24/21,HI
Jerez Care Home,24 PUUKANI STREET,Kahului,,1271-C,8088717881.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LEONORA JEREZ,5.0,AMBULATORY,6/24/21,HI
