Facility Name,Address,City,Zip Code,License Number,Phone Number,State Facility Type 1 Literal,Licensee,Capacity,State Facility Type 2 Literal,Date Accessed,State
Paranada #2,16 HOOLAULEA STREET,Hilo,,1245-C,8089597394.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LEANDRO PARANADA,5.0,AMBULATORY,6/24/21,HI
"Parubrub, Tina",94-1108 HINA STREET,Waipahu,,824-C,8086713637.0,TYPE I  ADULT RESIDENTIAL CARE HOME,TINA PARUBRUB,4.0,AMBULATORY,6/24/21,HI
"Pascual, Esther",1802 WAHINE PLACE,Honolulu,,791-C,8088420227.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ESTHER PASCUAL,4.0,AMBULATORY,6/24/21,HI
"Pascual, Marissa G.",45-220 NAMOKU STREET,Kaneohe,,1183-C,8082357515.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARISSA G. PASCUAL,5.0,AMBULATORY,6/24/21,HI
"Pascual, Soledad",91-711 FORT WEAVER ROAD,Ewa Beach,,770-C,8086898569.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SOLEDAD PASCUAL,4.0,FULLY AMBULATORY,6/24/21,HI
Pascual'S,1521 ALA IOLANI PLACE,Honolulu,,342-C,8088342970.0,TYPE I  ADULT RESIDENTIAL CARE HOME,TRINA PASCUAL,5.0,FULLY AMBULATORY,6/24/21,HI
Pat'S Arch,91-1029 HANAKAHI STREET,Ewa Beach,,1363-C,8086896800.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,PATRICIA NUNEZ,5.0,FULLY AMBULATORY,6/24/21,HI
Pearl'S Paradise,1304 ANAPA STREET,Honolulu,,1580-C,8084239507.0,TYPE I  ADULT RESIDENTIAL CARE HOME,PERLITA TABIL,5.0,AMBULATORY,6/24/21,HI
Pohai Nani - 'Ahui Nani,45-090 NAMOKU STREET,Kaneohe,,1241-C,8082476211.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUDITH MATTHEWS,5.0,AMBULATORY,6/24/21,HI
Pohai Nani - 'Ahui 'Olu,45-090 NAMOKU STREET,Kaneohe,,1242-C,8082476211.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUDITH MATTHEWS,5.0,AMBULATORY,6/24/21,HI
Pohai Nani 'Ahui Laule'A,45-090 NAMOKU STREET,Kaneohe,,1325-C,8082476211.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUDITH MATTHEWS,5.0,AMBULATORY,6/24/21,HI
Pohai Nani 'Ahui Malie,45-090 NAMOKU STREET,Kaneohe,,1324-C,8082476211.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JUDITH MATTHEWS,5.0,AMBULATORY,6/24/21,HI
Poncethia R. Rambo'S,1621 NOHOANA PLACE,Hilo,,1476-C,8089598639.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,PONCETHIA RAMBO,5.0,AMBULATORY,6/24/21,HI
Precious Moment Adult Residential Care Home,4229 KEAKA DRIVE,Honolulu,,1246-C,8084236358.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVANGELINE ANDRES,5.0,AMBULATORY,6/24/21,HI
"Prieto, Gloria",3504 LIKINI STREET,Honolulu,,742-C,8084222264.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GLORIA PRIETO,5.0,AMBULATORY,6/24/21,HI
Prime Health Services Care Home,99-1041 HALAWA HEIGHTS ROAD,Aiea,,1508-C,8084285844.0,TYPE I  ADULT RESIDENTIAL CARE HOME,RAFAEL ANTONIO,5.0,AMBULATORY,6/24/21,HI
Prime Health Services Care Home Ii,107B KILEA PLACE,Wahiawa,,1559-C,8084285844.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RAFAEL ANTONIO,5.0,AMBULATORY,6/24/21,HI
Pualei Care Home,7246 ANAKUA STREET,Honolulu,,1550-C,8083589323.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RUBY JOSE,5.0,AMBULATORY,6/24/21,HI
"Quiocho, Lolita",4103 LIKINI STREET,Honolulu,,810-C,8084226128.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LOLITA QUIOCHO,4.0,FULLY AMBULATORY,6/24/21,HI
"Quitevis, Elena",1614 MALUAWAI STREET,Pearl City,,750-C,8084557346.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ELENA QUITEVIS,5.0,AMBULATORY,6/24/21,HI
R & A Care Home,123 UAKANIKOO PLACE,Wahiawa,,1607-C,8088888925.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,AMALIA GARCIA-LINDENMUTH,5.0,AMB,6/24/21,HI
R & B Arch/E-Arch Llc,94-912 KUMUAO STREET,Waipahu,,1429-C,8082348241.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,REMEDIOS AGUINALDO,5.0,AMBULATORY,6/24/21,HI
"R & M Duran, L.L.C.",94-628 LOA'A STREET,Waipahu,,1315-C,8086780150.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARENILA DURAN,5.0,AMBULATORY,6/24/21,HI
R.K.C. Arch,91-938 HANAKAHI STREET,Ewa Beach,,1269-C,8083477532.0,TYPE I  ADULT RESIDENTIAL CARE HOME,JOSEPHINE FITZGERALD,3.0,AMBULATORY,6/24/21,HI
Rabaino'S,328 HIE STREET,Kapaa,,1250-C,8088229753.0,TYPE I  ADULT RESIDENTIAL CARE HOME,LALAINE RABAINO,5.0,AMBULATORY,6/24/21,HI
Rafael Care Home,98-1713 LAAUHUAHUA WAY,Pearl City,,1385-C,8084559282.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARLENE RAFAEL,5.0,AMBULATORY,6/24/21,HI
"Rafael, Evelyn",94-105 HAAA STREET,Waipahu,,1082-C,8086719717.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVELYN RAFAEL,5.0,AMBULATORY,6/24/21,HI
Raguindin Malama Kauhale Arch,94-088 AWAMOKU STREET,Waipahu,,1025-C,8086777464.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,BELMA RAGUINDIN,5.0,AMBULATORY,6/24/21,HI
Rainbow Adult Residential Care Home/Expanded Arch,95-195 AUMEA LOOP,Mililani,,1510-C,8086252425.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,DEBBIE BORGONIA,5.0,AMBULATORY,6/24/21,HI
Ramelb Adult Residential Care Home,16-1508 35TH AVENUE,Keaau,,1504-C,8089669553.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EVELYN RAMELB,4.0,AMBULATORY,6/24/21,HI
Ramos Care Center Llc,1365 KUAHAKA STREET,Pearl City,,1621-C,8087726090.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,KATHLEEN RAMOS,3.0,FULLY AMBULATORY,6/24/21,HI
"Ramos, Arsenia",4028 SALT LAKE BOULEVARD,Honolulu,,711-C,8084224886.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ARSENIA RAMOS,1.0,FULLY AMBULATORY,6/24/21,HI
"Ramos, Consolacion",1742 ALA AOLANI PLACE,Honolulu,,618-C,8088339812.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CONSOLACION RAMOS,3.0,FULLY AMBULATORY,6/24/21,HI
Raqueno Care Home,3454 LIKINI STREET,Honolulu,,1603-C,8084224324.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MELKARTH RAQUENO,5.0,FULLY AMBULATORY,6/24/21,HI
Raza Adult Residential Care Home-Expanded Care,61 KEHAULANI STREET,Hilo,,1501-C,8089593166.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RUTH RAZA,5.0,AMBULATORY,6/24/21,HI
"Respicio, Maria",328 WAINOHIA PLACE,Hilo,,687-C,8089597246.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARIA RESPICIO,5.0,AMBULATORY,6/24/21,HI
Reyes Care Home,94-931-A LUMIHOAHU STREET,Waipahu,,532-C,8086710606.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CORAZON REYES,5.0,AMBULATORY,6/24/21,HI
"Reyes, Cesaria",2602 NIHI STREET,Honolulu,,812-C,8088430597.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CESARIA REYES,2.0,FULLY AMBULATORY,6/24/21,HI
Riingen Arch/Expanded Arch,17-559 IPUAIWAHA STREET,Keaau,,1524-C,8089823658.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,BENITA RIINGEN,5.0,AMBULATORY,6/24/21,HI
Rj Santiago Arch & E-Arch,94-571 LOAA STREET,Waipahu,,1204-C,8086718901.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,JULIET SANTIAGO,5.0,AMBULATORY,6/24/21,HI
"Rmj Adult Care Home, Inc.",94-1048 AWALAI STREET,Waipahu,,1591-C,8086769848.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARICEL ROSARIO,5.0,AMBULATORY,6/24/21,HI
Rnf Rainbow Adult Residential Care Home Llc,94-1178 HOOMAKOA STREET,Waipahu,,1619-C,8086641022.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ROSEMARY CAYABYAB,3.0,AMBULATORY,6/24/21,HI
Rodriguez Care Home,1647 PAAAINA PLACE,Pearl City,,1029-C,8084554465.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,TERESITA RODRIGUEZ,5.0,AMBULATORY,6/24/21,HI
Ronidel Care Home,94-407 KAHUALENA STREET,Waipahu,,1628-C,,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MILAGROS RONIDEL,,,6/24/21,HI
Rosana Dumlao,94-871 AWANEI STREET,Waipahu,,1053-C,8086710166.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ROSANA DUMLAO,5.0,AMBULATORY,6/24/21,HI
Rosario,94-1134 HAPAPA STREET,Waipahu,,1494-C,8086712609.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ROSARIO GOMEZ,5.0,AMBULATORY,6/24/21,HI
"Rosario, Trinidad",372 PAKAUWILI DRIVE,Wahiawa,,712-C,8086210819.0,TYPE I  ADULT RESIDENTIAL CARE HOME,TRINIDAD ROSARIO,5.0,AMBULATORY,6/24/21,HI
Rose Hwang'S Care Home,1755 PALAMOI STREET,Pearl City,,1399-C,8087411611.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ROSE HWANG,4.0,AMBULATORY,6/24/21,HI
Roselle Ragasa Adult Residential Care Home (Arch) Corp.,4523 LIKINI STREET,Honolulu,,1593-C,8086224177.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ROSELLE RAGASA,5.0,AMBULATORY,6/24/21,HI
"Ruth'S House, L.L.C.",73-4318 KEO KEO STREET,Kailua-Kona,,1374-C,8083256283.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LEIGHA HUBER,5.0,AMBULATORY,6/24/21,HI
Sagadraca Care Home,94-329 KIOKIO PLACE,Waipahu,,1070-C,8086713695.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SAGADRACA AURORA,5.0,AMBULATORY,6/24/21,HI
"Sagaysay, Makrina",1112 KOPKE STREET,Honolulu,,802-C,8088480451.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MAKRINA SAGAYSAY,3.0,AMBULATORY,6/24/21,HI
"Sales, Abner",94-1156 HALELEHUA STREET,Waipahu,,1343-C,8086765140.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ABNER SALES,5.0,AMBULATORY,6/24/21,HI
"Salvador, Catherine",2318 AWAPUHI STREET,Hilo,,1419-C,8089810613.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CATHERINE SALVADOR,5.0,AMBULATORY,6/24/21,HI
"Sambajon, Remedios",94-1042 HALELEHUA STREET,Waipahu,,677-C,8086783612.0,TYPE I  ADULT RESIDENTIAL CARE HOME,REMEDIOS SAMBAJON,5.0,AMBULATORY,6/24/21,HI
"Santos, Norma",4240 KEAKA DRIVE HONOLULU,Honolulu,,1214-C,8084237454.0,TYPE I  ADULT RESIDENTIAL CARE HOME,NORMA SANTOS,5.0,FULLY AMBULATORY,6/24/21,HI
Sebastian'S Arch Llc,1630 LEILANI STREET,Honolulu,,761-C,8088452461.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ADELINA SEBASTIAN,5.0,AMBULATORY,6/24/21,HI
"Selga, Natividad",45-933 KEAAHALA PLACE,Kaneohe,,817-C,8082471699.0,TYPE I  ADULT RESIDENTIAL CARE HOME,NATIVIDAD SELGA,5.0,AMBULATORY,6/24/21,HI
"Senior Living With Aloha, L.L.C.",1419 16TH AVENUE,Honolulu,,1443-C,8083832597.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MOHAMMED RUMI,5.0,AMBULATORY,6/24/21,HI
"Sera, Aurora",1305 MOKAPU BOULEVARD,Kailua,,1107-C,8082546124.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,AURORA SERA,5.0,AMBULATORY,6/24/21,HI
"Serapion, Shirley",94-258 KAHUAHELE STREET,Waipahu,,637-C,8086716376.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SHIRLEY SERAPION,5.0,AMBULATORY,6/24/21,HI
Serenity Care Home Hawaii Kai,1072 KALAPAKI STREET,Honolulu,,1590-C,8084921033.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ANA JOSE,5.0,AMBULATORY,6/24/21,HI
Serenity Hawaii Carehome Llc,94-559 APII PLACE,Waipahu,,1545-C,8082029465.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CLAUDIA CABRERA-PRANTL,5.0,AMBULATORY,6/24/21,HI
Sharolyn L Galamay Llc,91-1141 KAUIKI STREET,Ewa Beach,,1398-C,8086897092.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SHAROLYN GALAMAY,4.0,AMBULATORY,6/24/21,HI
Simpliciano'S Arch,94-106 KAUPU PLACE,Waipahu,,1133-C,8086710396.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,OFELIA SIMPLICIANO,5.0,AMBULATORY,6/24/21,HI
"Snouffer, Cely",712 HOOMALIMALI STREET,Pearl City,,681-C,8084540741.0,TYPE I  ADULT RESIDENTIAL CARE HOME,CELY SNOUFFER,5.0,AMBULATORY,6/24/21,HI
"Solmerin, Ofelia",366 KAPUALANI STREET,Hilo,,663-C,8089598421.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,OFELIA SOLMERIN,5.0,AMBULATORY,6/24/21,HI
Soriano Care Home,2307 NORTH SCHOOL STREET,Honolulu,,1276-C,8088450512.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,HELEN SORIANO,5.0,AMBULATORY,6/24/21,HI
Sts Adult Foster Service Llc,1604 PERRY STREET,Honolulu,,1613-C,8083689378.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,STEVEN SCOTT JR.,5.0,AMBULATORY,6/24/21,HI
Suenaga Ii,45-390 KAMEHAMEHA HIGHWAY,Kaneohe,,1264-C,8082363465.0,TYPE I  ADULT RESIDENTIAL CARE HOME,STACY PERRY,5.0,AMBULATORY,6/24/21,HI
Suetos Care Home,4415 UKALI STREET,Honolulu,,1411-C,8084228757.0,TYPE I  ADULT RESIDENTIAL CARE HOME,EDERLINA SUETOS,5.0,AMBULATORY,6/24/21,HI
Sun Moon,1020 HALA DRIVE,Honolulu,,1366-C,8085951073.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARIA GALLEGO,5.0,AMBULATORY,6/24/21,HI
Superior Care Group L.L.C.,2115 GERTZ LANE #A,Honolulu,,1605-C,8084971797.0,TYPE I  ADULT RESIDENTIAL CARE HOME,SHANELLE BAXA,5.0,FULLY AMBULATORY,6/24/21,HI
"Susan'S Adult Residential Care, Llc",1315 GULICK AVENUE,Honolulu,,1338-C,8088452879.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,SUSAN RAMIRO,5.0,AMBULATORY,6/24/21,HI
Sweet Haven,98-1274 HOOHUALI PLACE,Pearl City,,1394-C,8084564749.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,BERNARDO FOGATA,4.0,AMBULATORY,6/24/21,HI
"T & F Home Services, L.L.C.",45-339 KAHOWAA PLACE,Kaneohe,,1403-C,8085907769.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,FRANCESCA MAFUA,4.0,AMBULATORY,6/24/21,HI
"Tablit, Elpidio",94-544 HIAHIA LOOP,Waipahu,,982-C,8086715255.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ELPIDIO TABLIT,5.0,FULLY AMBULATORY,6/24/21,HI
Tabora'S,94-970 LUMIHOAHU STREET,Waipahu,,1106-C,8086778767.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LOURDES TABORA,5.0,AMBULATORY,6/24/21,HI
Tacotaco Arch,1017 ALA LEHUA STREET,Honolulu,,1360-C,8088335178.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CRISTETA TACOTACO,5.0,AMBULATORY,6/24/21,HI
Tadeo,17-566 S. IPU'AIWAHA STREET,Keaau,,1163-C,8089827274.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,RIANALYN HANDY,4.0,AMBULATORY,6/24/21,HI
Tangonan Adult Residential Care Home,94-228 MOENA PLACE,Waipahu,,1407-C,8086869357.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,EDNA TANGONAN,5.0,AMBULATORY,6/24/21,HI
Tanisue Care Home,1615 HOOLANA STREET,Pearl City,,1469-C,8084559217.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CLARISA TANISUE,5.0,AMBULATORY,6/24/21,HI
Tender Loving Care,94-1227 KAHUANUI STREET,Waipahu,,1124-C,8086710695.0,TYPE I  ADULT RESIDENTIAL CARE HOME,JOVITA IBON,5.0,FULLY AMBULATORY,6/24/21,HI
"Tender Loving Care G. Care Home, Llc",1730 KILOHI STREET,Honolulu,,1620-C,8088450742.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GRACE FERNIM,5.0,AMBULATORY,6/24/21,HI
The Paperbark House,1038 MOKAPU BOULEVARD,Kailua,,1592-C,8082863274.0,TYPE I  ADULT RESIDENTIAL CARE HOME,IAN TAYLOR,5.0,AMBULATORY,6/24/21,HI
Tj Factora Care Home,830 SECOND STREET,Pearl City,,1520-C,8084566084.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,TESSIE FACTORA,5.0,AMBULATORY,6/24/21,HI
"Tlc Ohana Hale, Inc.",99-019 KEALAKAHA DRIVE,Aiea,,1434-C,8082551151.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LILIBETH CAOILE,5.0,AMBULATORY,6/24/21,HI
Ugalino Arch,1017 EHOEHO AVENUE,Wahiawa,,882-C,8086216174.0,TYPE I  ADULT RESIDENTIAL CARE HOME,JOSEFINA UGALINO,5.0,FULLY AMBULATORY,6/24/21,HI
"Ulep, Juanita",2817 NIHI STREET,Honolulu,,836-C,8088451459.0,TYPE I  ADULT RESIDENTIAL CARE HOME,JUANITA ULEP,5.0,AMBULATORY,6/24/21,HI
"United Family Care Home, Llc",1328 MOLEHU DRIVE,Honolulu,,1143-C,8084211775.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,HELEN GO,5.0,AMBULATORY,6/24/21,HI
Valdez Care Home,94-1031 LUMIAUAU STREET,Waipahu,,751-C,8086775398.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MINDA VALDEZ,5.0,AMBULATORY,6/24/21,HI
"Valley View Pearl City, Llc",944 MAIHA CIRCLE,Pearl City,,1380-C,8086645701.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,CAROL FARDAL,5.0,AMBULATORY,6/24/21,HI
Vargas Care Home,94-296 KAHUAHELE STREET,Waipahu,,521-C,8086712088.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,LEVY VARGAS,5.0,AMBULATORY,6/24/21,HI
Veronica Esteban Care Home,1342 KAMEHAMEHA IV ROAD,Honolulu,,297-C,8088883402.0,TYPE I  ADULT RESIDENTIAL CARE HOME,VERONICA ESTEBAN,5.0,AMBULATORY,6/24/21,HI
Vicky'S,99-1002-D PUUMAKANI STREET,Aiea,,547-C,8084880504.0,TYPE I  ADULT RESIDENTIAL CARE HOME,VICTORIA EISCHEN,5.0,AMBULATORY,6/24/21,HI
Victoria,1705 EMA PLACE,Honolulu,,1054-C,8088451820.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ELENA RAGASA,4.0,AMBULATORY,6/24/21,HI
Victoria Expanded Care Home Llc,94-1381 HIAAI PLACE,Waipahu,,319-C,8086717308.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,VICKY BAGAIN,5.0,AMBULATORY,6/24/21,HI
Victoria Gabriella Care Home,94-100 KAUWEKE PLACE,Waipahu,,1540-C,8087826184.0,TYPE I  ADULT RESIDENTIAL CARE HOME,AIDA RUFO,5.0,AMBULATORY,6/24/21,HI
"Viernes, May G.",94-1184 HINA STREET,Waipahu,,1243-C,8086764787.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MAY VIERNES,5.0,AMBULATORY,6/24/21,HI
Vilas Home Care Inc,94-1254 KAHUAINA STREET,Waipahu,,1572-C,8088886489.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ANABEL VILA,5.0,AMBULATORY,6/24/21,HI
Vilas Home Care Inc Ii,5119 B LIKINI STREET,Honolulu,,1601-C,8088886489.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ANABEL VILA,5.0,AMBULATORY,6/24/21,HI
Village Park Adult Residential Care Home,94-101 KAUWEKE PLACE,Waipahu,,1551-C,8086773520.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARILOU PERALTA,4.0,AMBULATORY,6/24/21,HI
"Villar, Marylin",94-242 PUPUKAHI STREET,Waipahu,,876-C,8086781482.0,TYPE I  ADULT RESIDENTIAL CARE HOME,MARYLIN VILLAR,5.0,AMBULATORY,6/24/21,HI
"Violet'S Care Home, Inc.",1104 WILIKI DRIVE,Honolulu,,1167-C,8084230553.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,VIOLET SADURAL,5.0,AMBULATORY,6/24/21,HI
Waialae Senior Living,2945 KALEI ROAD,Honolulu,,1553-C,8089416960.0,TYPE I  ADULT RESIDENTIAL CARE HOME,KATHLEEN TAKAMORI,5.0,AMBULATORY,6/24/21,HI
Waialae Senior Living 2,2945-A KALEI ROAD,Honolulu,,1571-C,8084885521.0,TYPE I  ADULT RESIDENTIAL CARE HOME,KATHLEEN TAKAMORI,5.0,AMBULATORY,6/24/21,HI
Wailua Ohana Inc.,187 LIHAU STREET,Kapaa,,1569-C,8088238004.0,TYPE I  ADULT RESIDENTIAL CARE HOME,DEBRA APOR-BAHNMILLER,4.0,AMBULATORY,6/24/21,HI
Waipahu Hale,94-1201 HUAKAI STREET,Waipahu,,1454-C,8086771424.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,AGA ANTONIO,5.0,AMBULATORY,6/24/21,HI
Weber'S,3056 NIHI STREET,Honolulu,,1285-C,8088432061.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,WEBER PERLA,5.0,AMBULATORY,6/24/21,HI
Wilson Senior Living Kailua,96 KANEOHE BAY DRIVE,Kailua,,1513-C,8082537460.0,TYPE II ADULT RESIDENTIAL CARE HOME,SHELLEY WILSON,22.0,AMBULATORY,6/24/21,HI
Winmax Senior Care L.L.C.,3808 HARDING AVENUE,Honolulu,,1313-C,8084400560.0,TYPE II EXPANDED ADULT RESIDENTIAL CARE HOME,PAUL DOLD,8.0,AMBULATORY,6/24/21,HI
Wisdom Home Care Llc,94-234 WAIKELE ROAD,Waipahu,,1633-C,8083835409.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,MARICOR DELA CRUZ,4.0,,6/24/21,HI
Yamashiro Care Home L.L.C.,45-386 KAMEHAMEHA HIGHWAY,Kaneohe,,1412-C,8082852604.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,VIVIAN YAMASHIRO,5.0,AMBULATORY,6/24/21,HI
Yaying House Inc.,3285 OLU STREET,Honolulu,,1376-C,8087378307.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,YAYING LIU,5.0,AMBULATORY,6/24/21,HI
Yolanda Razon-Collo,4345 LIKINI STREET,Honolulu,,1117-C,8084227881.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,YOLANDA RAZON-COLLO,5.0,AMBULATORY,6/24/21,HI
Yoon'S Care Home,1754 KOMO MAI DRIVE,Pearl City,,1517-C,8083921091.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,YOON YOUNG,5.0,AMBULATORY,6/24/21,HI
"Zen Residences, L.L.C.",432 HOOMALU STREET,Pearl City,,1460-C,8083885285.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,AGBUNAG JARRAH,5.0,AMBULATORY,6/24/21,HI
Zenaida'S,67-435 KUKEA CIRCLE,Waialua,,488-C,8086379770.0,TYPE I  ADULT RESIDENTIAL CARE HOME,ZENAIDA RIVERA,5.0,AMBULATORY,6/24/21,HI
