Facility ID,Facility Name,Address,State,City,County,Zip Code,Phone Number,State Facility Type 1 Literal,State Facility Type 2 Literal,Date Accessed
000001NFS,Hooverwood,7001 HOOVER RD,IN,Indianapolis,Marion,46260,3172512261,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000009NFS,Heritage House Of Shelbyville,2309 S MILLER ST,IN,Shelbyville,Shelby,46176,3173989781,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000010NFS,Greenwood Village South,295 VILLAGE LANE,IN,Greenwood,Johnson,46143,3178594444,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000018NFS,Miller'S Merry Manor,612 E 11TH ST,IN,Rushville,Rush,46173,7659324127,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000029NFS,Beech Grove Meadows,2002 ALBANY ST,IN,Beech Grove,Marion,46107,3177832911,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000041NFS,Miller'S Merry Manor,635 OAKHILL AVE,IN,Plymouth,Marshall,46563,5749369981,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000084NFS,Westminster Village North,11050 PRESBYTERIAN DR,IN,Indianapolis,Marion,46236,3178236841,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000086NFS,Westminster Village Muncie Inc,5801 W BETHEL AVE,IN,Muncie,Delaware,47304,7652882155,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000089NFS,Miller'S Merry Manor,505 N BRADNER AVE,IN,Marion,Grant,46952,7656623981,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000093NFS,Westminster Village - West Lafayette,2741 N SALISBURY ST,IN,West Lafayette,Tippecanoe,47906,7654637546,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000100NFS,Westminster Health Care Center,2210 GREENTREE N,IN,Clarksville,Clark,47129,8122825911,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000103NFS,Altenheim Health & Living Community,3525 E HANNA AVE,IN,Indianapolis,Marion,46237,3177884261,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000105NFS,Marquette,8140 TOWNSHIP LINE RD,IN,Indianapolis,Marion,46260,3178759700,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000115NFS,Hanover Nursing Center,410 W LAGRANGE RD,IN,Hanover,Jefferson,47243,8128662625,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000125NFS,Dyer Nursing And Rehabilitation Center,601 SHEFFIELD AVE,IN,Dyer,Lake,46311,2193222273,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000126NFS,Westminster Village Health & Rehab,1120 E DAVIS DR,IN,Terre Haute,Vigo,47802,8122327533,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000141NFS,Avon Health & Rehabilitation Center,4171 FOREST POINTE CIRCLE,IN,Avon,Hendricks,46123,3177455184,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000180NFS,Good Samaritan Society Northwood Retirement Comm,2515 NEWTON ST,IN,Jasper,Dubois,47547,8124821722,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000187NFS,St Elizabeth Healthcare Center,701 ARMORY RD,IN,Delphi,Carroll,46923,7655646380,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000189NFS,American Village,2026 EAST 54TH ST,IN,Indianapolis,Marion,46220,3172536950,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000191NFS,Forum At The Crossing,8505 WOODFIELD CROSSING BLVD,IN,Indianapolis,Marion,46240,3174662020,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000228NFS,Ossian Health Care And Rehabilitation Center,215 DAVIS RD,IN,Ossian,Wells,46777,2606227821,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000240NFS,Saint Anne Home,1900 RANDALLIA DR,IN,Fort Wayne,Allen,46805,2604845555,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000248NFS,Rawlins House Health & Living Community,300 J H WALKER DR,IN,Pendleton,Madison,46064,7657787501,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000252NFS,Amber Manor Care Center,801 E ILLINOIS ST,IN,Petersburg,Pike,47567,8123543001,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000255NFS,Byron Health Center,12101 LIMA RD,IN,Fort Wayne,Allen,46818,2606373166,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000280NFS,Swiss Village,1350 W MAIN ST,IN,Berne,Adams,46711,2605893173,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000282NFS,Golden Years Homestead,3136 GOEGLEIN RD,IN,Fort Wayne,Allen,46815,2607499655,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000283NFS,Lutheran Life Villages,6701 S ANTHONY BLVD,IN,Fort Wayne,Allen,46816,2604471591,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000299NFS,Milner Community Health Care,370 E MAIN ST,IN,Rossville,Clinton,46065,7653792112,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
312,Rosewood Manor,5200 S BURLINGTON DR,IN,Muncie,Delaware,47302,7652880087,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
000347NFS,Lutheran Community Home,111 W CHURCH AVE,IN,Seymour,Jackson,47274,8125225927,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000372NFS,Elwood Health And Living,2300 PARKVIEW LN,IN,Elwood,Madison,46036,7652032672,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000389NFS,St Augustine Home For The Aged,2345 W 86TH ST,IN,Indianapolis,Marion,46260,3174155767,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000391NFS,St Paul Hermitage,501 N 17TH AVE,IN,Beech Grove,Marion,46107,3177862261,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000404NFS,Presence Sacred Heart Home,515 N MAIN ST,IN,Avilla,Noble,46710,2608972841,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000419NFS,Parker Health Care & Rehabilitation Center,359 RANDOLPH ST,IN,Parker City,Randolph,47368,7654688280,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000420NFS,Ripley Crossing,1200 WHITLATCH WAY,IN,Milan,Ripley,47031,8126542231,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000427NFS,Hamilton Grove,31869 CHICAGO TRAIL,IN,New Carlisle,St Joseph,46552,5746542200,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000439NFS,Good Samaritan Home Health Center And Residential,601 N BOEKE RD,IN,Evansville,Vanderburgh,47711,8124764912,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000448NFS,Timbercrest Church Of The Brethren Home,2201 EAST ST,IN,North Manchester,Wabash,46962,2609822118,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000455NFS,Arbor Trace Health & Living Community,3701 HODGIN RD,IN,Richmond,Wayne,47374,7659393701,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000470NFS,Mulberry Health & Rehabilitation Center,502 W JACKSON ST,IN,Mulberry,Clinton,46058,7652962911,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000471NFS,Aperion Care Demotte,10352 N 600 E  COUNTY LINE RD,IN,Demotte,Jasper,46310,2193455211,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000485NFS,Peabody Retirement Community,400 W SEVENTH ST,IN,North Manchester,Wabash,46962,2609828616,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000491NFS,Paddock Springs,2695 SHELDON STREET,IN,Warsaw,Kosciusko,46582,5746589455,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000501NFS,Grace Village Health Care Facility,337 GRACE VILLAGE DR,IN,Winona Lake,Kosciusko,46590,5743726100,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000534NFS,Scenic Hills At The Monastery,710 SUNRISE DRIVE,IN,Ferdinand,Dubois,47532,8125042048,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000538NFS,Zionsville Meadows,675 S FORD RD,IN,Zionsville,Boone,46077,3178735205,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000539NFS,Parkview Haven,101 CONSTITUTION DR,IN,Francesville,Pulaski,47946,2195679149,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000541NFS,Towne House Retirement Community,2209 ST JOE CENTER RD,IN,Fort Wayne,Allen,46825,2604833116,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000542NFS,Heritage Pointe,801 N HUNTINGTON AVE,IN,Warren,Huntington,46792,2603752201,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000543NFS,Four Seasons Retirement Center,1901 TAYLOR RD,IN,Columbus,Bartholomew,47203,8123728481,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000547NFS,Cumberland Pointe Health Campus,1051 CUMBERLAND AVE,IN,West Lafayette,Tippecanoe,47906,7654632571,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000548NFS,Hoosier Village,9875 CHERRYLEAF DR,IN,Indianapolis,Marion,46268,3178733349,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000549NFS,Century Villa Health Care,705 N MERIDIAN ST,IN,Greentown,Howard,46936,7656283377,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000551NFS,Harbour Manor Health & Living Community,1667 SHERIDAN RD,IN,Noblesville,Hamilton,46060,3177739205,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000556NFS,Adams Woodcrest,1300 MERCER AVE,IN,Decatur,Adams,46733,2607243311,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000557NFS,Wesleyan Health Care Center,729 WEST 35TH ST,IN,Marion,Grant,46953,7656743371,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000576NFS,Christian Care Retirement Community,720 E DUSTMAN RD,IN,Bluffton,Wells,46714,2605653000,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001120NFS,Asbury Towers Health Care Center,102 W POPLAR ST,IN,Greencastle,Putnam,46135,7656535148,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
1121,Bethany Village Assisted Living,3530 S SHELBY ST,IN,Indianapolis,Marion,46227,3177843066,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
1123,Charles Ford Memorial Home Inc,920 S MAIN ST,IN,New Harmony,Posey,47631,8126824685,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
001125NFS,Evansville Protestant Home Inc,3701 WASHINGTON AVE,IN,Evansville,Vanderburgh,47714,8124763360,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001126NFS,Flatrock River Lodge,904 E 11TH ST,IN,Rushville,Rush,46173,7659322974,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001127NFS,Otterbein Franklin Seniorlife Comm Res & Com Care,1070 W JEFFERSON ST,IN,Franklin,Johnson,46131,3177367185,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001128NFS,Friends Fellowship Community,2030 CHESTER BLVD,IN,Richmond,Wayne,47374,7659626546,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001131NFS,Hubbard Hill Estates Inc,28070 CR 24,IN,Elkhart,Elkhart,46517,5742956260,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
1135,Kingston Residence Of Fort Wayne,7515 WINCHESTER RD,IN,Fort Wayne,Allen,46819,2607471523,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
1136,Lake Park Residential Care,2075 RIPLEY ST,IN,Lake Station,Lake,46405,2199629437,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
001138NFS,Lodge Of The Wabash,723 E RAMSEY RD,IN,Vincennes,Knox,47591,8128828787,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
1140,Miller Beach Terrace,4905 MELTON RD,IN,Gary,Lake,46403,2199380124,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
001141NFS,"Milton Home, The",206 E MARION ST,IN,South Bend,St Joseph,46601,5742330165,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
1142,Pine Knoll Assisted Living Center,607 WILSON CREEK RD,IN,Lawrenceburg,Dearborn,47025,8125374422,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
1143,Portage Manor Health Care Facility,3016 PORTAGE AVE,IN,South Bend,St Joseph,46628,5742729100,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
001144NFS,Diversicare Of Providence,4915 CHARLESTOWN RD,IN,New Albany,Floyd,47150,8129455221,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001145NFS,New Albany Nursing And Rehabilitation Center,201 E ELM ST,IN,New Albany,Floyd,47150,8129459517,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
1148,Wood Ridge Assisted Living,17650 GENERATIONS DR,IN,South Bend,St Joseph,46635,5742711151,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
001149NFS,Manor Care Health Services Summer Trace,12999 N PENNSYLVANIA ST,IN,Carmel,Hamilton,46032,3178482448,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001152NFS,Wesley Manor Health Center,1555 N MAIN ST,IN,Frankfort,Clinton,46041,7656591811,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001153NFS,White River Lodge,3710 KENNY SIMPSON LN,IN,Bedford,Lawrence,47421,8122757006,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001156NFS,Robin Run Health Center,6370 ROBIN RUN W,IN,Indianapolis,Marion,46268,3172986255,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001198NFS,Crown Point Christian Village,6685 EAST 117TH AVENUE,IN,Crown Point,Lake,46307,2196620642,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
001215NFS,Cedars The,14409 SUNRISE CT,IN,Leo,Allen,46765,2606272191,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
002280NFS,River Pointe Health Campus,3001 GALAXY DR,IN,Evansville,Vanderburgh,47715,8124752822,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
2392,Terrace At Towne Centre The,7252 ARTHUR BLVD,IN,Merrillville,Lake,46410,2197362900,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
002512NFS,Oakwood Health Campus,1143 23RD ST,IN,Tell City,Perry,47586,8125472333,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
2627,Brentwood At Hobart,1420 ST MARY CIR,IN,Hobart,Lake,46342,2199451968,RESIDENTIAL CARE FACILITIES,"ALL NURSING HOMES, FREESTANDING RESIDENTIAL CARE FACILITIES",7/7/21
002628NFS,St Charles Health Campus,3150 ST CHARLES ST,IN,Jasper,Dubois,47546,8126346570,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
