Facility ID,Facility Name,Address,State,City,County,Zip Code,Phone Number,State Facility Type 1 Literal,Type 2,Type 3
000001NFS,HOOVERWOOD,7001 HOOVER RD,IN,INDIANAPOLIS,MARION,46260,3172512261,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000009NFS,HERITAGE HOUSE OF SHELBYVILLE,2309 S MILLER ST,IN,SHELBYVILLE,SHELBY,46176,3173989781,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000010NFS,GREENWOOD VILLAGE SOUTH,295 VILLAGE LANE,IN,GREENWOOD,JOHNSON,46143,3178594444,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000018NFS,MILLER'S MERRY MANOR,612 E 11TH ST,IN,RUSHVILLE,RUSH,46173,7659324127,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000029NFS,BEECH GROVE MEADOWS,2002 ALBANY ST,IN,BEECH GROVE,MARION,46107,3177832911,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000041NFS,MILLER'S MERRY MANOR,635 OAKHILL AVE,IN,PLYMOUTH,MARSHALL,46563,5749369981,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000084NFS,WESTMINSTER VILLAGE NORTH,11050 PRESBYTERIAN DR,IN,INDIANAPOLIS,MARION,46236,3178236841,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000086NFS,WESTMINSTER VILLAGE MUNCIE INC,5801 W BETHEL AVE,IN,MUNCIE,DELAWARE,47304,7652882155,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000089NFS,MILLER'S MERRY MANOR,505 N BRADNER AVE,IN,MARION,GRANT,46952,7656623981,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000093NFS,WESTMINSTER VILLAGE - WEST LAFAYETTE,2741 N SALISBURY ST,IN,WEST LAFAYETTE,TIPPECANOE,47906,7654637546,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000100NFS,WESTMINSTER HEALTH CARE CENTER,2210 GREENTREE N,IN,CLARKSVILLE,CLARK,47129,8122825911,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000103NFS,ALTENHEIM HEALTH & LIVING COMMUNITY,3525 E HANNA AVE,IN,INDIANAPOLIS,MARION,46237,3177884261,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000105NFS,MARQUETTE,8140 TOWNSHIP LINE RD,IN,INDIANAPOLIS,MARION,46260,3178759700,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000115NFS,HANOVER NURSING CENTER,410 W LAGRANGE RD,IN,HANOVER,JEFFERSON,47243,8128662625,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000125NFS,DYER NURSING AND REHABILITATION CENTER,601 SHEFFIELD AVE,IN,DYER,LAKE,46311,2193222273,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000126NFS,WESTMINSTER VILLAGE HEALTH & REHAB,1120 E DAVIS DR,IN,TERRE HAUTE,VIGO,47802,8122327533,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000141NFS,AVON HEALTH & REHABILITATION CENTER,4171 FOREST POINTE CIRCLE,IN,AVON,HENDRICKS,46123,3177455184,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000180NFS,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,2515 NEWTON ST,IN,JASPER,DUBOIS,47547,8124821722,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000187NFS,ST ELIZABETH HEALTHCARE CENTER,701 ARMORY RD,IN,DELPHI,CARROLL,46923,7655646380,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000189NFS,AMERICAN VILLAGE,2026 EAST 54TH ST,IN,INDIANAPOLIS,MARION,46220,3172536950,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000191NFS,FORUM AT THE CROSSING,8505 WOODFIELD CROSSING BLVD,IN,INDIANAPOLIS,MARION,46240,3174662020,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000228NFS,OSSIAN HEALTH CARE AND REHABILITATION CENTER,215 DAVIS RD,IN,OSSIAN,WELLS,46777,2606227821,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000240NFS,SAINT ANNE HOME,1900 RANDALLIA DR,IN,FORT WAYNE,ALLEN,46805,2604845555,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000248NFS,RAWLINS HOUSE HEALTH & LIVING COMMUNITY,300 J H WALKER DR,IN,PENDLETON,MADISON,46064,7657787501,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000252NFS,AMBER MANOR CARE CENTER,801 E ILLINOIS ST,IN,PETERSBURG,PIKE,47567,8123543001,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000255NFS,BYRON HEALTH CENTER,12101 LIMA RD,IN,FORT WAYNE,ALLEN,46818,2606373166,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000280NFS,SWISS VILLAGE,1350 W MAIN ST,IN,BERNE,ADAMS,46711,2605893173,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000282NFS,GOLDEN YEARS HOMESTEAD,3136 GOEGLEIN RD,IN,FORT WAYNE,ALLEN,46815,2607499655,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000283NFS,LUTHERAN LIFE VILLAGES,6701 S ANTHONY BLVD,IN,FORT WAYNE,ALLEN,46816,2604471591,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000299NFS,MILNER COMMUNITY HEALTH CARE,370 E MAIN ST,IN,ROSSVILLE,CLINTON,46065,7653792112,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
312,ROSEWOOD MANOR,5200 S BURLINGTON DR,IN,MUNCIE,DELAWARE,47302,7652880087,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
000347NFS,LUTHERAN COMMUNITY HOME,111 W CHURCH AVE,IN,SEYMOUR,JACKSON,47274,8125225927,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000372NFS,ELWOOD HEALTH AND LIVING,2300 PARKVIEW LN,IN,ELWOOD,MADISON,46036,7652032672,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000389NFS,ST AUGUSTINE HOME FOR THE AGED,2345 W 86TH ST,IN,INDIANAPOLIS,MARION,46260,3174155767,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000391NFS,ST PAUL HERMITAGE,501 N 17TH AVE,IN,BEECH GROVE,MARION,46107,3177862261,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000404NFS,PRESENCE SACRED HEART HOME,515 N MAIN ST,IN,AVILLA,NOBLE,46710,2608972841,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000419NFS,PARKER HEALTH CARE & REHABILITATION CENTER,359 RANDOLPH ST,IN,PARKER CITY,RANDOLPH,47368,7654688280,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000420NFS,RIPLEY CROSSING,1200 WHITLATCH WAY,IN,MILAN,RIPLEY,47031,8126542231,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000427NFS,HAMILTON GROVE,31869 CHICAGO TRAIL,IN,NEW CARLISLE,ST JOSEPH,46552,5746542200,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000439NFS,GOOD SAMARITAN HOME HEALTH CENTER AND RESIDENTIAL,601 N BOEKE RD,IN,EVANSVILLE,VANDERBURGH,47711,8124764912,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000448NFS,TIMBERCREST CHURCH OF THE BRETHREN HOME,2201 EAST ST,IN,NORTH MANCHESTER,WABASH,46962,2609822118,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000455NFS,ARBOR TRACE HEALTH & LIVING COMMUNITY,3701 HODGIN RD,IN,RICHMOND,WAYNE,47374,7659393701,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000470NFS,MULBERRY HEALTH & REHABILITATION CENTER,502 W JACKSON ST,IN,MULBERRY,CLINTON,46058,7652962911,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000471NFS,APERION CARE DEMOTTE,10352 N 600 E  COUNTY LINE RD,IN,DEMOTTE,JASPER,46310,2193455211,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000485NFS,PEABODY RETIREMENT COMMUNITY,400 W SEVENTH ST,IN,NORTH MANCHESTER,WABASH,46962,2609828616,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000491NFS,PADDOCK SPRINGS,2695 SHELDON STREET,IN,WARSAW,KOSCIUSKO,46582,5746589455,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000501NFS,GRACE VILLAGE HEALTH CARE FACILITY,337 GRACE VILLAGE DR,IN,WINONA LAKE,KOSCIUSKO,46590,5743726100,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000534NFS,SCENIC HILLS AT THE MONASTERY,710 SUNRISE DRIVE,IN,FERDINAND,DUBOIS,47532,8125042048,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000538NFS,ZIONSVILLE MEADOWS,675 S FORD RD,IN,ZIONSVILLE,BOONE,46077,3178735205,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000539NFS,PARKVIEW HAVEN,101 CONSTITUTION DR,IN,FRANCESVILLE,PULASKI,47946,2195679149,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000541NFS,TOWNE HOUSE RETIREMENT COMMUNITY,2209 ST JOE CENTER RD,IN,FORT WAYNE,ALLEN,46825,2604833116,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000542NFS,HERITAGE POINTE,801 N HUNTINGTON AVE,IN,WARREN,HUNTINGTON,46792,2603752201,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000543NFS,FOUR SEASONS RETIREMENT CENTER,1901 TAYLOR RD,IN,COLUMBUS,BARTHOLOMEW,47203,8123728481,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000547NFS,CUMBERLAND POINTE HEALTH CAMPUS,1051 CUMBERLAND AVE,IN,WEST LAFAYETTE,TIPPECANOE,47906,7654632571,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000548NFS,HOOSIER VILLAGE,9875 CHERRYLEAF DR,IN,INDIANAPOLIS,MARION,46268,3178733349,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000549NFS,CENTURY VILLA HEALTH CARE,705 N MERIDIAN ST,IN,GREENTOWN,HOWARD,46936,7656283377,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000551NFS,HARBOUR MANOR HEALTH & LIVING COMMUNITY,1667 SHERIDAN RD,IN,NOBLESVILLE,HAMILTON,46060,3177739205,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000556NFS,ADAMS WOODCREST,1300 MERCER AVE,IN,DECATUR,ADAMS,46733,2607243311,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000557NFS,WESLEYAN HEALTH CARE CENTER,729 WEST 35TH ST,IN,MARION,GRANT,46953,7656743371,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000576NFS,CHRISTIAN CARE RETIREMENT COMMUNITY,720 E DUSTMAN RD,IN,BLUFFTON,WELLS,46714,2605653000,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001120NFS,ASBURY TOWERS HEALTH CARE CENTER,102 W POPLAR ST,IN,GREENCASTLE,PUTNAM,46135,7656535148,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
1121,BETHANY VILLAGE ASSISTED LIVING,3530 S SHELBY ST,IN,INDIANAPOLIS,MARION,46227,3177843066,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
1123,CHARLES FORD MEMORIAL HOME INC,920 S MAIN ST,IN,NEW HARMONY,POSEY,47631,8126824685,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
001125NFS,EVANSVILLE PROTESTANT HOME INC,3701 WASHINGTON AVE,IN,EVANSVILLE,VANDERBURGH,47714,8124763360,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001126NFS,FLATROCK RIVER LODGE,904 E 11TH ST,IN,RUSHVILLE,RUSH,46173,7659322974,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001127NFS,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,1070 W JEFFERSON ST,IN,FRANKLIN,JOHNSON,46131,3177367185,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001128NFS,FRIENDS FELLOWSHIP COMMUNITY,2030 CHESTER BLVD,IN,RICHMOND,WAYNE,47374,7659626546,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001131NFS,HUBBARD HILL ESTATES INC,28070 CR 24,IN,ELKHART,ELKHART,46517,5742956260,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
1135,KINGSTON RESIDENCE OF FORT WAYNE,7515 WINCHESTER RD,IN,FORT WAYNE,ALLEN,46819,2607471523,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
1136,LAKE PARK RESIDENTIAL CARE,2075 RIPLEY ST,IN,LAKE STATION,LAKE,46405,2199629437,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
001138NFS,LODGE OF THE WABASH,723 E RAMSEY RD,IN,VINCENNES,KNOX,47591,8128828787,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
1140,MILLER BEACH TERRACE,4905 MELTON RD,IN,GARY,LAKE,46403,2199380124,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
001141NFS,"MILTON HOME, THE",206 E MARION ST,IN,SOUTH BEND,ST JOSEPH,46601,5742330165,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
1142,PINE KNOLL ASSISTED LIVING CENTER,607 WILSON CREEK RD,IN,LAWRENCEBURG,DEARBORN,47025,8125374422,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
1143,PORTAGE MANOR HEALTH CARE FACILITY,3016 PORTAGE AVE,IN,SOUTH BEND,ST JOSEPH,46628,5742729100,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
001144NFS,DIVERSICARE OF PROVIDENCE,4915 CHARLESTOWN RD,IN,NEW ALBANY,FLOYD,47150,8129455221,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001145NFS,NEW ALBANY NURSING AND REHABILITATION CENTER,201 E ELM ST,IN,NEW ALBANY,FLOYD,47150,8129459517,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
1148,WOOD RIDGE ASSISTED LIVING,17650 GENERATIONS DR,IN,SOUTH BEND,ST JOSEPH,46635,5742711151,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
001149NFS,MANOR CARE HEALTH SERVICES SUMMER TRACE,12999 N PENNSYLVANIA ST,IN,CARMEL,HAMILTON,46032,3178482448,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001152NFS,WESLEY MANOR HEALTH CENTER,1555 N MAIN ST,IN,FRANKFORT,CLINTON,46041,7656591811,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001153NFS,WHITE RIVER LODGE,3710 KENNY SIMPSON LN,IN,BEDFORD,LAWRENCE,47421,8122757006,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001156NFS,ROBIN RUN HEALTH CENTER,6370 ROBIN RUN W,IN,INDIANAPOLIS,MARION,46268,3172986255,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001198NFS,CROWN POINT CHRISTIAN VILLAGE,6685 EAST 117TH AVENUE,IN,CROWN POINT,LAKE,46307,2196620642,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
001215NFS,CEDARS THE,14409 SUNRISE CT,IN,LEO,ALLEN,46765,2606272191,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
002280NFS,RIVER POINTE HEALTH CAMPUS,3001 GALAXY DR,IN,EVANSVILLE,VANDERBURGH,47715,8124752822,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
2392,TERRACE AT TOWNE CENTRE THE,7252 ARTHUR BLVD,IN,MERRILLVILLE,LAKE,46410,2197362900,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
002512NFS,OAKWOOD HEALTH CAMPUS,1143 23RD ST,IN,TELL CITY,PERRY,47586,8125472333,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
2627,BRENTWOOD AT HOBART,1420 ST MARY CIR,IN,HOBART,LAKE,46342,2199451968,RESIDENTIAL CARE FACILITIES,FREESTANDING RESIDENTIAL CARE FACILITIES,ALL NURSING HOMES
002628NFS,ST CHARLES HEALTH CAMPUS,3150 ST CHARLES ST,IN,JASPER,DUBOIS,47546,8126346570,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
