Licensee,Facility ID,State Facility Type 1 Literal,Address,City,County,State,Zip Code,Phone Number,Date Accessed,Facility Name
ABILENE PLACE NORTH,N021007,ASSISTED LIVING FACILITY,1100 N VINE STREET,Abilene,Dickinson,KS,67410-4009,785-263-7400,6/25/21,Abilene Place North
ABILENE PLACE SOUTH,N021008,ASSISTED LIVING FACILITY,1102 N VINE STREET,Abilene,Dickinson,KS,67410-4015,785-263-7800,6/25/21,Abilene Place South
ADDINGTON PLACE OF PRAIRIE VILLAGE,N046086,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,2700 SOMERSET DRIVE,Prairie Village,Johnson,KS,66206,913-648-3333,6/25/21,Addington Place Of Prairie Village
ALDERBROOK VILLAGE LLC,N018010,ASSISTED LIVING FACILITY,402 E WINDSOR ROAD,Arkansas City,Cowley,KS,67005-3866,620-442-4400,6/25/21,Alderbrook Village Llc
ALDERSGATE VILLAGE,N089021,NURSING FACILITY ASSISTED LIVING FACILITY,3220 SW ALBRIGHT DRIVE,Topeka,Shawnee,KS,66614-4707,785-478-9440,6/25/21,Aldersgate Village
ANDOVER COURT ASSISTED LIVING,N008010,ASSISTED LIVING FACILITY,721 W. 21ST STREET,Andover,Butler,KS,67002-8491,316-733-2662,6/25/21,Andover Court Assisted Living
ANEW HEALTHCARE OPERATIONS LLC,N044004,ASSISTED LIVING FACILITY,415 E WALNUT ST,Nortonville,Jefferson,KS,66060,913-886-6400,6/25/21,Anew Healthcare Estates
APOSTOLIC CHRISTIAN HOME,N066001,NURSING FACILITY ASSISTED LIVING FACILITY,511 PARAMOUNT,Sabetha,Nemaha,KS,66534,785-284-3471,6/25/21,Apostolic Christian Home
ASSISTED LIVING AT WINDSOR PLACE,N063016,ASSISTED LIVING FACILITY,2904 W 8TH,Coffeyville,Montgomery,KS,67337-,620-251-0214,6/25/21,Assisted Living At Windsor Place
ASSISTED LIVING AT WINDSOR PLACE LLC,N063015,ASSISTED LIVING FACILITY,106 TYLER,Coffeyville,Montgomery,KS,67337-2441,620-251-0214,6/25/21,Assisted Living At Windsor Place Llc
ATRIA HEARTHSTONE EAST,N089063,ASSISTED LIVING FACILITY,3415 SW 6TH AVENUE,Topeka,Shawnee,KS,66606-1900,785-234-6806,6/25/21,Atria Hearthstone East
ATRIA HEARTHSTONE WEST,N089030,ASSISTED LIVING FACILITY,3515 SW 6TH AVE,Topeka,Shawnee,KS,66606-1900,785-234-6225,6/25/21,Atria Hearthstone West
AVENUE 81 IAOP LLC,N046107,ASSISTED LIVING FACILITY,8055 METCALF AVE,Overland Park,Johnson,KS,66204,913-246-3690,6/25/21,Avenue 81
BENTON HOUSE OF LENEXA,N046098,ASSISTED LIVING FACILITY,22000 PRAIRIE STAR PARKWAY,Lenexa,Johnson,KS,66220,678-297-0388,6/25/21,Benton House Of Lenexa
BENTON HOUSE OF OLATHE,N046104,ASSISTED LIVING FACILITY,15700 W 151ST STREET,Olathe,Johnson,KS,66062,678-297-0388,6/25/21,Benton House Of Olathe
BETHANY HOME ASSOCIATION DBA VARDSHUS,N059018,ASSISTED LIVING FACILITY,821 E. SWENSSON DRIVE,Lindsborg,Mcpherson,KS,67456,785-227-8331,6/25/21,Bethany Home Association Dba Vardshus
BETHEL HEALTH CARE CENTER,N040001,NURSING FACILITY ASSISTED LIVING FACILITY,3001 IVY DRIVE,North Newton,Harvey,KS,67117-8005,316-284-2900,6/25/21,Bethel Health Care Center
BETHESDA HOME,N057006,NURSING FACILITY ASSISTED LIVING FACILITY,408 E MAIN PO BOX 37,Goessel,Marion,KS,67053-37,620-367-2291,6/25/21,Bethesda Home
BICKFORD AT MISSION SPRINGS I OPCO LLC,N046042,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,5300 W 61ST PLACE,Mission,Johnson,KS,66205-,913-831-7700,6/25/21,Bickford At Mission Springs I
BICKFORD AT MISSION SPRINGS II OPCO LLC,N046044,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,5350 WEST 61ST PLACE,Mission,Johnson,KS,66205-,913-831-7700,6/25/21,Bickford At Mission Springs Ii
BIG BLUE HEALTHCARE INC,N105006,NURSING FACILITY ASSISTED LIVING FACILITY,7850 FREEMAN AVENUE,Kansas City,Wyandotte,KS,66112-2133,913-334-3666,6/25/21,Riverbend Post Acute Rehabilitation
BKD STERLING HOUSE OF JUNCTION CITY LLC,N031004,ASSISTED LIVING FACILITY,1022 N CAROLINE AVENUE,Junction City,Geary,KS,66441,785-762-3123,6/25/21,Brookdale Junction City
BKD STERLING HOUSE OF WICHITA - TALLGRASS LLC,N087037,ASSISTED LIVING FACILITY,8600 E 21ST NORTH,Wichita,Sedgwick,KS,67206,316-684-3100,6/25/21,Brookdale Tallgrass
BLACKHAWK ASSISTED LIVING,N046066,ASSISTED LIVING FACILITY,22550 S FRANKLIN,Spring Hill,Miami,KS,66083,913-686-3170,6/25/21,Blackhawk Assisted Living
BROOKDALE DERBY,N087038,ASSISTED LIVING FACILITY,1709 E WALNUT GROVE,Derby,Sedgwick,KS,67037-3528,316-788-6100,6/25/21,Brookdale Derby
BROOKDALE DODGE CITY,N029007,ASSISTED LIVING FACILITY,2400 N. 14TH AVENUE,Dodge City,Ford,KS,67801-2313,620-225-7555,6/25/21,Brookdale Dodge City
BROOKDALE GREAT BEND,N005005,ASSISTED LIVING FACILITY,1206 PATTON ROAD,Great Bend,Barton,KS,67530-3118,620-792-7000,6/25/21,Brookdale Great Bend
BROOKDALE HAYS,N026008,ASSISTED LIVING FACILITY,1801 E. 27TH STREET,Hays,Ellis,KS,67601,785-628-1111,6/25/21,Brookdale Hays
BROOKDALE MCPHERSON,N059016,ASSISTED LIVING FACILITY,1460 N. MAIN STREET,Mcpherson,Mcpherson,KS,67460-1902,620-241-6600,6/25/21,Brookdale Mcpherson
BROOKDALE OVERLAND PARK,N046079,NURSING FACILITY ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,12000 LAMAR,Overland Park,Johnson,KS,66209,913-663-2888,6/25/21,Brookdale Overland Park
BROOKDALE ROSEHILL,N046063,NURSING FACILITY ASSISTED LIVING FACILITY,12802 JOHNSON DR,Shawnee,Johnson,KS,66216-,913-962-7600,6/25/21,Brookdale Rosehill
BROOKDALE SALINA FAIRDALE,N085010,ASSISTED LIVING FACILITY,2251 E CRAWFORD STREET,Salina,Saline,KS,67401,785-823-8600,6/25/21,Brookdale Salina Fairdale
BROOKDALE SALINA KIRWIN,N085009,ASSISTED LIVING FACILITY,1200 E KIRWIN AVE,Salina,Saline,KS,67401-6300,785-825-8200,6/25/21,Brookdale Salina Kirwin
BROOKSIDE RETIREMENT COMMUNITY ASSISTED LIVING,N070008,ASSISTED LIVING FACILITY,702 W 7TH PO BOX 308,Overbrook,Osage,KS,66524-308,785-665-3246,6/25/21,Brookside Retirement Community Assisted Living
BUHLER SUNSHINE HOME,N078009,NURSING FACILITY ASSISTED LIVING FACILITY,400 S BUHLER RD,Buhler,Reno,KS,67522-,620-543-2251,6/25/21,Buhler Sunshine Home
CARRINGTON AT CHERRY CREEK,N087043,ASSISTED LIVING FACILITY,8200 E PAWNEE ST,Wichita,Sedgwick,KS,67207-3448,316-684-0905,6/25/21,Carrington At Cherry Creek
CATHOLIC CARE CENTER INC,N087001,NURSING FACILITY ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,6700 E 45TH ST N,Belaire,Sedgwick,KS,67226-9970,316-744-2020,6/25/21,Catholic Care Center Inc
CCRC OF LENEXA LLC,N046085,NURSING FACILITY ASSISTED LIVING FACILITY,8505 PFLUMM ROAD,Lenexa,Johnson,KS,66215-2461,913-307-2000,6/25/21,Dba Westchester Village Of Lenexa
CCRC OF OVERLAND PARK,N046103,NURSING FACILITY ASSISTED LIVING FACILITY,12500 W. 137TH ST,Overland Park,Johnson,KS,66221,913-730-3700,6/25/21,Colonial Village
CEDAR LAKE VILLAGE,N046059,ASSISTED LIVING FACILITY,15325 S. LONE ELM ROAD,Olathe,Johnson,KS,66061-5331,913-780-9916,6/25/21,Cedar Lake Village
CLEARWATER AL OPCO LLC,N087053,ASSISTED LIVING FACILITY,440 N 4TH STREET,Clearwater,Sedgwick,KS,67026,620-584-4257,6/25/21,Clearwater Village Assisted Living
COLWICH GARDENS ASSISTED LIVING LLC,N087081,ASSISTED LIVING FACILITY,300 E CHICAGO,Colwich,Sedgwick,KS,67030,316-260-1034,6/25/21,Colwich Gardens Assisted Living Llc
CORNERSTONE ASSISTED LIVING INC,N087041,ASSISTED LIVING FACILITY,1240 N BROADMOOR AVENUE,Wichita,Sedgwick,KS,67206-3869,316-636-5101,6/25/21,Cornerstone Assisted Living Inc
COUNCIL GROVE ASSISTED LIVING LLC,N064002,ASSISTED LIVING FACILITY,554 COUNTRY LANE,Council Grove,Morris,KS,66846,620-767-5600,6/25/21,Council Grove Assisted Living Llc
COUNTRY LIVING INC,N039004,ASSISTED LIVING FACILITY,420 N 5TH,Anthony,Harper,KS,67003,620-842-5858,6/25/21,Country Living Inc
COUNTRY LIVING OF LARNED,N073002,ASSISTED LIVING FACILITY,714 W. 9TH STREET,Larned,Pawnee,KS,67550,620-285-6900,6/25/21,Country Living Of Larned
COUNTRY LIVING OF LYONS,N080004,ASSISTED LIVING FACILITY,502 SOUTH MILES,Lyons,Rice,KS,67554,620-257-5012,6/25/21,Country Living Of Lyons
COUNTRY PLACE SENIOR LIVING OF CHANUTE,N067010,ASSISTED LIVING FACILITY,701 OSA MARTIN BLVD,Chanute,Neosho,KS,66720,620-431-0599,6/25/21,Country Place Senior Living Of Chanute
COUNTRY PLACE SENIOR LIVING OF CLAY CENTER,N014005,ASSISTED LIVING FACILITY,722 LIBERTY STREET,Clay Center,Clay,KS,67432,785-632-5052,6/25/21,Country Place Senior Living Of Clay Center
COUNTRY PLACE SENIOR LIVING OF FORT SCOTT,N006008,ASSISTED LIVING FACILITY,820 S HORTON STREET,Fort Scott,Bourbon,KS,66701,620-223-1822,6/25/21,Country Place Senior Living Of Fort Scott
COUNTRY PLACE SENIOR LIVING OF INDEPENDENCE,N063018,ASSISTED LIVING FACILITY,2120 NORTH 13TH ST,Independence,Montgomery,KS,67301,620-331-1400,6/25/21,Country Place Senior Living Of Independence
COUNTRY PLACE SENIOR LIVING OF MARYSVILLE,N058007,ASSISTED LIVING FACILITY,1149 COUNTRY PLACE DRIVE,Marysville,Marshall,KS,66508,785-562-4001,6/25/21,Country Place Senior Living Of Marysville
DELAWARE HIGHLANDS ASSISTED LIVING,N105014,ASSISTED LIVING FACILITY,12600 DELAWARE PARKWAY,Kansas City,Wyandotte,KS,66106,913-721-1400,6/25/21,Delaware Highlands Assisted Living
DERBY ASSISTED LIVING LLC,N087066,ASSISTED LIVING FACILITY,719 N KLEIN CIRCLE,Derby,Sedgwick,KS,67037-,316-260-4447,6/25/21,Avita Senior Living At Derby
DOVE ESTATES SENIOR LIVING COMMUNITY,N087082,ASSISTED LIVING FACILITY,1400 S. 183RD WEST,Goddard,Sedgwick,KS,67052,316-550-6343,6/25/21,Dove Estates Senior Living Community
EAGLECREST RETIREMENT COMMUNITY,N085012,ASSISTED LIVING FACILITY,1501 E. MAGNOLIA ROAD,Salina,Saline,KS,67401,785-309-1501,6/25/21,Eaglecrest Retirement Community
EMERIKEYT LIBERAL SPRINGS LLC,N088003,ASSISTED LIVING FACILITY,1500 TERRACE AVENUE,Liberal,Seward,KS,67901,620-624-8000,6/25/21,Brookdale Liberal Springs
EMPORIA PLACE,N056012,ASSISTED LIVING FACILITY,1200 W 12TH AVENUE,Emporia,Lyon,KS,66801-2557,620-342-1000,6/25/21,Emporia Place
F W HUSTON MEDICAL CENTER DBA JEFFERSON SUITES,N044007,ASSISTED LIVING FACILITY,408 DELAWARE STREET,Winchester,Jefferson,KS,66097-4003,913-774-4340,6/25/21,F W Huston Medical Center Dba Jefferson Suites
FAIRVIEW ESTATES RETIREMENT COMMUNITY INC,N097003,ASSISTED LIVING FACILITY,1630 SEWELL AVENUE,Colby,Thomas,KS,67701,785-462-2154,6/25/21,Fairview Estates Retirement Community Inc
FOUNTAINVIEW LIVING LLC,N008004,NURSING FACILITY ASSISTED LIVING FACILITY,601 N. ROSE HILL ROAD,Rose Hill,Butler,KS,67133,316-776-2194,6/25/21,Fountainview Nursing & Rehab Center
FSL KANSAS CITY TENANT LLC,N105018,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,2300 N 113TH TERRACE,Kansas City,Wyandotte,KS,66109,913-400-7006,6/25/21,The Piper Alf
GARDEN VILLAS OF LENEXA,N046078,ASSISTED LIVING FACILITY,9705 MONROVIA STREET,Lenexa,Johnson,KS,66215-1564,913-492-1133,6/25/21,Garden Villas Of Lenexa
GLENWOOD VILLAGE OF OVERLAND PARK ASSISTED LIVING AND MEMORY CARE,N046048,ASSISTED LIVING FACILITY,9201 FOSTER,Overland Park,Johnson,KS,66212-,913-385-2052,6/25/21,Glenwood Village Of Overland Park Assisted Living And Memory Care
GOLDEN OAKS HEALTHCARE INC,N105019,NURSING FACILITY ASSISTED LIVING FACILITY,8900 PARALLEL PARKWAY,Kansas City,Wyandotte,KS,66112,913-788-2100,6/25/21,The Healthcare Resort Of Kansas City
GOOD SAMARITAN SOCIETY - ELLSWORTH VILLAGE,N027001,NURSING FACILITY ASSISTED LIVING FACILITY,1156 HIGHWAY 14,Ellsworth,Ellsworth,KS,67439,785-472-3167,6/25/21,Good Samaritan Society - Ellsworth Village
GOOD SAMARITAN SOCIETY - HUTCHINSON VILLAGE,N078004,NURSING FACILITY ASSISTED LIVING FACILITY,810 E. 30TH AVENUE,Hutchinson,Reno,KS,67502-4398,620-663-1189,6/25/21,Good Samaritan Society - Hutchinson Village
GRAN VILLAS  ATCHISON,N003004,ASSISTED LIVING FACILITY,1635 RILEY STREET,Atchison,Atchison,KS,66002-1514,913-367-2077,6/25/21,Gran Villas  Atchison
GRAN VILLAS PITTSBURG,N019009,ASSISTED LIVING FACILITY,1004 E. CENTENNIAL STREET,Pittsburg,Crawford,KS,66762-6603,620-231-4554,6/25/21,Gran Villas Pittsburg
HERINGTON OPCO LLC,N021004,NURSING FACILITY ASSISTED LIVING FACILITY,2 E ASH SREET,Herington,Dickinson,KS,67449-1662,785-258-2283,6/25/21,Legacy At Herington
HERITAGE AVONLEA OF OLATHE,N046035,ASSISTED LIVING FACILITY,625 LINCOLN AVE,Olathe,Johnson,KS,66061-2594,913-829-6920,6/25/21,Heritage Avonlea Of Olathe
HERITAGE ESTATES ASSISTED LIVING,N039005,ASSISTED LIVING FACILITY,1212 HICKORY STREET,Harper,Harper,KS,67058-1455,620-896-2646,6/25/21,Heritage Estates Assisted Living
HILL TOP HOUSE,N029004,NURSING FACILITY ASSISTED LIVING FACILITY,"505 W. ELM, PO BOX 248",Bucklin,Ford,KS,67834-248,620-826-3202,6/25/21,Hill Top House
HILLSIDE VILLAGE OF DESOTO,N046064,NURSING FACILITY ASSISTED LIVING FACILITY,33600 W. 85TH STREET,Desoto,Johnson,KS,66018,913-583-1260,6/25/21,Hillside Village Of Desoto
HILLTOP LODGE HEALTH AND REHABILITATION CENTER LLC,N062001,NURSING FACILITY ASSISTED LIVING FACILITY,815 N INDEPENDENCE AVENUE,Beloit,Mitchell,KS,67420-1639,785-738-3516,6/25/21,Hilltop Lodge Health And Rehabilitation Center
HOMESTEAD ESTATES WICHITA OPERATIONS LLC,N087048,ASSISTED LIVING FACILITY,10550 E. 21ST STREET NORTH,Wichita,Sedgwick,KS,67206-3509,316-867-4105,6/25/21,Homestead Estates Wichita
HOMESTEAD OF AUGUSTA,N008008,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,1611 FAIRWAY STREET,Augusta,Butler,KS,67010-2246,316-775-1000,6/25/21,Homestead Of Augusta
HOMESTEAD OF CRESTVIEW,N087059,ASSISTED LIVING FACILITY,600 N. 127TH STREET EAST,Wichita,Sedgwick,KS,67206-2830,316-733-8100,6/25/21,Homestead Of Crestview
HOMESTEAD OF DERBY,N087036,ASSISTED LIVING FACILITY,1701 WALNUT GROVE ROAD,Derby,Sedgwick,KS,67037,316-788-9600,6/25/21,Homestead Of Derby
HOMESTEAD OF EUDORA OPERATIONS LLC,N023024,ASSISTED LIVING FACILITY,2725 CHURCH ST,Eudora,Douglas,KS,66025,785-363-5150,6/25/21,Homestead Of Eudora
"HOMESTEAD OF HAYS OPERATIONS, LLC",N026010,ASSISTED LIVING FACILITY,2929 STERNBERG DRIVE,Hays,Ellis,KS,67601,785-628-3200,6/25/21,"Homestead Of Hays Operations, Llc"
HOMESTEAD OF OVERLAND PARK OPERATIONS LLC,N046068,ASSISTED LIVING FACILITY,11701 NIEMAN ROAD,Overland Park,Johnson,KS,66210-4310,913-345-2200,6/25/21,Homestead Of Overland Park Operations Llc
HOMESTEAD OF RUSSELL,N084007,ASSISTED LIVING FACILITY,1070 E. WICHITA AVENUE,Russell,Russell,KS,67665-2452,785-483-5882,6/25/21,Homestead Of Russell
HOMESTEAD OF SHAWNEE OPERATIONS LLC,N046056,ASSISTED LIVING FACILITY,16207 MIDLAND DRIVE,Shawnee,Johnson,KS,66217,913-248-6600,6/25/21,Homestead Of Shawnee Operations Llc
HOMESTEAD OF WELLINGTON OPERATIONS LLC,N096009,ASSISTED LIVING FACILITY,500 N PLUM ST,Wellington,Sumner,KS,67152-3556,620-326-3031,6/25/21,Homestead Of Wellington
IRON HORSE HEALTHCARE INC,N046096,NURSING FACILITY ASSISTED LIVING FACILITY,5401 W 143RD STREET,Leawood,Johnson,KS,66224,913-249-3600,6/25/21,The Healthcare Resort Of Leawood
KANSAS VETERANS HOME,N018011,NURSING FACILITY ASSISTED LIVING FACILITY,1220 WORLD WAR II MEMORIAL DRIVE,Winfield,Cowley,KS,67156-9801,620-221-9479,6/25/21,Kansas Veterans Home
KEARNY COUNTY HOSPITAL ASSISTED LIVING,N047002,ASSISTED LIVING FACILITY,607 COURT PLACE,Lakin,Kearny,KS,67860,620-355-7836,6/25/21,Kearny County Hospital Assisted Living
KENNETH L CALDWELL ASSISTED LIVING MANOR,N087055,ASSISTED LIVING FACILITY,400 S MARTINSON STREET,Wichita,Sedgwick,KS,67213-5514,316-269-7500,6/25/21,Kenneth L Caldwell Assisted Living Manor
KENWOOD PLAZA INC,N093004,RESIDENTIAL HEALTH CARE FACILITY ASSISTED LIVING FACILITY,607 E 1ST AVENUE,St John,Stafford,KS,67576-2223,620-549-6133,6/25/21,Kenwood Plaza Inc
LAKEPOINT AUGUSTA LLC,N008005,NURSING FACILITY ASSISTED LIVING FACILITY,901 LAKEPOINT DRIVE,Augusta,Butler,KS,67010,316-775-6333,6/25/21,Lakepoint Augusta Llc
LAKEPOINT EL DORADO LLC,N008002,NURSING FACILITY ASSISTED LIVING FACILITY,1313 S HIGH STREET,El Dorado,Butler,KS,67042-3751,316-321-4140,6/25/21,Lakepoint El Dorado Llc
LAKEPOINT WICHITA LLC,N087049,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY ASSISTED LIVING FACILITY,1315 N WEST STREET,Wichita,Sedgwick,KS,67203-1302,316-943-1295,6/25/21,Lakepoint Wichita Llc
LAKEVIEW VILLAGE,N046007,NURSING FACILITY ASSISTED LIVING FACILITY,13840 W 91ST TERR,Lenexa,Johnson,KS,66215-3374,913-888-1900,6/25/21,Lakeview Village
LAMAR COURT ASSISTED LIVING COMMUNITY,N046051,ASSISTED LIVING FACILITY,11909 LAMAR,Overland Park,Johnson,KS,66209-,913-906-9696,6/25/21,Lamar Court Assisted Living Community
LARKSFIELD PLACE ASSISTED LIVING,N087077,ASSISTED LIVING FACILITY,2727 N ROCK RD,Wichita,Sedgwick,KS,67226,316-361-2800,6/25/21,Larksfield Place Assisted Living
LEAWOOD GARDENS ASSISTED LIVING,N046065,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,5201 W. 143RD STREET,Leawood,Johnson,KS,66224,913-685-4800,6/25/21,Leawood Gardens Assisted Living
LEGEND AT CAPITAL RIDGE,N089045,ASSISTED LIVING FACILITY,1931 SW ARVONIA PLACE,Topeka,Shawnee,KS,66615,785-272-9400,6/25/21,Legend At Capital Ridge
LEGEND OF HUTCHINSON,N078015,ASSISTED LIVING FACILITY,2416 BRENTWOOD,Hutchinson,Reno,KS,67502,620-663-9195,6/25/21,Legend Of Hutchinson
LEISURE OPERATIONS LLC,N046031,NURSING FACILITY ASSISTED LIVING FACILITY,5211 WEST 103RD ST,Overland Park,Johnson,KS,66207,913-383-2569,6/25/21,Overland Park Center For Rehabilitation And Health Care
LEXINGTON PARK ASSISTED LIVING,N089041,ASSISTED LIVING FACILITY,1021 SW FLEMING COURT,Topeka,Shawnee,KS,66604-1851,785-440-0399,6/25/21,Lexington Park Assisted Living
LINCOLN PARK MANOR,N053001,NURSING FACILITY ASSISTED LIVING FACILITY,922 N 5TH ST PO BOX 466,Lincoln,Lincoln,KS,67455-466,785-524-4428,6/25/21,Lincoln Park Manor
LOCUST GROVE VILLAGE,N083001,NURSING FACILITY ASSISTED LIVING FACILITY,701 W. 6TH STREET,La Crosse,Rush,KS,67548,785-222-2574,6/25/21,Locust Grove Village
LOGAN MANOR COMMUNITY HEALTH SERVICES,N074001,NURSING FACILITY ASSISTED LIVING FACILITY,"108 S. ADAMS, PO BOX 308",Logan,Phillips,KS,67646-308,785-689-4201,6/25/21,Logan Manor Community Health Services
MANHATTAN RETIREMENT FOUNDATION INC,N081004,NURSING FACILITY ASSISTED LIVING FACILITY,2121 MEADOWLARK ROAD,Manhattan,Riley,KS,66502-4569,785-537-4610,6/25/21,Meadowlark Hills
MAPLE HILLS HEALTHCARE INC,N046093,NURSING FACILITY ASSISTED LIVING FACILITY,7600 ANTIOCH RD,Overland Park,Johnson,KS,66204,913-383-2001,6/25/21,Shawnee Post Acute Rehabilitation Center
MARIA COURT,N096011,ASSISTED LIVING FACILITY,633 E MAIN STREET,Mulvane,Sumner,KS,67110,316-777-9917,6/25/21,Maria Court
MARION ASSISTED LIVING COMMUNITY LLC,N057007,ASSISTED LIVING FACILITY,200 N EISENHOWER DR,Marion,Marion,KS,66861,620-382-3000,6/25/21,Marion Assisted Living Llc
