Licensee,Facility ID,State Facility Type 1 Literal,Address,City,County,State,Zip Code,Phone Number,Date Accessed,Facility Name
MARQUIS PLACE,N015008,ASSISTED LIVING FACILITY,205 W 21ST STREET,Concordia,Cloud,KS,66901,785-243-2255,6/25/21,Marquis Place
MCCRITE RETIREMENT ASSISTED LIVING,N089047,ASSISTED LIVING FACILITY,1608 SW 37TH STREET,Topeka,Shawnee,KS,66611-2564,785-267-2960,6/25/21,Mccrite Retirement Assisted Living
MEMORIAL LIVING CENTER,N094001,ASSISTED LIVING FACILITY,102 E LANE DR,Johnson,Stanton,KS,67855,620-492-2356,6/25/21,Memorial Living Center
MENNONITE FRIENDSHIP COMMUNITIES INC,N078005,NURSING FACILITY ASSISTED LIVING FACILITY,600 W BLANCHARD AVE,South Hutchinson,Reno,KS,67505-1526,620-663-7175,6/25/21,Mennonite Friendship Communities Inc
MIDLAND CARE AT LINNWOOD PARK,N044005,ASSISTED LIVING FACILITYHOME PLUS,1509 LINN ST,Valley Falls,Jefferson,KS,66088-1185,785-945-3634,6/25/21,Midland Care At Linnwood Park
MOC WICHITA LLC,N087084,NURSING FACILITY ASSISTED LIVING FACILITY,7057 WEST VILLAGE CIRCLE,Wichita,Sedgwick,KS,67205,316-977-7015,6/25/21,The Healthcare Resort Of Wichita
MONTEREY VILLAGE,N023022,ASSISTED LIVING FACILITY,3901 PETERSON ROAD,Lawrence,Douglas,KS,66049,573-471-1113,6/25/21,Monterey Village
MORNINGSTAR CARE HOMES OF FREDONIA,N103004,ASSISTED LIVING FACILITY,2111 E. WASHINGTON STREET,Fredonia,Wilson,KS,66736-1759,785-594-2603,6/25/21,Morningstar Care Homes Of Fredonia
MORNINGSTAR CARE HOMES OF NEODESHA,N103005,ASSISTED LIVING FACILITY,400 FIR STREET,Neodesha,Wilson,KS,66757-1298,785-594-2603,6/25/21,Morningstar Care Homes Of Neodesha
PARAMOUNT COMMUNITY LIVING AND REHAB INC,N040002,NURSING FACILITY ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,200 SW 14TH STREET,Newton,Harvey,KS,67114,316-283-4770,6/25/21,Paramount Community Living And Rehab Inc
PARK MEADOWS SENIOR LIVING,N046077,ASSISTED LIVING FACILITY,5901 W. 107TH STREET,Overland Park,Johnson,KS,66207-3851,913-901-8200,6/25/21,Park Meadows Senior Living
PARK WEST PLAZA,N087046,NURSING FACILITY STATE ONLY ASSISTED LIVING FACILITY,505 N. MAIZE ROAD,Wichita,Sedgwick,KS,67212,316-729-4114,6/25/21,Park West Plaza
PARKSIDE HOMES,N057004,NURSING FACILITY ASSISTED LIVING FACILITY,200 WILLOW ROAD,Hillsboro,Marion,KS,67063-1904,620-947-2301,6/25/21,Parkside Homes
PARKWOOD VILLAGE,N076003,ASSISTED LIVING FACILITY,401 ROCHESTER,Pratt,Pratt,KS,67124-2900,620-672-5541,6/25/21,Parkwood Village
PETERSON ASSISTED LIVING LLC,N070007,ASSISTED LIVING FACILITY,629 HOLLIDAY STREET,Osage City,Osage,KS,66523-1138,785-528-3301,6/25/21,Peterson Assisted Living
PHILLIPS COUNTY RETIREMENT CENTER,N074003,NURSING FACILITY ASSISTED LIVING FACILITY,"1300 STATE STREET, PO BOX 628",Phillipsburg,Phillips,KS,67661-628,785-543-2131,6/25/21,Phillips County Retirement Center
PIONEER RIDGE RETIREMENT COMMUNITY,N023019,NURSING FACILITY ASSISTED LIVING FACILITY,4851 HARVARD ROAD,Lawrence,Douglas,KS,66049-3964,785-749-2000,6/25/21,Pioneer Ridge Retirement Community
PRAIRIE HOMESTEAD ASSISTED LIVING,N087062,ASSISTED LIVING FACILITY,1601 W. MAY STREET,Wichita,Sedgwick,KS,67213,316-263-8264,6/25/21,Prairie Homestead Assisted Living
PRAIRIE MISSION RETIREMENT VILLAGE,N067007,NURSING FACILITY ASSISTED LIVING FACILITY,242 CARROLL STREET,Saint Paul,Neosho,KS,66771-9802,620-449-2400,6/25/21,Prairie Mission Retirement Village
PRAIRIE SUNSET HOME,N078017,NURSING FACILITY ASSISTED LIVING FACILITY,601 E. MAIN STREET,Pretty Prairie,Reno,KS,67570,620-459-6822,6/25/21,Prairie Sunset Home
PRESBYTERIAN MANORS INC,N056006,NURSING FACILITY ASSISTED LIVING FACILITY,2300 INDUSTRIAL ROAD,Emporia,Lyon,KS,66801-6636,620-343-2613,6/25/21,Emporia Presbyterian Manor
PRESBYTERIAN MANORS INC,N085005,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY ASSISTED LIVING FACILITY,2601 E. CRAWFORD STREET,Salina,Saline,KS,67401-3791,785-825-1366,6/25/21,Salina Presbyterian Manor
PRESBYTERIAN MANORS INC,N046057,NURSING FACILITY ASSISTED LIVING FACILITY,17500 W 119TH STREET,Olathe,Johnson,KS,66061,913-599-6100,6/25/21,Aberdeen Village
PRESBYTERIAN MANORS INC,N040005,NURSING FACILITY ASSISTED LIVING FACILITY,1200 E. 7TH STREET,Newton,Harvey,KS,67114-2862,316-283-5400,6/25/21,Newton Presbyterian Manor
PRESBYTERIAN MANORS INC,N029005,NURSING FACILITY ASSISTED LIVING FACILITY,200 CAMPUS DR,Dodge City,Ford,KS,67801-2706,620-225-1928,6/25/21,Manor Of The Plains
PRESBYTERIAN MANORS INC,N050005,NURSING FACILITY ASSISTED LIVING FACILITY,3501 DIRR AVENUE,Parsons,Labette,KS,67357-2298,620-421-1450,6/25/21,Parsons Presbyterian Manor
PRESBYTERIAN MANORS INC,N018008,NURSING FACILITY ASSISTED LIVING FACILITY,1711 N. 4TH STREET,Arkansas City,Cowley,KS,67005-1607,620-442-8700,6/25/21,Arkansas City Presbyterian Manor
PRESBYTERIAN MANORS INC,N006005,ASSISTED LIVING FACILITY,2401 S HORTON STREET,Fort Scott,Bourbon,KS,66701-3196,620-223-5550,6/25/21,Fort Scott Presbyterian Village
PRESBYTERIAN MANORS INC,N087023,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY ASSISTED LIVING FACILITY,4700 W. 13TH STREET NORTH,Wichita,Sedgwick,KS,67212-5599,316-942-7456,6/25/21,Wichita Presbyterian Manor
RANCH HOUSE SENIOR LIVING LLC,N028005,NURSING FACILITY ASSISTED LIVING FACILITY,2900 N CAMPUS DR,Garden City,Finney,KS,67846,620-371-4700,6/25/21,Ranch House Senior Living Llc
REDBUD PLAZA ASSISTED LIVING,N075007,ASSISTED LIVING FACILITY,205 W 9TH STREET,Onaga,Pottawatomie,KS,66521,785-889-4142,6/25/21,Redbud Plaza Assisted Living
REFLECTION RETIREMENT RESORT LLC,B085009,ASSISTED LIVING FACILITY,626 S 3RD STREET,Salina,Saline,KS,67401,785-825-8183,6/25/21,Reflection Retirement Resort Llc
REGENT PARK ASSISTED LIVING AND MEMORY CARE,N087069,ASSISTED LIVING FACILITY,10600 E 13TH STREET NORTH,Wichita,Sedgwick,KS,67206,316-337-5400,6/25/21,Regent Park Assisted Living And Memory Care
RIVER BEND ASSISTED LIVING,N005006,ASSISTED LIVING FACILITY,3820 BROADWAY,Great Bend,Barton,KS,67530,620-792-7017,6/25/21,River Bend Assisted Living
ROLLING HILLS ASSISTED LIVING APARTMENTS,N089036,ASSISTED LIVING FACILITY,2410 SW URISH ROAD,Topeka,Shawnee,KS,66614-4347,785-273-2202,6/25/21,Rolling Hills Assisted Living Apartments
ROOKS CO SENIOR SERVICES INC,N082001,NURSING FACILITY ASSISTED LIVING FACILITY,1000 S WASHINGTON STREET,Plainville,Rooks,KS,67663-3699,785-434-4536,6/25/21,Redbud Village
ROSE ESTATES ASSISTED LIVING COMMUNITY,N046060,ASSISTED LIVING FACILITY,12700 ANTIOCH ROAD,Overland Park,Johnson,KS,66213-2723,913-825-9600,6/25/21,Rose Estates Assisted Living Community
SANDSTONE HEIGHTS NURSING HOME,N080002,NURSING FACILITY ASSISTED LIVING FACILITY,440 STATE STREET,Little River,Rice,KS,67457,620-897-6266,6/25/21,Sandstone Heights Nursing Home
SCHOWALTER VILLA,N040006,NURSING FACILITY ASSISTED LIVING FACILITY,200 W. CEDAR,Hesston,Harvey,KS,67062,620-327-3400,6/25/21,Schowalter Villa
SEDGWICK PLAZA,N087033,ASSISTED LIVING FACILITY,2455 N. WOODLAWN STREET,Wichita,Sedgwick,KS,67220-3950,316-687-3741,6/25/21,Sedgwick Plaza
SILVERCREST AT COLLEGE VIEW,N046094,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,13600 WEST 110TH TERRACE,Lenexa,Johnson,KS,66215,913-915-6041,6/25/21,Silvercrest At College View
SILVERCREST AT DEER CREEK,N046070,ASSISTED LIVING FACILITY,13060 S. METCALF AVENUE,Overland Park,Johnson,KS,66213-2618,913-681-1101,6/25/21,Silvercrest At Deer Creek
SLCG BASEHOR LLC,N052009,ASSISTED LIVING FACILITY,15707 PINEHURST DRIVE,Basehor,Leavenworth,KS,66007,913-662-7330,6/25/21,Country Place Senior Living Of Basehor
SLCG BELLEVILLE LLC,N079003,ASSISTED LIVING FACILITY,530 23RD STREET,Belleville,Republic,KS,66935,785-527-5300,6/25/21,Country Place Senior Living Of Belleville
SLCG HOISINGTON LLC,N005007,ASSISTED LIVING FACILITY,259 W 6TH STREET,Hoisington,Barton,KS,67544-2014,620-653-4121,6/25/21,Country Place Senior Living Of Hoisington
SLCG SENECA LLC,N066008,ASSISTED LIVING FACILITY,1700 COMMUNITY DRIVE,Seneca,Nemaha,KS,66538,785-336-6868,6/25/21,Country Place Senior Living Of Seneca
SNH TOTO TENANT LLC,N023009,NURSING FACILITY ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,1501 INVERNESS DR.,Lawrence,Douglas,KS,66047-1825,785-838-8000,6/25/21,Brandon Woods At Alvamar
STONEYBROOK ASSISTED LIVING,N081007,ASSISTED LIVING FACILITY,2029 LITTLE KITTEN AVENUE,Manhattan,Riley,KS,66503-7545,785-537-1065,6/25/21,Stoneybrook Assisted Living
STONEYBROOK RETIREMENT COMMUNITY,N081005,NURSING FACILITY ASSISTED LIVING FACILITY,2025 LITTLE KITTEN AVENUE,Manhattan,Riley,KS,66503-7545,785-776-0065,6/25/21,Stoneybrook Retirement Community
STRATFORD COMMONS MEMORY CARE COMMUNITY,N046045,ASSISTED LIVING FACILITY,12340 QUIVIRA ROAD,Overland Park,Johnson,KS,66213-2408,913-851-0215,6/25/21,Stratford Commons Memory Care Community
SUNRISE ASSISTED LIVING OF LEAWOOD,N046072,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,11661 GRANADA AVENUE,Leawood,Johnson,KS,66211,913-906-0200,6/25/21,Sunrise Assisted Living Of Leawood
SUNRISE ASSISTED LIVING OF LENEXA,N046071,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,15055 W. 87TH STREET PARKWAY,Lenexa,Johnson,KS,66215,913-307-0665,6/25/21,Sunrise Assisted Living Of Lenexa
SUNRISE ASSISTED LIVING OF OVERLAND PARK,N046074,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,12500 W. 135TH STREET,Overland Park,Johnson,KS,66221,913-685-3340,6/25/21,Sunrise Assisted Living Of Overland Park
SUNSET HOME INC,N015006,NURSING FACILITY ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,620 2ND AVENUE,Concordia,Cloud,KS,66901-2727,785-243-2720,6/25/21,Sunset Home Inc
TALLGRASS CREEK INC,N046088,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY ASSISTED LIVING FACILITY,13760 METCALF AVENUE,Overland Park,Johnson,KS,66223,913-945-2004,6/25/21,Tallgrass Creek Inc
THE CEDARS,N059009,NURSING FACILITY ASSISTED LIVING FACILITY,1021 CEDARS DR,Mcpherson,Mcpherson,KS,67460-2735,620-241-0919,6/25/21,The Cedars
THE HOMESTEAD OF AUBURN,N089042,ASSISTED LIVING FACILITY,280 E VALLEY SPRINGS DR,Auburn,Shawnee,KS,66402-,785-256-7100,6/25/21,The Homestead Of Auburn
THE HOMESTEAD OF GARDEN CITY,N028003,ASSISTED LIVING FACILITY,2414 N HENDERSON DR,Garden City,Finney,KS,67846-,620-272-9800,6/25/21,The Homestead Of Garden City
THE HOMESTEAD OF HALSTEAD,N040008,ASSISTED LIVING FACILITY,715 W 6TH ST,Halstead,Harvey,KS,67056-,316-830-2424,6/25/21,The Homestead Of Halstead
THE HOMESTEAD OF LEAVENWORTH,N052006,ASSISTED LIVING FACILITY,5150 HUGHES RD,Leavenworth,Leavenworth,KS,66048-5022,913-727-9600,6/25/21,The Homestead Of Leavenworth
THE HOMESTEAD OF LEAWOOD,N046039,ASSISTED LIVING FACILITY,12720 STATELINE RD,Leawood,Johnson,KS,66209-1619,913-663-3351,6/25/21,The Homestead Of Leawood
THE HOMESTEAD OF LENEXA,N046043,ASSISTED LIVING FACILITY,8740 CAENEN LAKE RD,Lenexa,Johnson,KS,66215-,913-894-0014,6/25/21,The Homestead Of Lenexa
THE HOMESTEAD OF MANHATTAN,N081006,ASSISTED LIVING FACILITY,1923 LITTLE KITTEN AVE,Manhattan,Riley,KS,66502-7545,785-776-1772,6/25/21,The Homestead Of Manhattan
THE HOMESTEAD OF OLATHE NORTH,N046040,ASSISTED LIVING FACILITY,791 N SOMERSET TERRACE,Olathe,Johnson,KS,66062,913-829-1403,6/25/21,The Homestead Of Olathe North
THE HOMESTEAD OF OLATHE SOUTH,N046038,ASSISTED LIVING FACILITY,751 N SOMERSET TERR,Olathe,Johnson,KS,66062-5450,913-829-4663,6/25/21,The Homestead Of Olathe South
THE HOMESTEAD OF TOPEKA,N089035,ASSISTED LIVING FACILITY,5820 SW DRURY LN,Topeka,Shawnee,KS,66604-2262,785-272-2200,6/25/21,The Homestead Of Topeka
THE HOMESTEAD OF WICHITA,N087042,ASSISTED LIVING FACILITY,12221 W. MAPLE STREET,Wichita,Sedgwick,KS,67235,316-729-2400,6/25/21,The Homestead Of Wichita
THE MAPLETON ANDOVER,N008013,ASSISTED LIVING FACILITY,1419 W. CENTRAL,Andover,Butler,KS,67002,316-530-1253,6/25/21,The Mapleton Andover
THE MEADOWS,N016003,ASSISTED LIVING FACILITY,1201 MARTINDALE ST,Burlington,Coffey,KS,66839-2400,620-364-8861,6/25/21,The Meadows
THE OXFORD GRAND,N087075,ASSISTED LIVING FACILITY,3051 N. PARKDALE CIRCLE,Wichita,Sedgwick,KS,67205,316-927-2007,6/25/21,The Oxford Grand
THE PLAZA HEALTH SERVICES AT SANTA MARTA,N046075,NURSING FACILITY ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,13875 W. 115TH TERRACE,Olathe,Johnson,KS,66062-7833,913-906-0990,6/25/21,The Plaza Health Services At Santa Marta
THE SHERIDAN AT OVERLAND PARK,N046102,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,10300 INDIAN CREEK PARKWAY,Overland Park,Johnson,KS,66210,913-232-8232,6/25/21,The Sheridan At Overland Park
THE WINDSOR OF LAWRENCE,N023017,ASSISTED LIVING FACILITY,3220 PETERSON RD,Lawrence,Douglas,KS,66049-1942,785-832-9900,6/25/21,The Windsor Of Lawrence
TOP CITY HEALTHCARE INC,N089065,NURSING FACILITY ASSISTED LIVING FACILITY,6300 SW 6TH AVENUE,Topeka,Shawnee,KS,66615,785-272-2124,6/25/21,The Healthcare Resort Of Topeka
TREGO LEMKE ASSISTED LIVING,N098002,ASSISTED LIVING FACILITY,303 N 14TH ST,Wakeeney,Trego,KS,67672 2002,785-743-2182,6/25/21,Trego Lemke Assisted Living
TWIN OAKS ASSISTED LIVING,N052007,ASSISTED LIVING FACILITY,657 EISENHOWER,Lansing,Leavenworth,KS,66043-1913,913-727-6100,6/25/21,Twin Oaks Assisted Living
TWO TRAILS HEALTHCARE INC,N046092,NURSING FACILITY ASSISTED LIVING FACILITY,21250 W 151ST STREET,Olathe,Johnson,KS,66061-0768,913-390-0444,6/25/21,The Healthcare Resort Of Olathe
VIA CHRISTI VILLAGE GEORGETOWN INC,N087051,ASSISTED LIVING FACILITY,1655 GEORGETOWN ST,Wichita,Sedgwick,KS,67218-4120,316-685-0400,6/25/21,Via Christi Village Georgetown Inc
VIA CHRISTI VILLAGE HAYS,N026001,NURSING FACILITY ASSISTED LIVING FACILITY,2225 CANTERBURY,Hays,Ellis,KS,67601,785-628-3241,6/25/21,Via Christi Village Hays
VIA CHRISTI VILLAGE MANHATTAN INC,N081001,NURSING FACILITY ASSISTED LIVING FACILITY,2800 WILLOW GROVE RD,Manhattan,Riley,KS,66502-2096,785-539-7671,6/25/21,Via Christi Village Manhattan Inc
VIA CHRISTI VILLAGE MCLEAN INC,N087056,NURSING FACILITY ASSISTED LIVING FACILITY,777 N MCLEAN BLVD,Wichita,Sedgwick,KS,67203-4980,316-942-7000,6/25/21,Via Christi Village Mclean Inc
VIA CHRISTI VILLAGE PITTSBURG,N019013,NURSING FACILITY ASSISTED LIVING FACILITY,1502 E CENTENNIAL STREET,Pittsburg,Crawford,KS,66762,620-235-0020,6/25/21,Via Christi Village Pittsburg
VIA CHRISTI VILLAGE RIDGE,N087057,NURSING FACILITY ASSISTED LIVING FACILITY,"3636 NORTH RIDGE ROAD, BLDG #400",Wichita,Sedgwick,KS,67205,316-462-3636,6/25/21,Via Christi Village Ridge
VICTORIA FALLS ASSISTED LIVING,N008011,ASSISTED LIVING FACILITY,408 E CENTRAL PO BOX 906,Andover,Butler,KS,67002-,316-733-0334,6/25/21,Victoria Falls Assisted Living
VILLAGE SHALOM INC,N046054,NURSING FACILITY ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,5500 W 123RD STREET,Overland Park,Johnson,KS,66209,913-317-2600,6/25/21,Village Shalom Inc
VINTAGE PARK AT ATCHISON,N003005,ASSISTED LIVING FACILITY,1301 N 4TH,Atchison,Atchison,KS,66002,913-367-2655,6/25/21,Vintage Park At Atchison
VINTAGE PARK AT BALDWIN CITY,N023018,ASSISTED LIVING FACILITY,321 CRIMSON AVENUE,Baldwin City,Douglas,KS,66006,785-594-4255,6/25/21,Vintage Park At Baldwin City
VINTAGE PARK AT EUREKA,N037005,ASSISTED LIVING FACILITY,1820 E. RIVER STREET,Eureka,Greenwood,KS,67045-2156,620-583-7473,6/25/21,Vintage Park At Eureka
VINTAGE PARK AT GARDNER,N046055,ASSISTED LIVING FACILITY,869 JUNIPER TERRACE,Gardner,Johnson,KS,66030,913-856-7643,6/25/21,Vintage Park At Gardner
VINTAGE PARK AT HIAWATHA,N007006,ASSISTED LIVING FACILITY,400 KANSAS AVENUE,Hiawatha,Brown,KS,66434,785-742-4566,6/25/21,Vintage Park At Hiawatha
VINTAGE PARK AT HOLTON,N043004,ASSISTED LIVING FACILITY,410 JUNIPER DRIVE,Holton,Jackson,KS,66436,785-364-5051,6/25/21,Vintage Park At Holton
VINTAGE PARK AT LENEXA,N046037,ASSISTED LIVING FACILITY,8710 CAENEN LAKE ROAD,Lenexa,Johnson,KS,66215-2069,913-894-6979,6/25/21,Vintage Park At Lenexa
VINTAGE PARK AT LOUISBURG,N061008,ASSISTED LIVING FACILITY,202 S. ROGERS RD,Louisburg,Miami,KS,66053,913-837-5133,6/25/21,Vintage Park At Louisburg
VINTAGE PARK AT OSAGE CITY,N070006,ASSISTED LIVING FACILITY,1403 LAING STREET,Osage City,Osage,KS,66067,785-528-5095,6/25/21,Vintage Park At Osage City
VINTAGE PARK AT OSAWATOMIE,N061009,ASSISTED LIVING FACILITY,1520 PARKER AVENUE,Osawatomie,Miami,KS,66064,913-755-2167,6/25/21,Vintage Park At Osawatomie
VINTAGE PARK AT OTTAWA,N030008,ASSISTED LIVING FACILITY,2250 S. ELM STREET,Ottawa,Franklin,KS,66067,785-242-3715,6/25/21,Vintage Park At Ottawa
VINTAGE PARK AT PAOLA,N061010,ASSISTED LIVING FACILITY,601 N. EAST STREET,Paola,Miami,KS,66071-1183,913-557-0202,6/25/21,Vintage Park At Paola
VINTAGE PARK AT STANLEY,N046069,ASSISTED LIVING FACILITY,14430 METCALF AVENUE,Overland Park,Johnson,KS,66223-2989,913-897-1414,6/25/21,Vintage Park At Stanley
VINTAGE PARK AT TONGANOXIE,N052008,ASSISTED LIVING FACILITY,120 W. 8TH STREET,Tonganoxie,Leavenworth,KS,66086,913-845-2204,6/25/21,Vintage Park At Tonganoxie
VINTAGE PARK AT WAMEGO,N075006,ASSISTED LIVING FACILITY,1607 4TH STREET,Wamego,Pottawatomie,KS,66547,785-456-8997,6/25/21,Vintage Park At Wamego
VINTAGE PARK AT WATERFRONT,N087039,ASSISTED LIVING FACILITY,900 N. BAYSHORE DRIVE,Wichita,Sedgwick,KS,67212,316-945-3344,6/25/21,Vintage Park At Waterfront
WAKEFIELD OPERATOR LLC,N014003,NURSING FACILITY ASSISTED LIVING FACILITY,509 GROVE STREET,Wakefield,Clay,KS,67487,785-461-5417,6/25/21,Wakefield Care And Rehab
WALDRON PLACE,N078016,ASSISTED LIVING FACILITY,1700 E 23RD,Hutchinson,Reno,KS,67502-,620-662-4114,6/25/21,Waldron Place
WALLACE COUNTY COMMUNITY CARE CENTER INC,N100001C,NURSING FACILITY RESIDENTIAL HEALTH CARE FACILITY ASSISTED LIVING FACILITY,608 N KENNEDY,Sharon Springs,Wallace,KS,677589762,785-852-4244,6/25/21,Wallace County Community Care Center Inc
WELLSVILLE MANOR,N030004,NURSING FACILITY ASSISTED LIVING FACILITY,304 W 7TH ST,Wellsville,Franklin,KS,66092-7800,785-883-4101,6/25/21,Wellsville Manor
WESLEY TOWERS INC,N078010,NURSING FACILITY ASSISTED LIVING FACILITY,700 MONTEREY PL,Hutchinson,Reno,KS,67502-2248,620-663-9175,6/25/21,Wesley Towers Inc
WEST WICHITA ASSISTED LIVING LLC,N087067,ASSISTED LIVING FACILITY,629 S MAIZE CT,Wichita,Sedgwick,KS,67209-,316-361-2500,6/25/21,Avita Senior Living At Rolling Hills
WESTERN PRAIRIE SENIOR LIVING,N034001,NURSING FACILITY ASSISTED LIVING FACILITY,510 E. SAN JACINTO AVENUE,Ulysses,Grant,KS,67880-1899,620-356-3331,6/25/21,Western Prairie Senior Living
