Facility Name,Phone Number,Address,City,State,Zip Code,County
"Summer Breeze Homes, LLC",270-422-2279,160 Lawrence St.,Brandenburg,KY,40108,Meade
Amber Oaks,502-647-4546,156 Haven Hill Road,Shelbyville,KY,40065,Shelby
Arcadia of Benton ,270-527-1700,971 Birch St.,Benton,KY,42025,Marshall
"Lakes of Paducah, LLC",270-448-7777,2265 Olivet Church Rd.,Paducah,KY,42001,McCracken
Arcadia of Bowling Green,270-495-4504,618 Lovers Lane,Bowling Green,KY,42103,Warren
"Arcadian Assisted Living, LLC",859-624-0022,532 Cady Drive,Richmond,KY,40475,Madison
Ashtongrove,502-570-9222,115 Ashton Grove lane,Georgetown,KY,40324,Scott
Atria Elizabethtown,270-360-8001,133 Heartland Drive,Elizabethtown,KY,42701,Hardin
Atria Highland Crossing,859-341-0777,400 Farrell Dr.,Ft. Wright,KY,41011,Kenton
                                                                                                                                                                                                 Atria Springdale,502-412-0222,4501 Springdale Road,Louisville,KY,40241,Jefferson
Atria St. Matthews,502-896-1767,120 S. Hubbards Ln.,Louisville,KY,40207,Jefferson
Atria Stony Brook,502-499-1393,3451 S. Hurstbourne Parkway,Louisville,KY,40299,Jefferson
Atria Summit Hills,859-331-5951,2625 Legends Way,Crestview Hills,KY,41017,Kenton
Barkley Plantation,270-522-0018,640 Bypass Rd.,Cadiz,KY,42211,Trigg
Barrington at Ft. Thomas,859-572-0667,940 Highland Ave.,Ft. Thomas,KY,41075,Campbell
Bee Hive Home of Brandenburg,502-345-1468,103 Commerce Drive,Brandenburg,KY,40108,Meade
Bee Hive Home of Goshen,502-292-3200,12336 US HWY 42,Goshen,KY,40026,Oldham
Bee Hive Home of Grayson County,270-681-6760,1417 Brandenburg Rd.,Leitchfield,KY,42754,Grayson
Bee Hive Home of Lyndon,502-423-0103,8401 LaGrange Rd.,Louisville,KY,40222,Jefferson
Bee Hive Home of Smyrna,502-345-1468,8800 Smyrna Parkway,Louisville,KY,40228,Jefferson
Bee Hive Home of Smyrna - Memory Care,502-345-1468,8802 Smyrna Parkway,Louisville,KY,40228,Jefferson
Bluegrass Assisted Living,270-234-9440,1108 Regency Way,Elizabethtown,KY,42701,Hardin
"Bluegrass Assisted Living Properties III, LLC",502-349-2026,107 Thruway Dr,Bardstown,KY,40004,Nelson
Bluegrass Way Senior Living,270-789-1200,100 Garden Way,Campbellsville,KY,42718,Taylor
"Breckinridge Services, Inc.",270-389-1133,170 Sykes Blvd,Morganfield,KY,42437,Union
"Christian Care Services, Inc",859-971-4910,5220 Grey Oak Lane,Nicholasville,KY,40356,Jessamine
Brookdale Murray,270-759-1555,905 Glendale Rd.,Murray,KY,42071,Calloway
Brookdale Stonestreet,502-935-5884,9251 Stonestreet Rd.,Louisville,KY,40272,Jefferson
Carriage Hall Assisted Living,(270) 707-3400,313 Cool Water Ct.,Hopkinsville,KY,42240,Christian
"Cave Run Manor, Inc.",606-780-1119,1100 Ky HWY 801 South,Morehead,KY,40351,Rowan
Cedar Creek Assisted Living,606-432-8243,156 Winston Dr.,Pikeville,KY,41501,Pike
"Family Care Services, LLC",270-842-2626,2643 Chandler Dr.,Bowling Green,KY,42104,Warren
Chandler Park Memory Care,270-599-0360,1310 Campbell Ln.,Bowling Green,KY,42104,Warren
Charter Senior Living of Bowling Green,(270) 842-5433,445 Middle Bridge Road,Bowling Green,KY,42103,Warren
Chevy Chase Gardens,859-266-0043,319 Duke Road ,Lexington,KY,40502,Fayette
"Colonial Assisted Living, Inc.",270-826-2493,2637 Stadium Dr.,Henderson,KY,42420,Henderson
Colonial Senior Living,270-844-4918,6575 Adams Ln.,Henderson,KY,42420,Henderson
"Countryside Meadows, LLC",(502) 225-6810,640 Jericho Rd.,LaGrange,KY,40031,Oldham
Traditions Senior Living,502-553-7784,3535 Bardstown Rd,Louisville,KY,40205,Jefferson
Creekside on Whipps Mill,502-919-8470,9701 Whipps Mill Road,Louisville,KY,40223,
Crescent Place Assisted Living,(502) 633-6622,148 Allen Dr,Shelbyville,KY,40065,Shelby
Versailles Senior Living,859-753-2000,1001 Crossfield Dr.,Versailles,KY,40383,Woodford
Dogwood Estates,270-274-5700,949 W. 7th Street,Beaver Dam,KY,42320,Ohio
Dogwood Retreat,270-298-3936,35 Clearview Dr.,Hartford,KY,42347,Ohio
Elmcroft of Florence,(859) 795-0302,212 Main St.,Florence,KY,41042,Boone
Elmcroft of Mt. Washington,502-538-3172,520 Woodlake Dr.,Mt. Washington,KY,40047,Bullitt
ALC of Carrolton -Fairview Place Senior Living,502-732-7677,433 Floyd Dr.,Carrollton,KY,41008,Carroll
Fern Terra of Owensboro,(270) 926-2345,1415  W. 1st St.,Owensboro,KY,42301,Daviess
Franciscan Health Care Assisted Living,(502) 964-3381,3625 Fern Valley Rd.,Louisville,KY,40219,Jefferson
Sayre Village,(859) 271-9001,580 Greenfield Dr.,Lexington,KY,40517,Fayette
Gaither Suites,(270) 442-3999,4960 Village Square Dr.,Paducah,KY,42001,McCracken
Goldenrod Village Assistant Living,859-236-8906,203 Bruce Ct.,Danville,KY,40422,Boyle
"The Masonic Homes of Kentucky, Inc. ",502-340-2280,230 Masonic Home Drive,Louisville,KY,40041,Jefferson
Heritage Place Assisted Living Center,(270) 689-0903,3362 Buckland Square,Owensboro,KY,42301,Daviess
Hickory Woods Senoir Living Community,(270) 759-8700,84 Utterback Rd.,Murray,KY,42071,Calloway
"Lexington Senior Housing, LLC",859-245-0100,4251 Saron Dr.,Lexington,KY,40515,Fayette
Highland Ridge Assisted Living,270-659-2548,180 Scottie Dr.,Glasgow,KY,42141,Barren
Highlands Place,(606) 678-5865,225 Norfleet Dr.,Somerset,KY,42501,Pulaski
Hometown Manor of Bardstown,(502) 348-4663,103 Manor Drive,Bardstown,KY,40004,Nelson
"Hometown Manor of Georgetown, LLC",(502) 570-9700,523 E. Washington St.,Georgetown,KY,40324,Scott
Hometown Manor of Glasgow,270-659-9167,201 Trista Ln,Glasgow,KY,42141,Barren
"Hometown Manor of Lawrenceburg, LLC",(502) 859-3025,101 Hawkins St,Lawrenceburg,KY,40342,Anderson
Hometown Manor of Russellville,(270) 726-4187,108 Boyles Dr,Russellville,KY,42276,Logan
"Hometown Manor of Shelbyville, LLC",(502) 437-0814,74 Mack Walters Rd,Shelbyville,KY,40065,Shelby
Hoskinson House at Wesley Manor,502-400-3203,5012 East Manslick Rd.,Louisville,KY,40219,Jefferson
Kenton Pointe Assisted Living Community,606-759-0311,1455 Kenton Pointe Way,Maysville,KY,41056,Mason
Laurel Village,606-864-9015,815 Mill St.,London,KY,40741,Laurel
Lewis Memorial Inc.,(270) 586-3461,2905 Bowling Green Rd,Franklin,KY,42134,Simpson
"Liberty Ridge Senior Living, Inc.",(859) 543-9449,701 Liberty Ridge Ln.,Lexington,KY,40509,Fayette
Christian Care Communities Louisville East,502-254-1799,11530 Herrick Lane,Louisville,KY,40243,Jefferson
Madonna Manor,(859) 426-6400,2344 Amsterdam Rd.,Villa Hills,KY,41017,Kenton
Magnolia Springs East Senior Living,502-855-7500,13600 LaGrange Rd.,Louisville,KY,40245,Jefferson
Magnolia Springs Florence Senior Living,859-396-4925,7665 Ewing Blvd.,Florence,KY,41042,Boone
Magnolia Springs Lexington Senior Living,859-410-6575,2701 Magnolia Springs Drive,Lexington,KY,40511,Fayette
Magnolia Springs Senior Living,502-716-5160,8225 Whipps Mill Rd.,Louisville,KY,40222,Jefferson
Massey Springs Senior Living,270-842-0004,2945 Smallhouse Rd.,Bowling Green,KY,42104,Warren
McCready Manor,859-625-1400,300 Stocker Dr.,Richmond,KY,40475,Madison
McDowell Place,859-239-4663,1181 Ben Ali Dr.,Danville,KY,40422,Boyle
Ashby Cares,(859) 878-1300,191 Leestown Center Way,Lexington,KY,40511,Fayette
SNH Derby Tenant LLC,270-746-9600,981 Campbell Ln.,Bowling Green,KY,42104,Warren
SNH Derby Tenant LLC,270-885-0220,4190 Lafayette Rd.,Hopkinsville,KY,42240,Christian
SNH Derby Tenant LLC,270-251-0233,1517 West Broadway St.,Mayfield,KY,42066,Graves
SNH Derby Tenant LLC,270-534-9173,1700 Elmdale Rd.,Paducah,KY,42003,McCracken
Tender Touch Heart & Home Inc.,270-765-6103,571 Westport Rd.,Elizabethtown,KY,42701,Hardin
Northfork Senior Living,606-780-0009,200 Northfork Dr.,Morehead,KY,40351,Rowan
Oak Ridge Retirement Center,270-821-2111,750 Dodson Ln.,Madisonville,KY,42431,Hopkins
One Park Place,270-926-6669,2701 Fredrica St.,Owensboro,KY,42301,Daviess
Owingsville Manor ALC,606-674-2200,201 Williams Ln.,Owingsville,KY,40360,Bath
Palmer Place I,270-667-7772,500 US Hwy 41-A North,Providence,KY,42450,Webster
"Parkview Manor Assisted Living Community, LLC",(859) 236-1557,1004 Argyll Woods Dr.,Danville,KY,40422,Boyle
Pleasant Meadow (Lexington),859-317-8439,2141 Executive Dr.,Lexington,KY,40505,Fayette
Pleasant Meadow II,(502) 352-2330,201 Democrat Drive,Frankfort,KY,40601,Franklin
Navion Senior Solutions,270-554-6911,2121 New Hold Rd,"Paducah, ",KY,42001,
River's Bend Retirement Community,270-388-2868,300 Beech Street,Kuttawa,KY,42055,Lyon
Arcadia of Elizabethtown,(270) 506-4687,201 Harmony Way,Elizabethtown,KY,42701,Hardin
Winchester Retirement Place,(859) 745-4904,200 Rose Mary Dr.,Winchester,KY,40391,Clark
"Innoviv KY1, LLC",859-498-0033,209 North Maysville St.,Mt. Sterling,KY,40353,Montgomery
Tender Touch Senior Living,270-982-8363,200 N. Miles St.,Elizabethtown,KY,42701,Hardin
Courtyard,270-757-1100,100 West Broad St.,Central City,KY,42330,Muhlenburg
Crestview Assisted Living,606-678-8927,235 South Richardson Dr.,Somerset,KY,42501,Pulaski
The Home Place at Hardinsburg,(270) 617-1325,105 Fairgrounds Road,Hardinsburg,KY,40143,Breckinridge
"The Homeplace at Midway,Inc.",(859) 846-4663,101 Sexton Way,Midway,KY,40347,Woodford
SNH Derby Tenant LLC,270-746-9600,100 Neighborly Way,Somerset,KY,42503,Pulaski
"Richwoodidene OPCO, LLC",502-222-3552,1010 Richwood Way,LaGrange,KY,40031,Oldham
Paragon of Madisonville,270-824-9006,137 Stagecoach Rd.,Madisonville,KY,42431,Hopkins
"Masonic Homes of Shelbyville, Inc. ",502-633-3486,711 Frankfort Rd.,Shelbyville,KY,40065,Shelby
Village of Lebanon Assisted Living,270-692-9000,101 Village Way,Lebanon,KY,40033,Marion
"Beaumont Senior Living, LLC",502-231-4522,10210 Long Home Rd.,Louisville,KY,40291,Jefferson
Trinity Station Retirement Community,606-833-1111,2121 Argillite Road,Flatwoods,KY,41139,Greenup
Twin Brook Assisted Living,502-452-6330,3525 Ephraim McDowell Dr,Louisville,KY,40205,Jefferson
"New Castleidence OPCO, LLC",(502) 845-4136,98 Adams St.,New Castle,KY,40050,Henry
Village Heights,606-864-4155,212 West 12th St.,London,KY,40741,Laurel
Willow Creek,270-765-4414,108 Diecks Drive,Elizabethtown,KY,42701,Hardin
Windsor Senior Living (Bardstown),502-349-6214,101 Isaac Greer Ct.,Bardstown,KY,40004,Nelson
Windsor Gardens of Georgetown,502-570-0540,100 Windsor Path,Georgetown,KY,40324,Scott