License Number,Facility Name,Address,City,Zip Code,County,Licensee,Phone Number,Capacity,State Facility Type 1 Literal,State Facility Type 2 Literal,State,Date Accessed
,"Summer Breeze Homes, Llc",160 LAWRENCE ST.,Brandenburg,40108,Meade,,270-422-2279,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Amber Oaks,156 HAVEN HILL ROAD,Shelbyville,40065,Shelby,,502-647-4546,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Arcadia Of Benton ,971 BIRCH ST.,Benton,42025,Marshall,,270-527-1700,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Lakes Of Paducah, Llc",2265 OLIVET CHURCH RD.,Paducah,42001,Mccracken,,270-448-7777,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Arcadia Of Bowling Green,618 LOVERS LANE,Bowling Green,42103,Warren,,270-495-4504,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Arcadian Assisted Living, Llc",532 CADY DRIVE,Richmond,40475,Madison,,859-624-0022,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Ashtongrove,115 ASHTON GROVE LANE,Georgetown,40324,Scott,,502-570-9222,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Elizabethtown,133 HEARTLAND DRIVE,Elizabethtown,42701,Hardin,,270-360-8001,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Highland Crossing,400 FARRELL DR.,Ft. Wright,41011,Kenton,,859-341-0777,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,                                                                                                                                                                                                 Atria Springdale,4501 SPRINGDALE ROAD,Louisville,40241,Jefferson,,502-412-0222,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria St. Matthews,120 S. HUBBARDS LN.,Louisville,40207,Jefferson,,502-896-1767,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Stony Brook,3451 S. HURSTBOURNE PARKWAY,Louisville,40299,Jefferson,,502-499-1393,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Summit Hills,2625 LEGENDS WAY,Crestview Hills,41017,Kenton,,859-331-5951,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Barkley Plantation,640 BYPASS RD.,Cadiz,42211,Trigg,,270-522-0018,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Barrington At Ft. Thomas,940 HIGHLAND AVE.,Ft. Thomas,41075,Campbell,,859-572-0667,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Brandenburg,103 COMMERCE DRIVE,Brandenburg,40108,Meade,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Goshen,12336 US HWY 42,Goshen,40026,Oldham,,502-292-3200,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Grayson County,1417 BRANDENBURG RD.,Leitchfield,42754,Grayson,,270-681-6760,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Lyndon,8401 LAGRANGE RD.,Louisville,40222,Jefferson,,502-423-0103,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Smyrna,8800 SMYRNA PARKWAY,Louisville,40228,Jefferson,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Smyrna - Memory Care,8802 SMYRNA PARKWAY,Louisville,40228,Jefferson,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bluegrass Assisted Living,1108 REGENCY WAY,Elizabethtown,42701,Hardin,,270-234-9440,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Bluegrass Assisted Living Properties Iii, Llc",107 THRUWAY DR,Bardstown,40004,Nelson,,502-349-2026,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bluegrass Way Senior Living,100 GARDEN WAY,Campbellsville,42718,Taylor,,270-789-1200,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Breckinridge Services, Inc.",170 SYKES BLVD,Morganfield,42437,Union,,270-389-1133,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Christian Care Services, Inc",5220 GREY OAK LANE,Nicholasville,40356,Jessamine,,859-971-4910,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Brookdale Murray,905 GLENDALE RD.,Murray,42071,Calloway,,270-759-1555,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Brookdale Stonestreet,9251 STONESTREET RD.,Louisville,40272,Jefferson,,502-935-5884,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Carriage Hall Assisted Living,313 COOL WATER CT.,Hopkinsville,42240,Christian,,(270) 707-3400,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Cave Run Manor, Inc.",1100 KY HWY 801 SOUTH,Morehead,40351,Rowan,,606-780-1119,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Cedar Creek Assisted Living,156 WINSTON DR.,Pikeville,41501,Pike,,606-432-8243,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Family Care Services, Llc",2643 CHANDLER DR.,Bowling Green,42104,Warren,,270-842-2626,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Chandler Park Memory Care,1310 CAMPBELL LN.,Bowling Green,42104,Warren,,270-599-0360,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Charter Senior Living Of Bowling Green,445 MIDDLE BRIDGE ROAD,Bowling Green,42103,Warren,,(270) 842-5433,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Chevy Chase Gardens,319 DUKE ROAD ,Lexington,40502,Fayette,,859-266-0043,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Colonial Assisted Living, Inc.",2637 STADIUM DR.,Henderson,42420,Henderson,,270-826-2493,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Colonial Senior Living,6575 ADAMS LN.,Henderson,42420,Henderson,,270-844-4918,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Countryside Meadows, Llc",640 JERICHO RD.,Lagrange,40031,Oldham,,(502) 225-6810,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Traditions Senior Living,3535 BARDSTOWN RD,Louisville,40205,Jefferson,,502-553-7784,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Creekside On Whipps Mill,9701 WHIPPS MILL ROAD,Louisville,40223,,,502-919-8470,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Crescent Place Assisted Living,148 ALLEN DR,Shelbyville,40065,Shelby,,(502) 633-6622,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Versailles Senior Living,1001 CROSSFIELD DR.,Versailles,40383,Woodford,,859-753-2000,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Dogwood Estates,949 W. 7TH STREET,Beaver Dam,42320,Ohio,,270-274-5700,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Dogwood Retreat,35 CLEARVIEW DR.,Hartford,42347,Ohio,,270-298-3936,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Elmcroft Of Florence,212 MAIN ST.,Florence,41042,Boone,,(859) 795-0302,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Elmcroft Of Mt. Washington,520 WOODLAKE DR.,Mt. Washington,40047,Bullitt,,502-538-3172,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Alc Of Carrolton -Fairview Place Senior Living,433 FLOYD DR.,Carrollton,41008,Carroll,,502-732-7677,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Fern Terra Of Owensboro,1415  W. 1ST ST.,Owensboro,42301,Daviess,,(270) 926-2345,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Franciscan Health Care Assisted Living,3625 FERN VALLEY RD.,Louisville,40219,Jefferson,,(502) 964-3381,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Sayre Village,580 GREENFIELD DR.,Lexington,40517,Fayette,,(859) 271-9001,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Gaither Suites,4960 VILLAGE SQUARE DR.,Paducah,42001,Mccracken,,(270) 442-3999,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Goldenrod Village Assistant Living,203 BRUCE CT.,Danville,40422,Boyle,,859-236-8906,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"The Masonic Homes Of Kentucky, Inc. ",230 MASONIC HOME DRIVE,Louisville,40041,Jefferson,,502-340-2280,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Heritage Place Assisted Living Center,3362 BUCKLAND SQUARE,Owensboro,42301,Daviess,,(270) 689-0903,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Hickory Woods Senoir Living Community,84 UTTERBACK RD.,Murray,42071,Calloway,,(270) 759-8700,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Lexington Senior Housing, Llc",4251 SARON DR.,Lexington,40515,Fayette,,859-245-0100,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Highland Ridge Assisted Living,180 SCOTTIE DR.,Glasgow,42141,Barren,,270-659-2548,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Highlands Place,225 NORFLEET DR.,Somerset,42501,Pulaski,,(606) 678-5865,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Hometown Manor Of Bardstown,103 MANOR DRIVE,Bardstown,40004,Nelson,,(502) 348-4663,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Hometown Manor Of Georgetown, Llc",523 E. WASHINGTON ST.,Georgetown,40324,Scott,,(502) 570-9700,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Hometown Manor Of Glasgow,201 TRISTA LN,Glasgow,42141,Barren,,270-659-9167,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Hometown Manor Of Lawrenceburg, Llc",101 HAWKINS ST,Lawrenceburg,40342,Anderson,,(502) 859-3025,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Hometown Manor Of Russellville,108 BOYLES DR,Russellville,42276,Logan,,(270) 726-4187,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Hometown Manor Of Shelbyville, Llc",74 MACK WALTERS RD,Shelbyville,40065,Shelby,,(502) 437-0814,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Hoskinson House At Wesley Manor,5012 EAST MANSLICK RD.,Louisville,40219,Jefferson,,502-400-3203,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Kenton Pointe Assisted Living Community,1455 KENTON POINTE WAY,Maysville,41056,Mason,,606-759-0311,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Laurel Village,815 MILL ST.,London,40741,Laurel,,606-864-9015,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Lewis Memorial Inc.,2905 BOWLING GREEN RD,Franklin,42134,Simpson,,(270) 586-3461,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Liberty Ridge Senior Living, Inc.",701 LIBERTY RIDGE LN.,Lexington,40509,Fayette,,(859) 543-9449,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Christian Care Communities Louisville East,11530 HERRICK LANE,Louisville,40243,Jefferson,,502-254-1799,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Madonna Manor,2344 AMSTERDAM RD.,Villa Hills,41017,Kenton,,(859) 426-6400,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Magnolia Springs East Senior Living,13600 LAGRANGE RD.,Louisville,40245,Jefferson,,502-855-7500,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Magnolia Springs Florence Senior Living,7665 EWING BLVD.,Florence,41042,Boone,,859-396-4925,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Magnolia Springs Lexington Senior Living,2701 MAGNOLIA SPRINGS DRIVE,Lexington,40511,Fayette,,859-410-6575,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Magnolia Springs Senior Living,8225 WHIPPS MILL RD.,Louisville,40222,Jefferson,,502-716-5160,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Massey Springs Senior Living,2945 SMALLHOUSE RD.,Bowling Green,42104,Warren,,270-842-0004,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Mccready Manor,300 STOCKER DR.,Richmond,40475,Madison,,859-625-1400,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Mcdowell Place,1181 BEN ALI DR.,Danville,40422,Boyle,,859-239-4663,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Ashby Cares,191 LEESTOWN CENTER WAY,Lexington,40511,Fayette,,(859) 878-1300,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Snh Derby Tenant Llc,981 CAMPBELL LN.,Bowling Green,42104,Warren,,270-746-9600,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Tender Touch Heart & Home Inc.,571 WESTPORT RD.,Elizabethtown,42701,Hardin,,270-765-6103,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Northfork Senior Living,200 NORTHFORK DR.,Morehead,40351,Rowan,,606-780-0009,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Oak Ridge Retirement Center,750 DODSON LN.,Madisonville,42431,Hopkins,,270-821-2111,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,One Park Place,2701 FREDRICA ST.,Owensboro,42301,Daviess,,270-926-6669,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Owingsville Manor Alc,201 WILLIAMS LN.,Owingsville,40360,Bath,,606-674-2200,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Palmer Place I,500 US HWY 41-A NORTH,Providence,42450,Webster,,270-667-7772,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Parkview Manor Assisted Living Community, Llc",1004 ARGYLL WOODS DR.,Danville,40422,Boyle,,(859) 236-1557,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Pleasant Meadow (Lexington),2141 EXECUTIVE DR.,Lexington,40505,Fayette,,859-317-8439,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Pleasant Meadow Ii,201 DEMOCRAT DRIVE,Frankfort,40601,Franklin,,(502) 352-2330,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Navion Senior Solutions,2121 NEW HOLD RD,"Paducah, ",42001,,,270-554-6911,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,River'S Bend Retirement Community,300 BEECH STREET,Kuttawa,42055,Lyon,,270-388-2868,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Arcadia Of Elizabethtown,201 HARMONY WAY,Elizabethtown,42701,Hardin,,(270) 506-4687,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Winchester Retirement Place,200 ROSE MARY DR.,Winchester,40391,Clark,,(859) 745-4904,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Innoviv Ky1, Llc",209 NORTH MAYSVILLE ST.,Mt. Sterling,40353,Montgomery,,859-498-0033,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Tender Touch Senior Living,200 N. MILES ST.,Elizabethtown,42701,Hardin,,270-982-8363,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Courtyard,100 WEST BROAD ST.,Central City,42330,Muhlenburg,,270-757-1100,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Crestview Assisted Living,235 SOUTH RICHARDSON DR.,Somerset,42501,Pulaski,,606-678-8927,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,The Home Place At Hardinsburg,105 FAIRGROUNDS ROAD,Hardinsburg,40143,Breckinridge,,(270) 617-1325,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"The Homeplace At Midway,Inc.",101 SEXTON WAY,Midway,40347,Woodford,,(859) 846-4663,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Richwoodidene Opco, Llc",1010 RICHWOOD WAY,Lagrange,40031,Oldham,,502-222-3552,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Paragon Of Madisonville,137 STAGECOACH RD.,Madisonville,42431,Hopkins,,270-824-9006,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Masonic Homes Of Shelbyville, Inc. ",711 FRANKFORT RD.,Shelbyville,40065,Shelby,,502-633-3486,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Village Of Lebanon Assisted Living,101 VILLAGE WAY,Lebanon,40033,Marion,,270-692-9000,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Beaumont Senior Living, Llc",10210 LONG HOME RD.,Louisville,40291,Jefferson,,502-231-4522,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Trinity Station Retirement Community,2121 ARGILLITE ROAD,Flatwoods,41139,Greenup,,606-833-1111,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Twin Brook Assisted Living,3525 EPHRAIM MCDOWELL DR,Louisville,40205,Jefferson,,502-452-6330,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"New Castleidence Opco, Llc",98 ADAMS ST.,New Castle,40050,Henry,,(502) 845-4136,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Village Heights,212 WEST 12TH ST.,London,40741,Laurel,,606-864-4155,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Willow Creek,108 DIECKS DRIVE,Elizabethtown,42701,Hardin,,270-765-4414,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Windsor Senior Living (Bardstown),101 ISAAC GREER CT.,Bardstown,40004,Nelson,,502-349-6214,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Windsor Gardens Of Georgetown,100 WINDSOR PATH,Georgetown,40324,Scott,,502-570-0540,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
