Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Phone Number
EMERALD NURSING & REHAB LAKEVIEW,ASSISTED-LIVING FACILITY,1405 WEST HWY 34,GRAND ISLAND,NE,68801,HALL,(308) 382-6397
COUNTRY VIEW MANOR,ASSISTED-LIVING FACILITY,220 BROADWAY,BUTTE,NE,68722,BOYD,(402) 775-2355
COUNTRYSIDE VILLA,ASSISTED-LIVING FACILITY,803 SOUTH VIVIAN,WAUSA,NE,68786,KNOX,(402) 586-2890
CLARKSON COMMUNITY CARE CENTER,ASSISTED-LIVING FACILITY,212 SUNRISE DRIVE,CLARKSON,NE,68629,COLFAX,(402) 892-3494
GOOD SAMARITAN SOCIETY - HILLCREST TERRACE,ASSISTED-LIVING FACILITY,902 LINCOLN STREET,ALMA,NE,68920,HARLAN,(308) 928-9085
CHERRY HILLS ESTATES,ASSISTED-LIVING FACILITY,1100 EAST 10TH STREET,VALENTINE,NE,69201,CHERRY,(402) 376-2555
ARBOR CARE CENTERS-FRANKLIN  LLC,ASSISTED-LIVING FACILITY,909 FAIRWAY DRIVE,FRANKLIN,NE,68939,FRANKLIN,(308) 425-6262
ELWOOD CARE CENTER & ASSISTED LIVING,ASSISTED-LIVING FACILITY,607 SMITH AVENUE,ELWOOD,NE,68937,GOSPER,(308) 785-3302
GOOD SAMARITAN SOCIETY - OAKWOOD,ASSISTED-LIVING FACILITY,"PO BOX 180, 710 EAST 7TH STREET",VALENTINE,NE,69201,CHERRY,(402) 376-1001
VALLEY VIEW ASSISTED LIVING COMMUNITY,ASSISTED-LIVING FACILITY,915 7TH STREET,FULLERTON,NE,68638,NANCE,(308) 536-3390
THE INDEPENDENCE HOUSES AT MANDARIN,ASSISTED-LIVING FACILITY,"PO BOX 85321, 4610 MANDARIN CIRCLE",LINCOLN,NE,68501,LANCASTER,(402) 475-7755
ARBOR CARE CENTERS-HARTINGTON LLC,ASSISTED-LIVING FACILITY,"BOX 107, 401 WEST DARLENE",HARTINGTON,NE,68739,CEDAR,(402) 254-3905
CHIMNEY ROCK VILLA,ASSISTED-LIVING FACILITY,"106 EAST 13TH STREET, P O BOX A",BAYARD,NE,69334,MORRILL,(308) 586-1142
GOOD SAMARITAN SOCIETY - LINDEN VIEW,ASSISTED-LIVING FACILITY,1720 LINDEN STREET,SYRACUSE,NE,68446,OTOE,(402) 269-2251
SHALIMAR GARDENS ASSISTED LIVING,ASSISTED-LIVING FACILITY,749 EAST 29TH STREET,FREMONT,NE,68025,DODGE,(402) 721-1616
GOOD SAMARITAN SOCIETY - SAMARITAN SUITES,ASSISTED-LIVING FACILITY,"PO BOX 448, 601 MAIN STREET",ARAPAHOE,NE,68922,FURNAS,(308) 962-7243
ROSE LANE HOME,ASSISTED-LIVING FACILITY,"RR 2, BOX 46, 1005 N 8TH STREET",LOUP CITY,NE,68853,SHERMAN,(308) 745-0303
THE MONARCH,ASSISTED-LIVING FACILITY,4201 SOUTH 78TH STREET,LINCOLN,NE,68506,LANCASTER,(402) 489-6591
GOOD SAMARITAN SOCIETY - SAMARITAN SPRINGS,ASSISTED-LIVING FACILITY,600 SOUTH 22ND STREET,BEATRICE,NE,68310,GAGE,(402) 228-3322
ALPINE VILLAGE ASSISTED LIVING CENTER,ASSISTED-LIVING FACILITY,500 JAMES STREET,VERDIGRE,NE,68783,KNOX,(402) 668-2209
COUNTRY REFLECTIONS/FAIRVIEW MANOR,ASSISTED-LIVING FACILITY,255 F STREET,FAIRMONT,NE,68354,FILLMORE,(402) 268-6111
"ELMS HEALTH CARE CENTER, INC",ASSISTED-LIVING FACILITY,"PO BOX 628, 306 ASHWOOD AVE",PONCA,NE,68770,DIXON,(402) 755-2233
MITCHELL CARE CENTER,ASSISTED-LIVING FACILITY,1717 23RD STREET,MITCHELL,NE,69357,SCOTTS BLUFF,(308) 623-1212
GOOD SAMARITAN SOCIETY - THE SANDHILLS,ASSISTED-LIVING FACILITY,2421 PETERSON COURT,ALLIANCE,NE,69301,BOX BUTTE,(308) 762-9000
LOOKING GLASS ESTATES,ASSISTED-LIVING FACILITY,"PO BOX 310, 424 LOOKING GLASS LANE",GENOA,NE,68640,NANCE,(402) 993-2283
THE NEWMAN HOUSE (ASSISTED LIVING AT MID-NEBRASKA LUTHERAN HOME),ASSISTED-LIVING FACILITY,109 N 2ND STREET,NEWMAN GROVE,NE,68758,MADISON,(402) 447-6203
GOOD SAMARITAN SOCIETY - RIDGEVIEW HEIGHTS,ASSISTED-LIVING FACILITY,631 RIDGE STREET,OSCEOLA,NE,68651,POLK,(402) 747-2273
ASSISTED LIVING AT IMMANUEL COURTYARD,ASSISTED-LIVING FACILITY,6759 NEWPORT AVENUE,OMAHA,NE,68152,DOUGLAS,(402) 829-2990
RIDGEVIEW TOWERS,ASSISTED-LIVING FACILITY,1143 NORTH 3RD STREET,TECUMSEH,NE,68450,JOHNSON,(402) 335-3420
CIRRUS HOUSE INC APARTMENTS ASSISTED LIVING,ASSISTED-LIVING FACILITY,"1509 1ST AVE, PO BOX 1861",SCOTTSBLUFF,NE,69361,SCOTTS BLUFF,(308) 632-2304
GOOD SAMARITAN SOCIETY - SAMARITAN ESTATES,ASSISTED-LIVING FACILITY,1225 SOUTH 6TH STREET,ALBION,NE,68620,BOONE,(402) 395-2020
FAIRBURY ASSISTED LIVING FACILITY DBA CEDARWOOD,ASSISTED-LIVING FACILITY,828 22ND STREET,FAIRBURY,NE,68352,JEFFERSON,(402) 729-6100
LEGACY ESTATES,ASSISTED-LIVING FACILITY,7202 VAN DORN STREET,LINCOLN,NE,68506,LANCASTER,(402) 484-8888
LIBERTY HOUSE,ASSISTED-LIVING FACILITY,420 WEST FOURTH,NORTH PLATTE,NE,69101,LINCOLN,(308) 534-1796
PIONEER MANOR ASSISTED LIVING,ASSISTED-LIVING FACILITY,"PO BOX 310, 318 NORTH 3RD STREET",HAY SPRINGS,NE,69347,SHERIDAN,(308) 638-4483
GRAND LODGE AT THE PRESERVE,ASSISTED-LIVING FACILITY,4400 SOUTH 80TH STREET,LINCOLN,NE,68506,LANCASTER,(402) 489-8003
NEBRASKA PEO HOME,ASSISTED-LIVING FACILITY,413 NORTH 5TH STREET,BEATRICE,NE,68310,GAGE,(402) 228-4208
VALLEY LAKES ASSISTED LIVING,ASSISTED-LIVING FACILITY,1006 SOUTH MAYNE STREET,VALLEY,NE,68064,DOUGLAS,(402) 359-4884
FOUNTAIN VIEW ASSISTED LIVING & SPECIAL MEMORY CARE,ASSISTED-LIVING FACILITY,5710 SOUTH 108TH STREET,OMAHA,NE,68137,DOUGLAS,(402) 596-9033
"Continental Senior Living, LLC",ASSISTED-LIVING FACILITY,3200 G STREET,SOUTH SIOUX CITY,NE,68776,DAKOTA,(402) 494-3043
"LIBERTY HOUSE, WAHOO",ASSISTED-LIVING FACILITY,1145 NORTH LAUREL,WAHOO,NE,68066,SAUNDERS,(402) 681-5018
PRIMROSE RETIREMENT COMMUNITY OF GRAND ISLAND,ASSISTED-LIVING FACILITY,3990 W CAPITAL AVENUE,GRAND ISLAND,NE,68803,HALL,(308) 381-4100
"GRAND ISLAND COUNTRY HOUSE, LLC",ASSISTED-LIVING FACILITY,833 ALPHA STREET,GRAND ISLAND,NE,68803,HALL,(308) 381-1988
GOOD SAMARITAN SOCIETY - VICTORIAN LEGACY,ASSISTED-LIVING FACILITY,1160 SUNRISE STREET,SUPERIOR,NE,68978,NUCKOLLS,(402) 879-3099
STONE HEARTH ESTATES,ASSISTED-LIVING FACILITY,"110 W 20TH STREET, SUITE 400",GOTHENBURG,NE,69138,DAWSON,(308) 537-7771
VIA CHRISTE,ASSISTED-LIVING FACILITY,3636 CALIFORNIA STREET,OMAHA,NE,68131,DOUGLAS,(402) 551-5557
THE NEBRASKA MASONIC HOME,ASSISTED-LIVING FACILITY,1300 AVENUE D,PLATTSMOUTH,NE,68048,CASS,(402) 296-7300
COLLEGE VIEW ASSISTED LIVING AND MEMORY SUPPORT,ASSISTED-LIVING FACILITY,1100 N 6TH AVENUE,HASTINGS,NE,68901,ADAMS,(402) 462-6264
YANKEE HILL VILLAGE,ASSISTED-LIVING FACILITY,8401 SOUTH 33RD STREET,LINCOLN,NE,68516,LANCASTER,(402) 489-0331
PARKVIEW-HEIGHTS,ASSISTED-LIVING FACILITY,933 GRANT STREET,IMPERIAL,NE,69033,CHASE,(308) 882-5333
MEADOWLARK POINTE ASSISTED LIVING,ASSISTED-LIVING FACILITY,2300 AVENUE O,COZAD,NE,69130,DAWSON,(308) 784-4100
MERIDIAN GARDENS ASSISTED LIVING,ASSISTED-LIVING FACILITY,4515 38TH STREET,COLUMBUS,NE,68601,PLATTE,(402) 564-6300
THE INDEPENDENCE HOUSES AT CODDINGTON,ASSISTED-LIVING FACILITY,"PO BOX 85321, 5500 S CODDINGTON AVE",LINCOLN,NE,68501,LANCASTER,(402) 475-7755
LOUISVILLE CARE CENTER-ASSISTED LIVING FACILITY,ASSISTED-LIVING FACILITY,410 WEST 5TH STREET,LOUISVILLE,NE,68037,CASS,(402) 234-2125
ELK RIDGE VILLAGE,ASSISTED-LIVING FACILITY,19400 ELK RIDGE DRIVE,ELKHORN,NE,68022,DOUGLAS,(402) 763-8695
HAVEN MANOR HICKMAN,ASSISTED-LIVING FACILITY,730 LARKSPUR DRIVE,HICKMAN,NE,68372,LANCASTER,(402) 792-3088
"COMPASSIONATE MEMORY CARE 1, INC",ASSISTED-LIVING FACILITY,2402 N 102 STREET,OMAHA,NE,68134,DOUGLAS,(402) 612-6789
HERITAGE POINTE ASSISTED LIVING,ASSISTED-LIVING FACILITY,16811 BURDETTE STREET,OMAHA,NE,68116,DOUGLAS,(402) 614-5222
AN ANGEL'S TOUCH,ASSISTED-LIVING FACILITY,1113 NORTH 85TH STREET,OMAHA,NE,68114,DOUGLAS,(402) 397-9597
ST JOSEPH'S COURT,ASSISTED-LIVING FACILITY,646 I STREET,DAVID CITY,NE,68632,BUTLER,(402) 367-3045
COLONIAL COURTS,ASSISTED-LIVING FACILITY,424 HARRISON,BEEMER,NE,68716,CUMING,(402) 528-3268
PRAIRIE VILLAGE RETIREMENT CENTER,ASSISTED-LIVING FACILITY,3000 39TH AVENUE,COLUMBUS,NE,68601,PLATTE,(402) 563-4213
CARTER PLACE,ASSISTED-LIVING FACILITY,1028 JO ANN DRIVE,BLAIR,NE,68008,WASHINGTON,(402) 426-1977
CUSTER CARE,ASSISTED-LIVING FACILITY,1020 SOUTH 2ND AVENUE,BROKEN BOW,NE,68822,CUSTER,(308) 872-6303
THE KENSINGTON,ASSISTED-LIVING FACILITY,105 NORTH 6TH,BEATRICE,NE,68310,GAGE,(402) 228-2000
PONDEROSA VILLA,ASSISTED-LIVING FACILITY,755 1ST STREET- P O BOX 526,CRAWFORD,NE,69339,DAWES,(308) 665-1224
LIFE ESSENTIALS ASSISTED LIVING,ASSISTED-LIVING FACILITY,920 EAST 16TH STREET,CENTRAL CITY,NE,68826,MERRICK,(308) 946-3189
HICKORY VILLA,ASSISTED-LIVING FACILITY,7315 HICKORY STREET,OMAHA,NE,68124,DOUGLAS,(402) 392-0767
"THE MEADOWS, INC.",ASSISTED-LIVING FACILITY,500 SOUTH 18TH STREET,NORFOLK,NE,68701,MADISON,(402) 371-1730
COTTONWOOD ESTATES,ASSISTED-LIVING FACILITY,2316 28TH STREET,CENTRAL CITY,NE,68826,MERRICK,(308) 946-2100
"LINCOLN COUNTRY HOUSE, LLC",ASSISTED-LIVING FACILITY,5720 SOUTH 25TH STREET,LINCOLN,NE,68512,LANCASTER,(402) 421-1160
PRAIRIE BREEZE ASSISTED LIVING,ASSISTED-LIVING FACILITY,1 MAZOUR DRIVE,PENDER,NE,68047,THURSTON,(402) 385-1999
OXBOW LIVING CENTER,ASSISTED-LIVING FACILITY,1617 BILLS DRIVE,ASHLAND,NE,68003,SAUNDERS,(402) 944-3400
"COMPASSIONATE MEMORY CARE 2, INC",ASSISTED-LIVING FACILITY,407 SOUTH 86TH STREET,OMAHA,NE,68114,DOUGLAS,(402) 612-6789
RIDGEWOOD ACTIVE RETIREMENT COMMUNITY,ASSISTED-LIVING FACILITY,12301 NORTH 149TH CIRCLE,BENNINGTON,NE,68007,DOUGLAS,(402) 884-7644
THE INDEPENDENCE HOUSES AT NORTHVIEW,ASSISTED-LIVING FACILITY,"PO BOX 85321, 2355 SUPERIOR STREET",LINCOLN,NE,68501,LANCASTER,(402) 475-7755
WILLOW BROOK ASSISTED LIVING,ASSISTED-LIVING FACILITY,2714 NORTH LINCOLN AVENUE,YORK,NE,68467,YORK,(402) 362-4886
GOOD SAMARITAN SOCIETY - CRANE MEADOWS ASSISTED LIVING,ASSISTED-LIVING FACILITY,4071 TIMBERLINE STREET,GRAND ISLAND,NE,68803,HALL,(308) 384-3535
HAVELOCK MANOR,ASSISTED-LIVING FACILITY,6330 PLATTE AVENUE,LINCOLN,NE,68507,LANCASTER,(402) 464-2222
HERITAGE RIDGE RETIREMENT COMMUNITY,ASSISTED-LIVING FACILITY,1502 FORT CROOK ROAD SOUTH,BELLEVUE,NE,68005,SARPY,(402) 932-1881
OAKLAND HEIGHTS ASSISTED LIVING,ASSISTED-LIVING FACILITY,207 SOUTH ENGDAHL AVENUE,OAKLAND,NE,68045,BURT,(402) 685-5683
THE WATERFORD AT WILLIAMSBURG,ASSISTED-LIVING FACILITY,3940 PINE LAKE ROAD,LINCOLN,NE,68516,LANCASTER,(402) 423-0000
SAUNDERS HOUSE,ASSISTED-LIVING FACILITY,1313 HACKBERRY STREET,WAHOO,NE,68066,SAUNDERS,(402) 443-3333
THE VILLA AT CROWN POINTE,ASSISTED-LIVING FACILITY,2820 SOUTH 80TH STREET,OMAHA,NE,68124,DOUGLAS,(402) 391-7555
QUALITY LIVING INC - LIED ASSISTED LIVING,ASSISTED-LIVING FACILITY,6409 NORTH 70TH PLAZA,OMAHA,NE,68104,DOUGLAS,(402) 573-3700
CHERRY CORNER ESTATES,ASSISTED-LIVING FACILITY,40 NORTH CHERRY STREET,RED CLOUD,NE,68970,WEBSTER,(402) 746-2340
GRACEPOINTE ASSISTED LIVING AND MEMORY CARE,ASSISTED-LIVING FACILITY,4620 RANDOLPH,LINCOLN,NE,68510,LANCASTER,(402) 484-9888
"LINCOLN COUNTRYHOUSE II, LLC",ASSISTED-LIVING FACILITY,6616 S 84TH STREET,LINCOLN,NE,68516,LANCASTER,(402) 421-1300
COMMUNITY SUPPORTS OF LINCOLN (CSL),ASSISTED-LIVING FACILITY,2231 WEST O STREET,LINCOLN,NE,68528,LANCASTER,(402) 466-2688
"HIGHLAND PARK RETIREMENT COMMUNITY, INC",ASSISTED-LIVING FACILITY,"PO BOX 1011, 610 EAST 14TH STREET",MCCOOK,NE,69001,RED WILLOW,(308) 345-7757
ASSISTED LIVING AT LAKESIDE VILLAGE,ASSISTED-LIVING FACILITY,17475 FRANCES STREET,OMAHA,NE,68130,DOUGLAS,(402) 829-9020
ASSISTED LIVING AT IMMANUEL VILLAGE,ASSISTED-LIVING FACILITY,6801 NORTH 67TH PLAZA,OMAHA,NE,68152,DOUGLAS,(402) 829-3240
MADISON HOUSE,ASSISTED-LIVING FACILITY,1120 NORTH 1ST STREET,NORFOLK,NE,68701,MADISON,(402) 644-4567
MORTON PLACE,ASSISTED-LIVING FACILITY,1500 14TH AVENUE,NEBRASKA CITY,NE,68410,OTOE,(402) 873-5551
THE WATERFORD AT WILDERNESS HILLS MEMORY CARE,ASSISTED-LIVING FACILITY,8939 KEYSTONE DRIVE,LINCOLN,NE,68516,LANCASTER,(402) 421-8105
ESPRIT OF WHISPERING RIDGE OMAHA,ASSISTED-LIVING FACILITY,17555 EMMET STREET,OMAHA,NE,68116,DOUGLAS,(402) 932-7300
PRAIRIE VIEW ASSISTED LIVING,ASSISTED-LIVING FACILITY,100 S PINE STREET,TILDEN,NE,68781,ANTELOPE,(402) 368-2250
HIGH PLAINS ALZHEIMER'S SPECIAL CARE CENTER,ASSISTED-LIVING FACILITY,5601 SOUTH 84TH STREET,LINCOLN,NE,68516,LANCASTER,(402) 483-0250
PRAIRIE MEADOWS ALZHEIMER'S SPECIAL CARE CENTER,ASSISTED-LIVING FACILITY,13208 MEREDITH AVENUE,OMAHA,NE,68164,DOUGLAS,(402) 391-2790
TRI VALLEY ASSISTED LIVING,ASSISTED-LIVING FACILITY,711 MOUSEL AVENUE,CAMBRIDGE,NE,69022,FURNAS,(308) 697-4422
PROVIDENCE PLACE OF FREMONT,ASSISTED-LIVING FACILITY,740 E 32ND STREET,FREMONT,NE,68025,DODGE,(402) 727-8200
MAHONEY HOUSE,ASSISTED-LIVING FACILITY,1810 EAST 12TH STREET,YORK,NE,68467,YORK,(402) 362-5538
LEGATO LIVING,ASSISTED-LIVING FACILITY,2315 SOUTH 168TH STREET,OMAHA,NE,68130,DOUGLAS,(402) 445-4474
COUNTRYHOUSE RESIDENCE,ASSISTED-LIVING FACILITY,5030 SOUTH 155TH STREET,OMAHA,NE,68137,DOUGLAS,(402) 964-2060
HEMINGFORD COMMUNITY CARE CENTER & ASSISTED LIVING,ASSISTED-LIVING FACILITY,605 DONALD AVENUE,HEMINGFORD,NE,69348,BOX BUTTE,(308) 487-3301
KINGSWOOD COURT,ASSISTED-LIVING FACILITY,1005 IDAHO STREET,SUPERIOR,NE,68978,NUCKOLLS,(402) 207-1050
OPERATION FIRST STEP,ASSISTED-LIVING FACILITY,2427 SPENCER STREET,OMAHA,NE,68111,DOUGLAS,(402) 639-1512
THE ARBORS,ASSISTED-LIVING FACILITY,3777 NORTH 58TH STREET,LINCOLN,NE,68507,LANCASTER,(402) 466-3777
THE HEATHER- O.U.R. HOMES,ASSISTED-LIVING FACILITY,2039 Q STREET,LINCOLN,NE,68503,LANCASTER,(402) 474-2121
SHILOH PLACE ASSISTED LIVING,ASSISTED-LIVING FACILITY,915 NORTH H STREET,FREMONT,NE,68025,DODGE,(402) 208-8859
LAKEVIEW LIVING,ASSISTED-LIVING FACILITY,404 EAST 8TH STREET,FIRTH,NE,68358,LANCASTER,(402) 791-0157
PROVIDENCE PLACE OF HASTINGS,ASSISTED-LIVING FACILITY,3507 W 12TH STREET,HASTINGS,NE,68901,ADAMS,(402) 834-3285
THE HERITAGE AT STERLING RIDGE,ASSISTED-LIVING FACILITY,1111 STERLING RIDGE DRIVE,OMAHA,NE,68144,DOUGLAS,(402) 504-3111
"QUALITY SENIOR VILLAGES, INC",ASSISTED-LIVING FACILITY,715 ARAPAHOE LANE,BROKEN BOW,NE,68822,CUSTER,(308) 872-6387
ASSISTED LIVING AT PACIFIC SPRINGS VILLAGE,ASSISTED-LIVING FACILITY,808 SOUTH 173RD COURT,OMAHA,NE,68118,DOUGLAS,(402) 829-3288
HILLCREST GRAND LODGE ASSISTED LIVING,ASSISTED-LIVING FACILITY,6021 GRAND LODGE AVENUE,PAPILLION,NE,68133,SARPY,(402) 885-7022
MEADOWLARK HEIGHTS ASSISTED LIVING,ASSISTED-LIVING FACILITY,"1111 4TH STREET, BOX 667",DESHLER,NE,68340,THAYER,(402) 365-4545
PRESCOTT PLACE,ASSISTED-LIVING FACILITY,4603 PRESCOTT AVENUE,LINCOLN,NE,68506,LANCASTER,(402) 483-4086
"KEARNEY COUNTRYHOUSE, LLC",ASSISTED-LIVING FACILITY,5605 K AVENUE,KEARNEY,NE,68847,BUFFALO,(308) 455-8000
AN ANGEL'S TOUCH,ASSISTED-LIVING FACILITY,340 NORTH 93RD STREET,OMAHA,NE,68114,DOUGLAS,(402) 359-1242
AKSARBEN VILLAGE SENIOR LIVING COMMUNITY,ASSISTED-LIVING FACILITY,1330 SOUTH 70TH STREET,OMAHA,NE,68106,DOUGLAS,(402) 763-0961
BRIDGING HANDS LLC,ASSISTED-LIVING FACILITY,4548 BEDFORD AVENUE,OMAHA,NE,68104,DOUGLAS,(402) 506-4169
RICHMONT TERRACE ASSISTED LIVING & MEMORY CARE,ASSISTED-LIVING FACILITY,620 FORT CROOK ROAD SOUTH,BELLEVUE,NE,68005,SARPY,(402) 291-9800
THE HERITAGE AT LEGACY,ASSISTED-LIVING FACILITY,2961 SOUTH 169 PLAZA,OMAHA,NE,68130,DOUGLAS,(402) 934-2999
"LINCOLN COUNTRYHOUSE III, LLC",ASSISTED-LIVING FACILITY,240 SOUTH 70TH STREET,LINCOLN,NE,68510,LANCASTER,(402) 421-2200
HOPE COOPERATIVE CARE,ASSISTED-LIVING FACILITY,324 NORTH 5TH STREET,PLATTSMOUTH,NE,68048,CASS,(402) 298-4140
THE HERITAGE AT SAGEWOOD,ASSISTED-LIVING FACILITY,1920 SAGEWOOD AVENUE,GRAND ISLAND,NE,68803,HALL,(308) 398-8005
COUNTRY LANE RETIREMENT VILLAGE,ASSISTED-LIVING FACILITY,1203 EAST HYNES,O' NEILL,NE,68763,HOLT,(402) 961-1358
WHISPERING WINDS COTTAGE,ASSISTED-LIVING FACILITY,628 NORTH 33RD STREET,BEATRICE,NE,68310,GAGE,(402) 228-6354
THE WOODLANDS AT HILLCREST,ASSISTED-LIVING FACILITY,9421 GABLE PINES ROAD,LINCOLN,NE,68527,LANCASTER,(402) 261-0261
KNOLLS SENIOR LIVING,ASSISTED-LIVING FACILITY,5801 NORMAN ROAD,LINCOLN,NE,68512,LANCASTER,(531) 264-7864
PEMBERLY PLACE SENIOR LIVING,ASSISTED-LIVING FACILITY,7655 ARCHER PLACE,LINCOLN,NE,68516,LANCASTER,(402) 413-9770
PAWNEE CITY ASSISTED LIVING,ASSISTED-LIVING FACILITY,330 12TH STREET,PAWNEE CITY,NE,68420,PAWNEE,(402) 852-2055
BRIDGING HANDS II,ASSISTED-LIVING FACILITY,3368 GRAND AVENUE,OMAHA,NE,68104,DOUGLAS,(402) 707-9418
FALLBROOK ASSISTED LIVING & MEMORY CARE,ASSISTED-LIVING FACILITY,6600 JULIET COURT,LINCOLN,NE,68521,LANCASTER,(402) 261-9050
BROOKESTONE GARDENS,ASSISTED-LIVING FACILITY,2615 WEST 11TH STREET,KEARNEY,NE,68845,BUFFALO,(308) 236-0211
FRIENDSHIP HOME ASSISTED LIVING,ASSISTED-LIVING FACILITY,"PO BOX 340, 1015 F STREET",BURWELL,NE,68823,GARFIELD,(308) 346-4440
THE MERIWETHER,ASSISTED-LIVING FACILITY,8140 S 97TH PLAZA,LA VISTA,NE,68128,SARPY,(402) 597-0700
HOPE-WYMORE INC,ASSISTED-LIVING FACILITY,105 EAST D STREET,WYMORE,NE,68466,GAGE,(402) 645-3198
BECKY'S HOUSE,ASSISTED-LIVING FACILITY,13016 SHIRLEY STREET,OMAHA,NE,68144,DOUGLAS,(402) 885-8103
LIFEBROOK BY EASTMONT,ASSISTED-LIVING FACILITY,6315 O STREET,LINCOLN,NE,68510,LANCASTER,(402) 610-0121
"Grandview Partners, LLC",ASSISTED-LIVING FACILITY,3720 GEORGE B LAKE PARKWAY,ELKHORN,NE,68022,DOUGLAS,(531) 999-2747
The Heritage At Fountain Point,ASSISTED-LIVING FACILITY,3725 MADISON AVENUE,NORFOLK,NE,68701,MADISON,(402) 758-9000