Facility Name,State Facility Type 1 Literal,License Number,State Facility Type 2 Literal,Address,State,County,Phone Number,Capacity
A & J CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,49-AGC-37,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5217 W GOWAN ROAD LAS VEGAS NV 89130-3118,NV,CLARK,702-645-2291,7
A BENEVOLENT HEART CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,9793-AGC-1,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",508 PEARBERRY AVENUE LAS VEGAS NV 89123,NV,CLARK,702-807-9971,9
A GOOD OLD DAYS HOME CARE II,RESIDENTIAL FACILITY FOR GROUPS,8927-AGC-3,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4205 MIRA LOMA DR RENO NV 89502,NV,WASHOE,775-315-9503,8
A PRECIOUS GEMS ADULT CARE,RESIDENTIAL FACILITY FOR GROUPS,3171-AGC-23,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1733 HUNTERS BLUFF DRIVE NORTH LAS VEGAS NV 89032,NV,CLARK,702-636-5501,7
A R C H OF LAS  VEGAS,RESIDENTIAL FACILITY FOR GROUPS,2311-AGC-30,ALZHEIMER DISEASE,9483 LIGHTNING BAY CT LAS VEGAS NV 89123,NV,CLARK,702-616-2588,6
A SUMMERDALE HOMES @ RIATA LLC,RESIDENTIAL FACILITY FOR GROUPS,4241-AGC-21,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,14315 RIATA CIRCLE RENO NV 89521,NV,WASHOE,775-851-4185,8
A SUMMERDALE HOMES @ RIBEIRO LLC,RESIDENTIAL FACILITY FOR GROUPS,2194-AGC-31,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1868 RIBEIRO CIRCLE RENO NV 89503,NV,WASHOE,775-746-1949,6
ABINGTON MANOR,RESIDENTIAL FACILITY FOR GROUPS,3062-AGC-25,ALZHEIMER DISEASE,478 PEARBERRY AVE LAS VEGAS NV 89183,NV,CLARK,702-837-6968,6
ABSOLUTE CIRCLE OF CARE ACKERMAN,RESIDENTIAL FACILITY FOR GROUPS,3980-AGC-21,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7385 ACKERMAN AVE LAS VEGAS NV 89131,NV,CLARK,702-655-1544,10
ACACIA OASIS,RESIDENTIAL FACILITY FOR GROUPS,8944-AGC-3,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,8630 W. NEVSO DRIVE LAS VEGAS NV 89147,NV,CLARK,702-942-8700,50
ADULT CARE AT PAH RAH,RESIDENTIAL FACILITY FOR GROUPS,10178-AGC-0,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7300 PAH RAH DR SPARKS NV 89436,NV,WASHOE,775-870-3413,10
ADULT COMFORT AND CARE HOME 2,RESIDENTIAL FACILITY FOR GROUPS,8317-AGC-7,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",10315 QUEENSBURY AVENUE LAS VEGAS NV 89135,NV,CLARK,702-629-4663,10
ADULT COMFORT AND CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,7437-AGC-13,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2105 CARROLL ST LAS VEGAS NV 89030,NV,CLARK,702-629-4663,10
ADVANCED CARE FOR THE ELDERLY LLC,RESIDENTIAL FACILITY FOR GROUPS,3596-AGC-26,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,9501 MULROONA COURT LAS VEGAS NV 89129,NV,CLARK,702-838-5818,8
AEGIS LIVING LAS VEGAS,RESIDENTIAL FACILITY FOR GROUPS,10333-AGC-0,ALZHEIMER DISEASE,9100 WEST DESERT INN RD. LAS VEGAS NV 89117,NV,CLARK,425-861-9993,72
"ALOHA PARADISE CARE, LLC",RESIDENTIAL FACILITY FOR GROUPS,9545-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1809 WESTWIND ROAD LAS VEGAS NV 89146,NV,CLARK,702-629-6247,8
ALTA CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,69-AGC-31,"CHRONIC ILLNESS, MENTAL ILLNESS",2007 ALTA DRIVE LAS VEGAS NV 89106,NV,CLARK,702-384-6838,7
ALTERNATIVE HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,9278-AGC-2,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4504 LA ROCA CIRCLE LAS VEGAS NV 89121,NV,CLARK,702-856-6443,10
ALZHEIMERS LUXURY CARE,RESIDENTIAL FACILITY FOR GROUPS,3671-AGC-19,ALZHEIMER DISEASE,2951 VIKING ROAD LAS VEGAS NV 89121,NV,CLARK,702-471-7204,9
AMEERY CARE,RESIDENTIAL FACILITY FOR GROUPS,8675-AGC-4,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",333 PRINCE GEORGE ROAD LAS VEGAS NV 89123,NV,CLARK,702-260-7588,10
AMEERY CARE II,RESIDENTIAL FACILITY FOR GROUPS,7197-AGC-13,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",271 E DESERT ROSE DR HENDERSON NV 89015,NV,CLARK,702-608-7238,10
AMERICAN SENIOR HOME GABRIEL,RESIDENTIAL FACILITY FOR GROUPS,9397-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2372 GABRIEL DRIVE LAS VEGAS NV 89119,NV,CLARK,702-460-1267,10
AMETHYST CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,8642-AGC-4,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3702 INTERNET AVENUE N. LAS VEGAS NV 89031,NV,CLARK,702-636-8916,10
ANGEL CARE RESIDENTIAL HOME,RESIDENTIAL FACILITY FOR GROUPS,7543-AGC-14,ALZHEIMER DISEASE,5559 TROOPER STREET LAS VEGAS NV 89120,NV,CLARK,702-910-3611,10
ANGEL PALACE,RESIDENTIAL FACILITY FOR GROUPS,9189-AGC-2,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS",3131 ROSANNA ST LAS VEGAS NV 89117,NV,CLARK,702-505-0959,10
ANGEL PRESTIGE,RESIDENTIAL FACILITY FOR GROUPS,3220-AGC-24,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3712 SPITZE DRIVE LAS VEGAS NV 89103,NV,CLARK,702-871-8606,20
ANGELICAS LOVING HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,5037-AGC-17,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3475 SCOTTSDALE RD RENO NV 89512,NV,WASHOE,775-800-1228,5
ANGELS CARE,RESIDENTIAL FACILITY FOR GROUPS,3483-AGC-23,MENTAL ILLNESS,1905 S 17TH STREET LAS VEGAS NV 89104,NV,CLARK,702-733-0992,9
ANGELS HOUSE ADULT CARE,RESIDENTIAL FACILITY FOR GROUPS,4063-AGC-26,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5496 TAMARUS STREET LAS VEGAS NV 89119,NV,CLARK,702-262-9062,9
APRILS VILLA,RESIDENTIAL FACILITY FOR GROUPS,5589-AGC-14,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",10450 ARBOR WAY RENO NV 89521,NV,WASHOE,775-851-4355,6
ARBORS MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,8994-AGC-3,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2121 EAST PRATER WAY SPARKS NV 89434,NV,WASHOE,775-331-2229,72
ARTESIAN GARDENS,RESIDENTIAL FACILITY FOR GROUPS,8275-AGC-6,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",75 MULE DEER DRIVE RENO NV 89523,NV,WASHOE,775-345-7441,9
"ARTESIAN GARDENS SENIOR CARE II, LLC",RESIDENTIAL FACILITY FOR GROUPS,9345-AGC-3,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1550 FIRMAN CT SPARKS NV 89434,NV,WASHOE,775-772-1272,9
AS TIME GOES BY III,RESIDENTIAL FACILITY FOR GROUPS,59-AGC-26,ALZHEIMER DISEASE,4125 BUTLER LAS VEGAS NV 89129,NV,CLARK,702-655-5557,10
AS TIME GOES BY V,RESIDENTIAL FACILITY FOR GROUPS,6083-AGC-10,ALZHEIMER DISEASE,4149 JORY TRAIL LAS VEGAS NV 89108,NV,CLARK,702-655-7175,6
AS TIME GOES BY VII,RESIDENTIAL FACILITY FOR GROUPS,4937-AGC-15,ALZHEIMER DISEASE,4240 AL CARRISON LAS VEGAS NV 89129,NV,CLARK,702-683-4568,10
AT NIGHTINGALES,RESIDENTIAL FACILITY FOR GROUPS,9662-AGC-2,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",813 FAIRWAY DRIVE LAS VEGAS NV 89107,NV,CLARK,702-334-5518,10
AT ROYAL VILLA HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,7564-AGC-14,"CHRONIC ILLNESS, MENTAL ILLNESS",2970 S TORREY PINES RD LAS VEGAS NV 89146,NV,CLARK,702-257-0176,10
ATRIA SEVILLE,RESIDENTIAL FACILITY FOR GROUPS,2678-AGC-42,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2000 N RAMPART LAS VEGAS NV 89128,NV,CLARK,702-804-6800,144
ATRIA SUMMIT RIDGE,RESIDENTIAL FACILITY FOR GROUPS,413-AGC-44,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4880 SUMMIT RIDGE DRIVE RENO NV 89523,NV,WASHOE,775-787-3000,85
AVALON HEALTH ESTATES,RESIDENTIAL FACILITY FOR GROUPS,1934-AGC-29,ALZHEIMER DISEASE,7450 DEL REY AVE LAS VEGAS NV 89117,NV,CLARK,702-240-6102,12
AVAMERE AT CHEYENNE,RESIDENTIAL FACILITY FOR GROUPS,9131-AGC-2,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",6031 W. CHEYENNE AVENUE LAS VEGAS NV 89108,NV,CLARK,702-658-5882,150
AVENIR MEMORY CARE AT SUMMERLIN,RESIDENTIAL FACILITY FOR GROUPS,8729-AGC-3,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7395 SMOKE RANCH ROAD LAS VEGAS NV 89128,NV,CLARK,702-749-9090,80
AVONDALE CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,9280-AGC-3,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",6215 EAST OWENS AVENUE LAS VEGAS NV 89110,NV,CLARK,702-856-6443,10
AVONLI CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,9279-AGC-3,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3364 ROSARIO CIRCLE LAS VEGAS NV 89121,NV,CLARK,702-856-6443,10
BAILEYS GROUP HOME INC,RESIDENTIAL FACILITY FOR GROUPS,7812-AGC-8,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1998 ARCANE AVENUE RENO NV 89503,NV,WASHOE,775-473-7736,6
BECKYS HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,79-AGC-30,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4055 CLOUD NINE LANE LAS VEGAS NV 89115,NV,CLARK,702-643-3380,6
BEE HIVE HOMES OF HENDERSON,RESIDENTIAL FACILITY FOR GROUPS,10175-AGC-0,"ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1000 GREENWAY RD BLDG 2 HENDERSON NV 89002,NV,CLARK,702-551-0265,20
BEE HIVE HOMES OF HENDERSON MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,9927-AGC-1,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1000 GREENWAY RD BLDG 1 HENDERSON NV 89002,NV,CLARK,505-270-9989,20
BEE HIVE HOMES OF MESQUITE,RESIDENTIAL FACILITY FOR GROUPS,7876-AGC-8,,780 WEST SECOND SOUTH MESQUITE NV 89027,NV,CLARK,505-270-9989,15
BEE HIVE HOMES OF MESQUITE II,RESIDENTIAL FACILITY FOR GROUPS,9234-AGC-3,"ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",790 SECOND SOUTH ST MESQUITE NV 89027,NV,CLARK,702-346-2040,16
BEE HIVE HOMES OF PARADISE VALLEY INC,RESIDENTIAL FACILITY FOR GROUPS,2152-AGC-29,MENTAL ILLNESS,3841 E TWAIN LAS VEGAS NV 89121,NV,CLARK,702-454-9080,10
BEE HIVE HOMES OF WINNEMUCCA,RESIDENTIAL FACILITY FOR GROUPS,2352-AGC-23,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1250 HANSEN STREET WINNEMUCCA NV 89445,NV,HUMBOLDT,775-623-5395,10
BELLA CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,6027-AGC-17,"CHRONIC ILLNESS, MENTAL ILLNESS",5905 CONCERT DR LAS VEGAS NV 89107,NV,CLARK,702-838-7990,10
BELLA CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,9724-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9900 VERMILLION CLIFFS AVE LAS VEGAS NV 89147,NV,CLARK,725-500-7868,8
BELLA ESTATE CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,7555-AGC-11,"CHRONIC ILLNESS, MENTAL ILLNESS",3140 COACHLIGHT CIRCLE LAS VEGAS NV 89117,NV,CLARK,702-220-4281,10
BELLA VITA CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,8664-AGC-5,ALZHEIMER DISEASE,9924 WONDERFUL DAY DRIVE LAS VEGAS NV 89148,NV,CLARK,917-797-3265,10
BELLAMONTE RESIDENTIAL,RESIDENTIAL FACILITY FOR GROUPS,10226-AGC-0,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7830 SOUTH SPENCER STREET LAS VEGAS NV 89123,NV,CLARK,714-363-2060,10
BERMUDA MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,9909-AGC-1,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9063 HUNTING ARROW STREET LAS VEGAS NV 89123,NV,CLARK,702-235-2584,10
BEST HOME CARE AT WYOMING LLC,RESIDENTIAL FACILITY FOR GROUPS,9751-AGC-0,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4423 E WYOMING AVE LAS VEGAS NV 89114,NV,CLARK,702-758-8696,8
BEST SOLUTIONS HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,9966-AGC-1,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7245 SCOTTSMOOR CT LAS VEGAS NV 89156,NV,CLARK,702-927-8711,4
BETHANY AT MT HOOD,RESIDENTIAL FACILITY FOR GROUPS,10106-AGC-0,"ALZHEIMER DISEASE, CHRONIC ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1566 MT HOOD STREET LAS VEGAS NV 89110,NV,CLARK,702-459-4898,10
BETHEL CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,9674-AGC-2,"CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7742 KIT CARSON AVE. LAS VEGAS NV 89179,NV,CLARK,702-685-8574,9
BETTER DAYS GROUP HOME,RESIDENTIAL FACILITY FOR GROUPS,3847-AGC-20,"CHRONIC ILLNESS, MENTAL ILLNESS",261 E ELDORADO LANE LAS VEGAS NV 89123,NV,CLARK,702-794-2822,10
BETTER LIVING FOR SENIORS,RESIDENTIAL FACILITY FOR GROUPS,10025-AGC-0,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9712 ENNISKEEN AVE LAS VEGAS NV 89129-8001,NV,CLARK,702-331-5059,6
BILLMAN HOUSE,RESIDENTIAL FACILITY FOR GROUPS,3105-AGC-26,MENTAL ILLNESS,3646 BILLMAN AVE LAS VEGAS NV 89121,NV,CLARK,702-778-2753,6
BLUE SKY MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,8480-AGC-4,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8025 AMIGO STREET LAS VEGAS NV 89123,NV,CLARK,702-497-2166,26
BRIGHT LIFE,RESIDENTIAL FACILITY FOR GROUPS,10145-AGC-1,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",10515 KENAI DR. RENO NV 89521,NV,WASHOE,775-762-2162,10
BROOKDALE LAS VEGAS,RESIDENTIAL FACILITY FOR GROUPS,1774-AGC-48,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3025 E RUSSELL ROAD LAS VEGAS NV 89120,NV,CLARK,702-451-7896,105
BROOKDALE RENO,RESIDENTIAL FACILITY FOR GROUPS,1884-AGC-38,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES",3105 PLUMAS STREET RENO NV 89509,NV,WASHOE,775-828-5000,56
BROOKDALE VISTA,RESIDENTIAL FACILITY FOR GROUPS,443-AGC-33,ASSISTED LIVING SERVICES,2000 E PRATER WAY SPARKS NV 89434,NV,WASHOE,775-359-7733,74
CARING HEARTS CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,2016-AGC-33,"MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",64 NORTH PEARL STREET LAS VEGAS NV 89110,NV,CLARK,702-437-8448,10
CARMELA HOMES,RESIDENTIAL FACILITY FOR GROUPS,2726-AGC-30,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5500 CLEARY COURT LAS VEGAS NV 89109,NV,CLARK,702-636-0150,6
CARSON TAHOE EXPRESSIONS MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,8640-AGC-2,"ALZHEIMER DISEASE, CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1001 MOUNTAIN ST CARSON CITY NV 89703,NV,CARSON CITY,775-443-4800,54
CARSON VALLEY SENIOR LIVING,RESIDENTIAL FACILITY FOR GROUPS,105-AGC-41,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES",1189 KIMMERLING ROAD GARDNERVILLE NV 89460,NV,DOUGLAS,775-265-1400,86
CASA NORTE GROUP HOME,RESIDENTIAL FACILITY FOR GROUPS,7323-AGC-11,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",4935  NORTH MILLER LN LAS VEGAS NV 89149,NV,CLARK,702-656-0602,9
