Facility Name,State Facility Type 1 Literal,License Number,State Facility Type 2 Literal,Address,State,County,Phone Number,Capacity
OAKEY ASSISTED LIVING,RESIDENTIAL FACILITY FOR GROUPS,9938-AGC-1,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3900 W. OAKEY BLVD LAS VEGAS NV 89102,NV,CLARK,702-258-7572,112
OAKMONT OF LAS VEGAS,RESIDENTIAL FACILITY FOR GROUPS,9556-AGC-2,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3185 E. FLAMINGO ROAD LAS VEGAS NV 89121,NV,CLARK,702-763-9357,150
OAKMONT OF THE LAKES,RESIDENTIAL FACILITY FOR GROUPS,9041-AGC-3,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3250 SOUTH FORT APACHE ROAD LAS VEGAS NV 89117,NV,CLARK,702-830-7768,140
OASIS PLACE,RESIDENTIAL FACILITY FOR GROUPS,404-AGC-31,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2722 HARDING WAY RENO NV 89503,NV,WASHOE,775-622-0112,6
OASIS SENIOR CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,10170-AGC-0,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2945 MAVERICK STREET LAS VEGAS NV 89108,NV,CLARK,702-522-6105,10
OHANA SENIOR LIVING CARE I,RESIDENTIAL FACILITY FOR GROUPS,9602-AGC-2,ALZHEIMER DISEASE,6825 WHITE SANDS AVENUE LAS VEGAS NV 89145,NV,CLARK,702-290-8811,8
OLIVE GROVE RESIDENTIAL CARE FACILITY,RESIDENTIAL FACILITY FOR GROUPS,7665-AGC-10,"CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9446 BACK BAY CIRCLE LAS VEGAS NV 89123,NV,CLARK,702-413-6947,4
"ORMSBY HEIGHTS RESIDENTIAL CARE, LLC",RESIDENTIAL FACILITY FOR GROUPS,7210-AGC-12,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,210 SOUTH ORMSBY BLVD CARSON CITY NV 89703,NV,CARSON CITY,775-445-0214,10
OUR HOME ADULT LIVING,RESIDENTIAL FACILITY FOR GROUPS,5523-AGC-14,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,4180 SIERRA MADRE DR RENO NV 89502,NV,WASHOE,775-827-1619,5
PACIFICA SENIOR LIVING GREEN VALLEY,RESIDENTIAL FACILITY FOR GROUPS,3543-AGC-36,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2620 E ROBINDALE ROAD HENDERSON NV 89074,NV,CLARK,702-992-0000,108
PACIFICA SENIOR LIVING SAN MARTIN,RESIDENTIAL FACILITY FOR GROUPS,5528-AGC-21,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8374 W CAPOVILLA AVE LAS VEGAS NV 89113,NV,CLARK,702-222-3600,150
PACIFICA SENIOR LIVING SPRING VALLEY,RESIDENTIAL FACILITY FOR GROUPS,2758-AGC-44,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES",8880 W TROPICANA AVE LAS VEGAS NV 89147-6000,NV,CLARK,702-920-0710,72
PALM VALLEY ASSISTED LIVING,RESIDENTIAL FACILITY FOR GROUPS,3184-AGC-36,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5975 W TWAIN AVE LAS VEGAS NV 89103,NV,CLARK,702-368-7700,102
PALMS CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,9552-AGC-2,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8351 WEST HAMMER LANE LAS VEGAS NV 89149,NV,CLARK,702-445-0088,10
PARADISE CREST HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,297-AGC-36,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4462 FARMCREST DRIVE LAS VEGAS NV 89121,NV,CLARK,702-433-2879,10
PARADISE MEMORY CARE LLC,RESIDENTIAL FACILITY FOR GROUPS,10103-AGC-1,ALZHEIMER DISEASE,243 SAXONDALE AVENUE LAS VEGAS NV 89123,NV,CLARK,702-731-5941,10
PARADISO,RESIDENTIAL FACILITY FOR GROUPS,3707-AGC-22,ALZHEIMER DISEASE,7952 MONACO BAY COURT LAS VEGAS NV 89117,NV,CLARK,702-255-1273,9
PARK PLACE,RESIDENTIAL FACILITY FOR GROUPS,333-AGC-31,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS",2305 IVES COURT RENO NV 89503,NV,WASHOE,775-746-1188,60
PEACE OF MIND LLC,RESIDENTIAL FACILITY FOR GROUPS,9600-AGC-1,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4354 E HARMON AVE LAS VEGAS NV 89121,NV,CLARK,702-434-3234,10
PEARL CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,10013-AGC-1,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1012 PARADISE VIEW ST. HENDERSON NV 89052,NV,CLARK,702-614-7079,10
PLAXIA CARE,RESIDENTIAL FACILITY FOR GROUPS,10219-AGC-0,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,5095 N PARK ST LAS VEGAS NV 89149,NV,CLARK,702-858-4559,10
PLEASANT CARE GROUP HOME,RESIDENTIAL FACILITY FOR GROUPS,4126-AGC-19,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,639 K STREET SPARKS NV 89431,NV,WASHOE,775-358-2204,5
PLEASANT CARE GROUP HOME II,RESIDENTIAL FACILITY FOR GROUPS,4504-AGC-18,"CHRONIC ILLNESS, MENTAL ILLNESS",3238 JAMESTOWN COURT SPARKS NV 89431,NV,WASHOE,775-351-2739,7
PLEASANT CARE GROUP HOME III,RESIDENTIAL FACILITY FOR GROUPS,7637-AGC-8,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,795 SIENNA STATION WAY RENO NV 89512,NV,WASHOE,775-657-9598,6
PLEASANT VALLEY HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,9557-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9708 ENNISKEEN AVENUE LAS VEGAS NV 89129-8001,NV,CLARK,702-562-5074,10
PLEASANT VIEW HOMECARE,RESIDENTIAL FACILITY FOR GROUPS,9505-AGC-2,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7036 PLEASANT VIEW AVE LAS VEGAS NV 89147,NV,CLARK,702-985-6847,8
POET'S WALK HENDERSON,RESIDENTIAL FACILITY FOR GROUPS,8702-AGC-4,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1750 WEST HORIZON RIDGE PARKWAY HENDERSON NV 89012,NV,CLARK,702-899-8028,68
PRECIOUS CARE GROUP,RESIDENTIAL FACILITY FOR GROUPS,8841-AGC-3,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7345 ACACIA WOODS CT LAS VEGAS NV 89113,NV,CLARK,702-998-5988,10
PRESTIGE ASSISTED LIVING AT HENDERSON,RESIDENTIAL FACILITY FOR GROUPS,2916-AGC-35,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",1050 E LAKE MEAD PARKWAY HENDERSON NV 89015,NV,CLARK,702-564-1771,70
PRESTIGE ASSISTED LIVING AT MIRA LOMA,RESIDENTIAL FACILITY FOR GROUPS,298-AGC-41,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2520 WIGWAM PARKWAY HENDERSON NV 89074,NV,CLARK,702-260-8400,138
PRIME CARE FACILITY,RESIDENTIAL FACILITY FOR GROUPS,339-AGC-27,MENTAL ILLNESS,4920 RONAN DRIVE LAS VEGAS NV 89110,NV,CLARK,725-201-5089,7
PRINCESS II GROUP HOME,RESIDENTIAL FACILITY FOR GROUPS,2677-AGC-30,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",10019 PRINCESS CUT ST LAS VEGAS NV 89183,NV,CLARK,702-385-5588,10
PROVIDENCE HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,6028-AGC-13,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,5325 VISTA LARGA CIR RENO NV 89523,NV,WASHOE,775-787-1188,8
QUALITY CARE 4 SENIORS LLC,RESIDENTIAL FACILITY FOR GROUPS,8788-AGC-4,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4369 ADELPHI AVENUE LAS VEGAS NV 89120,NV,CLARK,702-595-0058,10
R & L ADULT CARE HOME #2,RESIDENTIAL FACILITY FOR GROUPS,5002-AGC-19,"CHRONIC ILLNESS, MENTAL ILLNESS",1013 STONEYPEAK AVE NORTH LAS VEGAS NV 89081,NV,CLARK,702-478-5252,8
R & L ADULT CARE HOME INC,RESIDENTIAL FACILITY FOR GROUPS,9535-AGC-1,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1811 S 7TH ST LAS VEGAS NV 89104,NV,CLARK,808-372-8418,8
RAFAEL HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,2479-AGC-25,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3804 APACHE LANE LAS VEGAS NV 89107,NV,CLARK,702-880-5852,5
RAINBOW ADULT CARE LLC,RESIDENTIAL FACILITY FOR GROUPS,9008-AGC-2,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1823 BELCASTRO STREET LAS VEGAS NV 89117,NV,CLARK,702-370-4803,10
RAINBOW CONNECTIONS GROUP CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,5432-AGC-13,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",820 ANTIGUA ST LAS VEGAS NV 89145,NV,CLARK,702-358-9917,6
ROSARIOS GROUP HOME,RESIDENTIAL FACILITY FOR GROUPS,7942-AGC-9,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2885 RED ROCK STREET LAS VEGAS NV 89146,NV,CLARK,702-343-0073,8
ROSS SENIOR RESIDENCE,RESIDENTIAL FACILITY FOR GROUPS,2175-AGC-31,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5935 W SADDLE AVE LAS VEGAS NV 89103,NV,CLARK,702-365-6124,5
ROYAL HAVEN,RESIDENTIAL FACILITY FOR GROUPS,88-AGC-33,ALZHEIMER DISEASE,1913 COLLINS AVENUE LAS VEGAS NV 89106,NV,CLARK,702-366-9127,6
ROYAL HEIGHTS LLC,RESIDENTIAL FACILITY FOR GROUPS,7349-AGC-12,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1875 KINGSROW RENO NV 89503,NV,WASHOE,775-453-1983,6
RUNAMAR HOME HEALTH INC,RESIDENTIAL FACILITY FOR GROUPS,2807-AGC-27,"CHRONIC ILLNESS, MENTAL ILLNESS",7907 MOUNTAIN MAN WAY LAS VEGAS NV 89113,NV,CLARK,702-221-8055,8
SACHELE SENIOR GUEST HOME,RESIDENTIAL FACILITY FOR GROUPS,354-AGC-25,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3398 BANCROFT CIRCLE LAS VEGAS NV 89121,NV,CLARK,702-450-3152,9
SACHELE SENIOR GUEST HOME II,RESIDENTIAL FACILITY FOR GROUPS,2274-AGC-22,ALZHEIMER DISEASE,3397 EL CAMINO REAL LAS VEGAS NV 89121,NV,CLARK,702-435-9544,9
SAINT ANNE RESIDENTIAL CARE CORP,RESIDENTIAL FACILITY FOR GROUPS,367-AGC-41,MENTAL ILLNESS,3158 KINGSPOINT AVENUE LAS VEGAS NV 89120,NV,CLARK,702-433-9470,10
SAINT ANNE'S GROUP HOME,RESIDENTIAL FACILITY FOR GROUPS,8743-AGC-4,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1625 PEAVINE RD RENO NV 89503,NV,WASHOE,775-221-7449,7
SAINT BENEDICTS HOME,RESIDENTIAL FACILITY FOR GROUPS,356-AGC-31,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",3625 S ROSEWOOD DR LAS VEGAS NV 89121,NV,CLARK,702-454-0532,6
SAINT BENEDICTS HOME II,RESIDENTIAL FACILITY FOR GROUPS,1894-AGC-25,"CHRONIC ILLNESS, MENTAL ILLNESS",4532 E FLAMINGO ROAD LAS VEGAS NV 89121,NV,CLARK,702-435-1742,6
SAINT FRANCIS GROUP HOME #2,RESIDENTIAL FACILITY FOR GROUPS,385-AGC-28,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4151 E ST LOUIS AVENUE LAS VEGAS NV 89104,NV,CLARK,702-457-4961,9
SAINT FRANCIS GROUP HOME CARE III,RESIDENTIAL FACILITY FOR GROUPS,2821-AGC-27,"CHRONIC ILLNESS, MENTAL ILLNESS",4121 E BOSTON AVE LAS VEGAS NV 89104,NV,CLARK,702-457-2378,10
SAINT FRANCIS GROUP HOME CARE V,RESIDENTIAL FACILITY FOR GROUPS,2839-AGC-21,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4245 E BALTIMORE AVE LAS VEGAS NV 89104,NV,CLARK,702-431-4792,6
SAINT JEAN SENIOR CARE,RESIDENTIAL FACILITY FOR GROUPS,5936-AGC-14,"ALZHEIMER DISEASE, CHRONIC ILLNESS",6924 ACOMA CRT LAS VEGAS NV 89145,NV,CLARK,702-521-4797,10
SAINT JEREMIAH CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,8089-AGC-6,ALZHEIMER DISEASE,3918 CHEROKEE AVENUE LAS VEGAS NV 89121,NV,CLARK,702-823-3277,10
SAINT JUDE HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,2176-AGC-29,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,6880 HATHAWAY DRIVE LAS VEGAS NV 89156,NV,CLARK,702-438-5046,6
SAINT MICHAEL GROUP HOME,RESIDENTIAL FACILITY FOR GROUPS,436-AGC-29,MENTAL ILLNESS,3980 PLACITA AVENUE LAS VEGAS NV 89121,NV,CLARK,702-457-2315,5
SAINT PAUL HOME CARE II,RESIDENTIAL FACILITY FOR GROUPS,4234-AGC-21,"INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4900 KOENIG ROAD RENO NV 89506,NV,WASHOE,775-324-0691,10
SAINT PAULS HOME CARE III,RESIDENTIAL FACILITY FOR GROUPS,7195-AGC-11,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4910 KOENIG RD RENO NV 89506,NV,WASHOE,775-657-6483,10
SAN VICENTE HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,358-AGC-29,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8460 RANCHO DESTINO RD LAS VEGAS NV 89123,NV,CLARK,702-361-2358,10
SANTA FE CARE HOME I,RESIDENTIAL FACILITY FOR GROUPS,7739-AGC-8,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4621 EXPOSITION AVE LAS VEGAS NV 89102,NV,CLARK,702-685-8133,10
SENIOR RESIDENTIAL CARE,RESIDENTIAL FACILITY FOR GROUPS,5636-AGC-15,ALZHEIMER DISEASE,2269 PACINI COURT HENDERSON NV 89052,NV,CLARK,702-325-5355,10
SENIOR RESIDENTIAL CARE - CENTENNIAL,RESIDENTIAL FACILITY FOR GROUPS,3287-AGC-26,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,8204 CABIN SPRINGS AVE LAS VEGAS NV 89131,NV,CLARK,702-395-7555,9
SENIOR RESIDENTIAL CARE-SUMMERLIN,RESIDENTIAL FACILITY FOR GROUPS,7502-AGC-10,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",80 ALERION ST LAS VEGAS NV 89138,NV,CLARK,702-685-0322,9
SERENITY SENIOR CARE,RESIDENTIAL FACILITY FOR GROUPS,5974-AGC-13,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,3645 RIO POCO RENO NV 89502,NV,WASHOE,775-825-1481,9
SHELTERING ARMS CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,10260-AGC-0,"CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS","1255 LOMA VERDE CT., SPARKS NV 89436",NV,WASHOE,775-870-1502,6
SHELTERING ARMS CARE HOMES II,RESIDENTIAL FACILITY FOR GROUPS,10261-AGC-0,"CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1060 RAIN WATER CT SPARKS NV 89436,NV,WASHOE,775-971-4911,7
SHEPHERD CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,9689-AGC-0,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5319 STAMPA AVE. LAS VEGAS NV 89147,NV,CLARK,702-785-2812,10
"SHINY STARS HOME CARE II, LLC",RESIDENTIAL FACILITY FOR GROUPS,8602-AGC-4,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1032 SILVER CREEK LAS VEGAS NV 89183,NV,CLARK,725-777-3812,4
SIERRA MANOR CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,7414-AGC-11,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",327 RIVER FLOW DRIVE RENO NV 89523,NV,WASHOE,775-787-7960,8
SIERRA PLACE RETIREMENT COMMUNITY,RESIDENTIAL FACILITY FOR GROUPS,370-AGC-39,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS",1111 W COLLEGE PARKWAY CARSON CITY NV 89703,NV,CARSON CITY,425-408-9141,76
SILVER HORIZON LLC,RESIDENTIAL FACILITY FOR GROUPS,7381-AGC-12,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1900 ELIMINATOR DRIVE LAS VEGAS NV 89146,NV,CLARK,702-463-3585,10
SILVER HORIZON-HICKAM,RESIDENTIAL FACILITY FOR GROUPS,8243-AGC-7,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8280 HICKAM AVENUE LAS VEGAS NV 89129,NV,CLARK,702-489-8352,10
SILVER SKY ASSISTED LIVING,RESIDENTIAL FACILITY FOR GROUPS,4251-AGC-24,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8220 SILVER SKY DRIVE LAS VEGAS NV 89145,NV,CLARK,702-835-9040,96
SILVER SKY AT DEER SPRINGS ASSISTED LIVING,RESIDENTIAL FACILITY FOR GROUPS,6013-AGC-14,ASSISTED LIVING SERVICES,6741 N DECATUR BLVD BLDG #3 LAS VEGAS NV 89130,NV,CLARK,702-462-7700,96
SILVERADO RANCH MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,9598-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",248 BARLETTA AVENUE LAS VEGAS NV 89123,NV,CLARK,702-235-2584,10
