Facility Name,Licensee,Facility ID,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,State Facility Type 2 Literal,License Number,Capacity,Medicare,Medicaid
THE RIDGEMONT AT EDGEWOOD SUMMIT,"EDGEWOOD SUMMIT, INC. DBA THE RIDGEMONT AT EDGWOOD SUMMIT",504002,300 BAKER LANE,Charleston,WV,25302,Kanawha,(304)346-2323,Residential Care Community,RESIDENTIAL CARE COMMUNITY,504002,42,No,No
ANN'S COUNTRY RETREAT,"ANN'S COUNTRY RETREAT, INC.",507357,1439 WASHINGTON PIKE,Wellsburg,WV,26070,Brooke,(304)737-0941,Assisted Living Residence,LARGE ASSISTED LIVING,507357,22,No,No
ARTHUR B HODGES CENTER AT EDGEWOOD SUMMIT (ALR/ALZ,"EDGEWOOD SUMMIT, INC. DBA ARTHUR B HODGES CENTER AT EDGEWOOD SUMMIT (ALR/ALZ",507582,300 BAKER LANE,Charleston,WV,25302,Kanawha,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,507582,18,No,No
ASSISTED LIVING AT EVERGREEN,"PERSONAL CARE AT EVERGREEN, INC. DBA ASSITED LIVING AT EVERGREEN, INC.",507441,3705 COLLINS FERRY ROAD,Morgantown,WV,26501,Monongalia,(304)598-8401,Assisted Living Residence,LARGE ASSISTED LIVING,507441,48,No,No
AUTUMN WAY ASSISTED LIVING HOME,"AUTUMN WAY, INC.",506035,411 NICHOLAS STREET,RUPERT,WV,25984,Greenbrier,(304)392-5566,Assisted Living Residence,LARGE ASSISTED LIVING,506035,24,No,No
BELLAIRE AT DEVONSHIRE (ALR/ALZ),"Devonshire AL Operations, LLC dba Bellaire at Devonshire",507585,5 BEXLEY DRIVE,Scott Depot,WV,25560,Putnam,(304)760-5290,Assisted Living Residence,LARGE ASSISTED LIVING,,105,No,No
BEULAHLAND,BEULAHLAND,506134,4706 KNOTTSVILLE RD,Grafton,WV,26354,Taylor,(304)265-2874,Assisted Living Residence,LARGE ASSISTED LIVING,506134,26,No,No
"BRALEY CARE HOMES, INC I I I (ALR/ALZ)","BRALEY CARE HOMES, INC.  I I I (ALR/ALZ)",507546,6192 US 60,Hurricane,WV,25526,Putnam,(304)201-3677,Assisted Living Residence,SMALL ASSISTED LIVING,507546,16,No,No
BROOKDALE CHARLESTON GARDENS (ALR/ALZ),Emeritus Corporation Tradename Brookdale Charleston Gardens (ALR-ALZ),507445,800 ASSOCIATION DRIVE,Charleston,WV,25311,Kanawha,(304)343-6600,Assisted Living Residence,LARGE ASSISTED LIVING,507445,121,No,No
CARING HANDS & LOVING HEART,GRAYSON CARING HANDS INC TRADENAME CARING HANDS & LOVING HEART,507523,828 WASHINGTON AVE,Huntington,WV,25704,Cabell,(304)529-0466,Assisted Living Residence,LARGE ASSISTED LIVING,,18,No,No
CEDAR GROVE ASSISTED LIVING,"GREENWICH INVESTORS CEDAR GROVE OPERATOR , LLC TRADENAME CEDAR GROVE ASSISTED LI",506005,110 NICOLETTE ROAD,PARKERSBURG,WV,26104,Wood,(304)424-6023,Assisted Living Residence,LARGE ASSISTED LIVING,506005,85,No,No
CENTRAL AVE ASSISTED LIVING,CENTRAL AVE ASSISTED LIVING,507512,1046 CENTRAL AVE,Charleston,WV,25302,Kanawha,(304)414-0135,Assisted Living Residence,SMALL ASSISTED LIVING,507512,8,No,No
CHATEAU GROVE SENIOR LIVING,CHATEAU GROVE INC.,506007,#6 CHATEAU GROVE LANE,Barboursville,WV,25504,Cabell,(304)736-3443,Assisted Living Residence,LARGE ASSISTED LIVING,506007,80,No,No
"CLARK'S CHRISTIAN CARE, INC","CLARK'S CHRISTIAN CARE, Inc.",507337,145 WALNUT STREET,EAST BANK,WV,25067,Kanawha,(304)595-4171,Assisted Living Residence,SMALL ASSISTED LIVING,507337,12,No,No
CONCORD I,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507500,2218 WASHINGTON ST E,Charleston,WV,25301,Kanawha,(304)342-5042,Assisted Living Residence,SMALL ASSISTED LIVING,,8,No,No
CONCORD I I,"Prestera Center for Mental Health Services, Inc., dba Concord I I",507501,5511 NOYES AVENUE,Charleston,WV,25304,Kanawha,(304)925-7728,Assisted Living Residence,SMALL ASSISTED LIVING,,8,No,No
"COUNTRY VIEW ASSISTED LIVING, INC","COUNTRY VIEW ASSISTED LIVING, INC",507508,2925 SENECA TRAIL SOUTH,Peterstown,WV,24963,Monroe,(304)753-4300,Assisted Living Residence,LARGE ASSISTED LIVING,507508,42,No,No
COUNTRY VILLA CARE INC,COUNTRY VILLA CARE INC,507347,78 HIGH STREET,BUFFALO,WV,25033,Putnam,(304)937-4110,Assisted Living Residence,SMALL ASSISTED LIVING,507347,13,No,No
"COUNTRYSIDE ASSISTED LIVING, LLC","COUNTRYSIDE ASSISTED LIVING, LLC",507547,1228 BERKELEY STATION ROAD,MARTINSBURG,WV,25404,Berkeley,(304)596-6227,Assisted Living Residence,SMALL ASSISTED LIVING,507547,16,No,No
CYPRESS MANOR ASSISTED LIVING,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507565,1436 7TH AVENUE,HUNTINGTON,WV,25701,Cabell,(304)399-1275,Assisted Living Residence,SMALL ASSISTED LIVING,507565,8,No,No
DIGNITY ASSISTED LIVING,DIGNITY ASSISTED LIVING,WV506024,557 MAIN STREET,Chapmanville,WV,25508,Logan,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,506024,16,No,No
ELMCROFT OF  MAPLEWOOD,BISHOP MAPLEWOOD LESSEE LLC TRADENAME ELMCROFT OF MAPLEWOOD,507567,1000 S MAPLEWOOD DRIVE,Bridgeport,WV,26330,Harrison,(304)848-0200,Assisted Living Residence,LARGE ASSISTED LIVING,507567,56,No,No
ELMCROFT OF MARTINSBURG,"EC Opco Martinsburg, LLC",507396,200 GLOUCESTER DRIVE,Martinsburg,WV,25401,Berkeley,(304)267-5800,Assisted Living Residence,LARGE ASSISTED LIVING,507396,97,No,No
ELMCROFT OF TEAYS VALLEY (ALR/ALZ),"EC OPCO TEAYS VALLEY, LLC TRADENAME ELMCROFT OF TEAYS VALLEY",506138,4000 OUTLOOK DRIVE,Hurricane,WV,25526,Putnam,(304)757-4778,Assisted Living Residence,LARGE ASSISTED LIVING,506138,77,No,No
"ELMHURST, THE HOUSE OF FRIENDSHIP, INC","ELMHURST, THE HOUSE OF FRIENDSHIP, INC.",506022,1228 NATIONAL ROAD,Wheeling,WV,26003,Ohio,(304)242-0240,Assisted Living Residence,LARGE ASSISTED LIVING,506022,48,No,No
FAZIO'S ELDER CARE,FAZIO'S ELDER CARE L L C,507549,156 STONEY LONESOME ROAD,Fairmont,WV,26554,Marion,(304)534-3139,Assisted Living Residence,SMALL ASSISTED LIVING,507549,17,No,No
FITZWATER ASSISTED LIVING THE CHANDLER HOUSE,FITZWATER ASSISTED LIVING THE CHANDLER HOUSE,507464,219 LOCUST AVENUE,Fairmont,WV,26554,Marion,(304)363-1399,Assisted Living Residence,SMALL ASSISTED LIVING,507464,16,No,No
FITZWATER ASSISTED LIVING THE STERLING PLACE,FITZWATER ASSISTED LIVING THE STERLING PLACE,507573,213 LOCUST AVENUE,FAIRMONT,WV,26554,Marion,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,507573,13,No,No
GAULEY RIVER ASSISTED LIVING,"GAULEY RIVER ASSISTED LIVING, LLC",507571,"4967 GAULEY RIVER ROAD, PO BOX 726 GAULEY BRIDGE WV 25085",Gauley Bridge,WV,25085,Fayette,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,507571,16,No,No
GLEN ROGERS MANOR,Mullens Manor Inc DBA Glen Rogers Manor,507530,11544 POPLAR GAP RD,GLEN ROGERS,WV,25848,Wyoming,(304)294-7003,Assisted Living Residence,LARGE ASSISTED LIVING,507530,57,No,No
GOLDEN OAKS,GOLDEN OAKS RESIDENTIAL BOARD AND CARE INC,507366,108 LEE ROAD,FOLLANSBEE,WV,26037,Brooke,(304)527-2466,Assisted Living Residence,LARGE ASSISTED LIVING,507366,19,No,No
GRANT COUNTY ASSISTED LIVING,"GRANT REHABILITATION AND CARE CENTER, INC.",506089,127 EARLY AVENUE,Petersburg,WV,26847,Grant,(304)257-4233,Assisted Living Residence,SMALL ASSISTED LIVING,506089,4,No,No
GRAYSON ASSISTED LIVING,"GRAYSON ASSISTED LIVING, INC.",507554,3455 STATE RT 75,Huntington,WV,25704,Cabell,(304)972-0815,Assisted Living Residence,SMALL ASSISTED LIVING,507554,16,No,No
GRENICH CARE HOME INC,GRENICH CARE HOME INC,507002,67 GRENICH AVENUE,Bunker Hill,WV,25413,Berkeley,(304)229-3624,Assisted Living Residence,SMALL ASSISTED LIVING,507002,12,No,No
HARMONY AT MARTINSBURG (ALR/ALZ),"Martinsburg Operations, Llc Tradename Harmony at Martinsburg (ALR/ALZ)",507590,13857 APPLE HARVEST DRIVE,MARTINSBURG,WV,254036195,Berkeley,(304)596-0783,Assisted Living Residence,LARGE ASSISTED LIVING,507590,140,No,No
HARMONY AT MORGANTOWN (ALR/ALZ),MORGANTOWN OPERATIONS LLC TRADENAME HARMONY AT MORGANTOWN,WV507591,50 Harmony Drive,MORGANTOWN,WV,26508,Monongalia,(304)212-4939,Assisted Living Residence,LARGE ASSISTED LIVING,507591,118,No,No
HARMONY AT SOUTHRIDGE (ALR/ALZ),HARMONY AT SOUTHRIDGE,506029,801 PEYTON WAY,CHARLESTON,WV,25309,Kanawha,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,,120,No,No
HARMONY AT WHITE OAKS (ALR/ALZ),"BRIDGEPORT OPERATIONS, LLC DBA HARMONY AT WHITE OAKS",506002,2025 WHITE OAKS BOULEVARD,BRIDGEPORT,WV,26330,Harrison,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,506005,110,No,No
HAVENS AT PRINCETON,"THE HAVENS AT PRINCETON, LLC",507505,2205 NEW HOPE ROAD,PRINCETON,WV,24740,Mercer,(304)431-3544,Assisted Living Residence,LARGE ASSISTED LIVING,507505,63,No,No
HERITAGE AT ST MARYS,"THE HERITAGE AT ST MARY'S, INC.",507461,1809 NORTH PLEASANTS HIGHWAY,St. Mary's,WV,26170,Pleasants,(304)684-3200,Assisted Living Residence,LARGE ASSISTED LIVING,507461,38,No,No
HOME SWEET HUNTINGTON RESIDENTIAL CARE,"IPG ENTERPRISES, LLC D/B/A HOME SWEET HUNTINGTON RESIDENTIAL CARE",507421,2910 3RD AVENUE,Huntington,WV,25702,Cabell,(304)525-3062,Assisted Living Residence,LARGE ASSISTED LIVING,507421,18,No,No
JOHN MANCHIN SR ASSISTED LIVING,JOHN MANCHIN SR ASSISTED LIVING,507576,3205 HUSKY HIGHWAY,Farmington,WV,26571,Marion,(304)825-1900,Assisted Living Residence,LARGE ASSISTED LIVING,,20,No,No
KANAWHA PLACE,Charleston Aid II Opco Dba Kanawha Place,507544,699 SOUTH PARK ROAD,Charleston,WV,25304,Kanawha,(304)925-4663,Assisted Living Residence,LARGE ASSISTED LIVING,507544,68,No,No
KYLE'S PLACE,LOVING ARMS L L C (dba Kyle's Place),507570,113 SHUMATE STREET,Oak Hill,WV,25901,Fayette,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,,31,No,No
LAVENDER FIELDS ASSISTED LIVING,"LAVENDER FIELDS ASSISTED LIVING, LLC DBA LAVENDER FIELDS ASSISTED LIVING",507529,150 WATER STREET,Beverly,WV,26253,Randolph,(304)630-1100,Assisted Living Residence,SMALL ASSISTED LIVING,507529,16,No,No
LOVE AND CARE ASSISTED LIVING,"LOVE AND CARE, INC.",506030,5368 DUPONT ROAD,Parkersburg,WV,26102,Wood,(304)863-8950,Assisted Living Residence,LARGE ASSISTED LIVING,506030,20,No,No
LOVING HANDS ADULT CARE LLC,LOVING HANDS ADULT CARE LLC,507540,402 AIRPORT ROAD,Bluefield,WV,24701,Mercer,(304)327-8206,Assisted Living Residence,SMALL ASSISTED LIVING,507540,16,No,No
MADISON PARK HEALTHCARE,"FAIRHAVEN OPCO, LLC DBA MADISON PARK HEALTHCARE",507552,700 MADISON AVENUE,Huntington,WV,25704,Cabell,(304)522-0032,Assisted Living Residence,LARGE ASSISTED LIVING,507552,26,No,No
"MAGNOLIA ASSISTED LIVING, INC","Magnolia Assisted Living, Inc",509197,1700 THISTLEWOOD DR,Hurricane,WV,25526,Putnam,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,509197,6,No,No
"MANCHIN ASSISTED LIVING, LLC","Manchin Assisted Living, LLC",507593,140 PROFESSIONAL PLACE,Bridgeport,WV,26330,Harrison,(304)848-9270,Assisted Living Residence,SMALL ASSISTED LIVING,507593,20,No,No
MAPLES ASSISTED LIVING,"MAPLES HEALTH CARE, INC.",506061,1600 BLAND STREET,Bluefield,WV,24701,Mercer,(304)327-2485,Assisted Living Residence,LARGE ASSISTED LIVING,,28,No,No
MARY WOELFEL ASSISTED LIVING,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507564,921 23RD STREET,Huntington,WV,25701,Cabell,(304)697-1270,Assisted Living Residence,SMALL ASSISTED LIVING,507564,6,No,No
MEADOW BROOK ASSISTANCE WITH LIVING,"MEADOW BROOK ASSISTANCE WITH LIVING, INC.",507539,5700 CAMP CREEK ROAD,JULIAN,WV,25529,Boone,(304)369-0038,Assisted Living Residence,SMALL ASSISTED LIVING,507539,16,No,No
"MILESTONE SENIOR LIVING, LLC","MILESTONE SENIOR LIVING, LLC",WV507588,2301 KENNEDY AVE,PARKERSBURG,WV,26101,Wood,(304)865-4545,Assisted Living Residence,LARGE ASSISTED LIVING,507588,42,No,No
MOUNTAIN MEMORIES,Mountain Memories Assisted Living and Retirement Center LLC (ALR/ALZ),507578,301 WILSON LANE,Elkins,WV,26241,Randolph,(304)636-8600,Assisted Living Residence,LARGE ASSISTED LIVING,507578,88,No,No
"MULLENS MANOR ASSISTED LIVING, INC","MULLENS MANOR, INC.",507587,1238 GUYANDOTTE AVE,Mullens,WV,25882,Wyoming,(304)294-7591,Assisted Living Residence,SMALL ASSISTED LIVING,507587,12,No,No
OAK HILL PLACE,OAK HILL AID II OPCO DBA OAK HILL PLACE,507542,438 23RD STREET,Oak Hill,WV,25901,Fayette,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,507542,58,No,No
PARAMOUNT SENIOR LIVING AT CABELL MIDLAND (ALR/ALZ,"Paramount Health Holdings Group, Inc-Paramount Senior Living at Cabell Midland",507534,100 WEATHERHOLT DR,Ona,WV,25545,Cabell,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,507534,110,No,No
PATTY'S HOME AWAY FROM HOME,PATTY'S HOME AWAY FROM HOME,507405,5333 WHITMAN CREEK ROAD,WHITMAN,WV,25652,Logan,(304)239-2860,Assisted Living Residence,LARGE ASSISTED LIVING,507405,21,No,No
PEPPERBERRY SUITES,FOXCREST INC. DBA PEPPERBERRY SUITES,506127,144 FOX LANE,Chester,WV,26034,Hancock,(304)387-0101,Assisted Living Residence,LARGE ASSISTED LIVING,506127,35,No,No
PINEVILLE MANOR,"Mullens Manor, Inc dba Pineville Manor",507560,198 PARK STREET,PINEVILLE,WV,24874,Wyoming,(304)732-8502,Assisted Living Residence,LARGE ASSISTED LIVING,,35,No,No
PLEASANT ACRES,PLEASANT ACRES CHRISTIAN HAVEN ASSOCIATION,506038,41 PLEASANT ACRES DRIVE,Fairmont,WV,26554,Marion,(304)366-0816,Assisted Living Residence,SMALL ASSISTED LIVING,506038,14,No,No
PRINCETON CENTER LLC,Princeton Center LLC dba Glenwood Park Retirement Village,506013,1924 GLENWOOD PARK RD,Princeton,WV,24739,Mercer,(304)425-8128,Assisted Living Residence,LARGE ASSISTED LIVING,506013,60,No,No
RAVENSWOOD CARE CENTER,RAVENSWOOD CARE CENTER,506039,1113 WASHINGTON STREET,Ravenswood,WV,26164,Jackson,(304)273-9482,Assisted Living Residence,LARGE ASSISTED LIVING,506039,72,No,No
"RIDGE CARE, LLC","RIDGE CARE, LLC",507438,135 ANTELOPE LANE,PRINCETON,WV,24739,Mercer,(304)487-1278,Assisted Living Residence,SMALL ASSISTED LIVING,507438,16,No,No
ROCKIN CHAIR RESIDENTIAL CARE INC,ROCKIN CHAIR RESIDENTIAL CARE INC,507522,2103 PINEGROVE ROAD,Lerona,WV,25971,Mercer,(304)384-4299,Assisted Living Residence,SMALL ASSISTED LIVING,507522,16,No,No
ROLLING MEADOWS PLACE,SCOTT DEPOT AID II OPCO LLC TRADENAME ROLLING MEADOWS PLACE,507543,5 ROLLING MEADOWS,Scott Depot,WV,25560,Putnam,(304)757-3104,Assisted Living Residence,LARGE ASSISTED LIVING,507543,58,No,No
ROSE MANOR,"Mullens Manor, Inc DBA Rose Manor",507594,27 MAIN STREET,Pineville,WV,24874,Wyoming,No Phone,Assisted Living Residence,SMALL ASSISTED LIVING,507594,16,No,No
SEASONS PLACE,LEWISBURG AID II OPCO LLC DBA SEASONS PLACE,507541,177 Holt Lane,Lewisburg,WV,24901,Greenbrier,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,507541,55,No,No
SERENITY CARE HOME,"SERENITY CARE HOME, LLC",507450,269 LITTLE SAND RUN ROAD,Buckhannon,WV,26201,Upshur,(304)472-6105,Assisted Living Residence,LARGE ASSISTED LIVING,507450,30,No,No
SERENITY HOPE,"SERENITY HOPE, LLC",507536,RT 1 BOX 153-D,Lost Creek,WV,26385,Harrison,(304)745-3554,Assisted Living Residence,SMALL ASSISTED LIVING,507536,8,No,No
SERRA MANOR-HOPE COTTAGE ALR,Serra Manor d/b/a Serra Manor-Hope Cottage,506090,100 SERRA DRIVE,Weirton,WV,26062,Hancock,(304)723-5363,Assisted Living Residence,LARGE ASSISTED LIVING,506090,61,No,No
"SWEETBRIAR ASSISTED LIVING, LLC","SWEETBRIAR ASSISTED LIVING, LLC",506097,505 CALDWELL LANE,Dunbar,WV,25064,Kanawha,(304)744-7400,Assisted Living Residence,LARGE ASSISTED LIVING,506097,85,No,No
"TALBOTT PERSONAL CARE HOME, INC.","TALBOTT PERSONAL CARE HOME, INC.",506133,486 SERPELL AVENUE,BELINGTON,WV,26250,Barbour,(304)823-3300,Assisted Living Residence,LARGE ASSISTED LIVING,506133,20,No,No
TEAYS VALLEY ASSISTED LIVING,TEAYS VALLEY ASSISTED LIVING,507563,5570 ROUTE 60,HURRICANE,WV,25526,Putnam,(304)397-6538,Assisted Living Residence,LARGE ASSISTED LIVING,507563,16,No,No
THE INN AT WYNGATE,"BARBOURSVILLE HEALTH PARTNERS, LTD DBA THE INN AT WYNGATE",506140,750 PEYTON STREET,Barboursville,WV,25504,Cabell,(304)733-6800,Assisted Living Residence,LARGE ASSISTED LIVING,506140,60,No,No
THE SUITES AT HERITAGE POINT,MON ELDER SERVICES DBA THE SUITES AT HERITAGE POINT,504001,ONE HERITAGE POINT,Morgantown,WV,26505,Monongalia,(304)285-1212,Assisted Living Residence,LARGE ASSISTED LIVING,504001,44,No,No
THE VILLAGE AT RIVERVIEW,"THE VILLAGE AT RIVERVIEW, INC.",507586,1356 RIVERVIEW DRIVE,Barboursville,WV,25504,Cabell,(304)736-2013,Assisted Living Residence,LARGE ASSISTED LIVING,507586,64,No,No
VALENTINE PERSONAL CARE HOME,"TALBOTT PERSONAL CARE HOME, INC. DBA VALENTINE PERSONAL CARE HOME",506056,521 DAVIS AVENUE,ELKINS,WV,26241,Randolph,(304)636-3900,Assisted Living Residence,LARGE ASSISTED LIVING,506056,20,No,No
VILLAGES AT GREYSTONE INN,"BECKLEY HEALTH PARTNERS, LTD DBA VILLAGES AT GREYSTONE INN",507503,200 GREYSTONE DRIVE,Beaver,WV,25813,Raleigh,(304)256-7579,Assisted Living Residence,LARGE ASSISTED LIVING,,70,No,No
VIRGINIA MANOR,VIRGINIA MANOR,507069,1112 VIRGINIA STREET,RAVENSWOOD,WV,26164,Jackson,(304)273-9482,Assisted Living Residence,SMALL ASSISTED LIVING,507069,10,No,No
WALNUT PLACE,"Prestera Center for Mental Health Services, Inc., dba Walnut Place",507562,2603 KNOX AVENUE,St Albans,WV,25177,Kanawha,(304)721-8915,Assisted Living Residence,SMALL ASSISTED LIVING,507562,4,No,No
"WELTY HOME, L C","THE WELTY HOME, L C",506049,21 WASHINGTON AVENUE,Wheeling,WV,26003,Ohio,(304)242-5233,Assisted Living Residence,LARGE ASSISTED LIVING,,52,No,No
WHITMAN ADULT LIVING,WHITMAN ADULT LIVING,507504,2375 WHITMAN CREEK ROAD,WHITMAN,WV,25652,Logan,(304)239-2004,Assisted Living Residence,SMALL ASSISTED LIVING,,16,No,No
WINDY HILL VILLAGE,WINDY HILL MANOR LIMITED PARTNERSHIP TRADENAME WINDY HILL VILLAGE,506117,17024 VETERANS MEMORIAL HIGHWAY,KINGWOOD,WV,26537,Preston,(304)329-2741,Assisted Living Residence,LARGE ASSISTED LIVING,506117,50,No,No
WISHING WELL ASSISTED LIVING COMMUNITY AT FAIRMONT,1543 COUNTRY CLUB ROAD ALF OPERATIONS LLC DBA WISHING WELL ASSISTED LIVING COMMU,507548,1543 COUNTRY CLUB ROAD,Fairmont,WV,26554,Marion,(304)363-2273,Assisted Living Residence,LARGE ASSISTED LIVING,507548,52,No,No
WOODLAND HILLS ASSISTED LIVING,"JAYWYN, LLC DBA WOODLAND HILLS ASSISTED LIVING",507589,608 NORTH 10TH STREET,Weirton,WV,26062,Hancock,(304)748-3943,Assisted Living Residence,LARGE ASSISTED LIVING,507589,25,No,No
WOODLANDS ASSISTED LIVING #1,"WOODLANDS ASSISTED LIVING  FACILITY, INC.  Building #1",507510,23 CARE STREET,Worthington,WV,26591,Marion,(304)287-2120,Assisted Living Residence,LARGE ASSISTED LIVING,507510,23,No,No
WOODLANDS ASSISTED LIVING #2,"WOODLANDS ASSISTED LIVING FACILITY, INC. BLDNG 2",507511,"23 CARE STREET, PO BOX 250 (SEND ALL MAIL TO THIS ADDRESS)",Worthington,WV,26591,Marion,(304)287-2120,Assisted Living Residence,LARGE ASSISTED LIVING,507511,23,No,No
WOODLANDS RETIREMENT COMMUNITY,FOSTER FOUNDATION DBA WOODLANDS RERTIREMENT COMMUNITY,506124,ONE BRADLEY FOSTER DR,HUNTINGTON,WV,25701,Cabell,(304)697-1620,Assisted Living Residence,LARGE ASSISTED LIVING,506124,91,No,No
WOODSIDE MANOR,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507502,8134 SCITES STREET,WEST HAMLIN,WV,25571,Lincoln,(304)824-7015,Assisted Living Residence,SMALL ASSISTED LIVING,507502,6,No,No
WYNGATE OF WEIRTON,"WEIRTON HEALTH PARTNERS, L L C",506145,100 WYNGATE DRIVE,Weirton,WV,26062,Hancock,(304)723-7004,Assisted Living Residence,LARGE ASSISTED LIVING,506145,80,No,No
WYNGATE SENIOR LIVING COMM OF PARKERSBURG,"PARKERSBURG HEALTH PARTNERS, LLC DBA WYNGATE SENIOR LIVING COMMUNITY OF PARKERSB",506148,ONE WYNGATE DRIVE,Parkersburg,WV,26105,Wood,(304)428-2004,Assisted Living Residence,LARGE ASSISTED LIVING,506148,65,No,No
YOUNG'S CARE HOME I,YOUNG'S CARE HOME I,507279,"1205 2ND STREET, MAIL POC TO CONNIE YOUNG, 311 9TH ST, GLEN DALE",MOUNDSVILLE,WV,26041,Marshall,(304)845-7694,Assisted Living Residence,SMALL ASSISTED LIVING,507279,16,No,No
YOUNG'S CARE HOME I I,YOUNG'S CARE HOME I I,507207,"102 HICKORY AVENUE, 311 9TH STREET GLENDALE, WV  26038 (MAILING)",MOUNDSVILLE,WV,26041,Marshall,(304)845-5129,Assisted Living Residence,LARGE ASSISTED LIVING,507207,18,No,No